Year,E06000047,E06000057,E08000021,E08000022,E08000023,E08000024,E08000037
2018,201645.0,338158.0,1272355.0,151683.0,38493.0,162795.0,320086.0
2019,424516.0,454786.0,1622018.0,184684.0,180820.0,211840.0,375644.0
2020,220343.0,231086.0,756210.0,185083.0,163550.0,271062.0,133750.0
2021,332253.0,796335.0,1414576.0,237392.0,74919.0,334106.0,472430.0
2022,368069.0,345659.0,1606332.0,256475.0,121054.0,429811.0,288671.0
2023,1796943.0,410108.0,1300743.0,510736.0,566664.0,1303766.0,285547.0
2024,400269.0,357530.0,1877640.0,346994.0,402452.0,218092.0,255919.0
