organisation,latitude,longitude,pcds,oslaua,IPSO,NPO,Project Grant,funding_geo_code,funding_geo_name,company_number,accounts_category,sic_code,uri,registered_charity_number,charity_contact_web,funded,company_match,charity_match
ANKETELL TRAINING LIMITED,55.009076,-1.618519,NE3 1UT,E08000021,False,False,False,,,03661827,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/03661827,,,False,True,False
ANNA ROBINSON LTD,55.003298,-1.621466,NE3 4DE,E08000021,False,False,False,,,13840816,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/13840816,,,False,True,False
APODINI CREATIONS LIMITED,54.983913,-1.736672,NE15 8HF,E08000021,False,False,False,,,15543832,NO ACCOUNTS FILED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15543832,,,False,True,False
ARBF LIMITED,55.031585,-1.654053,NE13 9GB,E08000021,False,False,False,,,15734119,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15734119,,,False,True,False
ARCUS IMMERSIVE LTD,54.976097,-1.597019,NE2 1AN,E08000021,False,False,False,,,12678769,MICRO ENTITY,"[""58290 - Other software publishing"", ""59111 - Motion picture production activities"", ""62011 - Ready-made interactive leisure and entertainment software development"", ""62012 - Business and domestic software development""]",http://business.data.gov.uk/id/company/12678769,,,False,True,False
ART PSYCHE LTD,54.976737,-1.686097,NE15 6TT,E08000021,False,False,False,,,14509158,NO ACCOUNTS FILED,"[""20420 - Manufacture of perfumes and toilet preparations"", ""47890 - Retail sale via stalls and markets of other goods"", ""47990 - Other retail sale not in stores, stalls or markets"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/14509158,,,False,True,False
ASSURANCE PUBLICATIONS LIMITED,54.986744,-1.664065,NE5 2QJ,E08000021,False,False,False,,,06090123,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/06090123,,,False,True,False
ATV NETWORK LIMITED,55.00505,-1.664381,NE3 3YF,E08000021,False,False,False,,,05691952,MICRO ENTITY,"[""58190 - Other publishing activities"", ""59113 - Television programme production activities""]",http://business.data.gov.uk/id/company/05691952,,,False,True,False
AUGMENTED READING TECHNOLOGIES (ART) LTD,54.969796,-1.610328,NE1 1LF,E08000021,False,False,False,,,14073115,MICRO ENTITY,"[""58190 - Other publishing activities"", ""62012 - Business and domestic software development""]",http://business.data.gov.uk/id/company/14073115,,,False,True,False
AURAL X-OTIKA LIMITED,54.97869,-1.632134,NE4 5AY,E08000021,False,False,False,,,07139251,UNAUDITED ABRIDGED,"[""59112 - Video production activities"", ""59120 - Motion picture, video and television programme post-production activities"", ""59200 - Sound recording and music publishing activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/07139251,,,False,True,False
AUTISM LIVE FOREVER C.I.C.,54.975264,-1.608885,NE1 8AF,E08000021,False,False,False,,,08002223,TOTAL EXEMPTION FULL,"[""59200 - Sound recording and music publishing activities"", ""88990 - Other social work activities without accommodation n.e.c."", ""90020 - Support activities to performing arts"", ""93290 - Other amusement and recreation activities n.e.c.""]",http://business.data.gov.uk/id/company/08002223,,,False,True,False
AVERIA AGENCY UK LTD,55.002906,-1.608369,NE3 1YQ,E08000021,False,False,False,,,15888622,NO ACCOUNTS FILED,"[""63120 - Web portals"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15888622,,,False,True,False
AWAY WITH THE FOG LIMITED,54.974814,-1.592361,NE1 2PQ,E08000021,False,False,False,,,01645465,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/01645465,,,False,True,False
Adam Shield,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Adinda van 't Klooster,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Ali Pritchard,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Alicia Meehan,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Alison Carr,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Allan Hughes,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Alphabetti Theatre,,,,,False,False,True,E08000021,Newcastle upon Tyne,CE006183,NO ACCOUNTS FILED,"[""None Supplied""]",http://business.data.gov.uk/id/company/CE006183,,,True,True,False
Alys North,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Amber Film & Photography Collective,54.969190,-1.608416,NE1 3JE,E08000021,False,False,True,E08000021,Newcastle upon Tyne,07218282,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities"", ""59140 - Motion picture projection activities"", ""91012 - Archives activities""]",http://business.data.gov.uk/id/company/07218282,,,True,True,False
Andras Nagy-Sandor,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Andrew Maughan,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Andrew Wilson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Anton Hecht,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
BAMBOO MEDIA PRODUCTIONS LIMITED,54.971956,-1.589578,NE1 2DF,E08000021,False,False,False,,,07207645,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/07207645,,,False,True,False
BANG ON BOOKS LTD,54.965775,-1.620441,NE1 3PG,E08000021,False,False,False,,,10975558,MICRO ENTITY,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/10975558,,,False,True,False
BASEHQ LIMITED,54.962003,-1.635781,NE4 7HX,E08000021,False,False,False,,,04576281,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/04576281,,,False,True,False
BASKETMEDIA365 LIMITED,54.984376,-1.707385,NE15 7LD,E08000021,False,False,False,,,08255986,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/08255986,,,False,True,False
BEAM STORY LAB CIC,55.012073,-1.608749,NE3 5DS,E08000021,False,False,False,,,14522541,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/14522541,,,False,True,False
BEESTON AND DANIEL LTD,55.01726,-1.657101,NE3 2YR,E08000021,False,False,False,,,09559096,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/09559096,,,False,True,False
BENIDORM AND BEYOND LTD,54.971956,-1.589578,NE1 2DF,E08000021,False,False,False,,,14920841,NO ACCOUNTS FILED,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/14920841,,,False,True,False
BIGSWINGINGOVARIES LIMITED,54.979831,-1.598404,NE2 1BD,E08000021,False,False,False,,,13621430,UNAUDITED ABRIDGED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13621430,,,False,True,False
BLENDED! EVENTS LIMITED,54.974923,-1.541432,NE6 3QG,E08000021,False,False,False,,,07934482,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/07934482,,,False,True,False
BLUE KANGAROO DESIGN LIMITED,54.970488,-1.609809,NE1 1PG,E08000021,False,False,False,,,05931200,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/05931200,,,False,True,False
BOHO ARTS LIMITED,54.989189,-1.572479,NE6 5SP,E08000021,False,False,False,,,13709751,TOTAL EXEMPTION FULL,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts"", ""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/13709751,,,False,True,False
BOULEVARD MEDIA LIMITED,55.012664,-1.634169,NE3 3HR,E08000021,False,False,False,,,02933813,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/02933813,,,False,True,False
BOXKITE LTD,54.989259,-1.584825,NE6 5RJ,E08000021,False,False,False,,,08608446,MICRO ENTITY,"[""58110 - Book publishing"", ""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/08608446,,,False,True,False
BRASH Theatre Company Ltd,54.979506,-1.584082,NE6 5NN,E08000021,False,False,True,E08000021,Newcastle upon Tyne,12874160,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/12874160,,,True,True,False
BRAVA ENTERTAINMENT COMPANY LTD,54.970856,-1.615895,NE1 5JE,E08000021,False,False,False,,,14631099,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts"", ""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/14631099,,,False,True,False
BREEZE CREATIVES COMMUNITY INTEREST COMPANY,54.976737,-1.686097,NE15 6TT,E08000021,False,False,False,,,09040279,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/09040279,,,False,True,False
BRIDGE + TUNNEL PRODUCTIONS,54.97181,-1.612827,NE1 1EW,E08000021,False,False,False,,,04880685,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/04880685,,,False,True,False
BRIGGS STAR COMMUNICATIONS LTD,54.979114,-1.708845,NE15 8AE,E08000021,False,False,False,,,15375208,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""61300 - Satellite telecommunications activities"", ""62090 - Other information technology service activities""]",http://business.data.gov.uk/id/company/15375208,,,False,True,False
BRUVVERS THEATRE COMPANY,54.974814,-1.592361,NE1 2PQ,E08000021,False,False,False,,,02837215,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/02837215,,,False,True,False
BUNNY RWLK LTD,54.971137,-1.618832,NE1 5UD,E08000021,False,False,False,,,15881018,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90030 - Artistic creation"", ""98100 - Undifferentiated goods-producing activities of private households for own use"", ""98200 - Undifferentiated service-producing activities of private households for own use""]",http://business.data.gov.uk/id/company/15881018,,,False,True,False
BUTTERY TOAST LTD,54.990946,-1.581572,NE6 5RD,E08000021,False,False,False,,,13979127,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/13979127,,,False,True,False
BYKER GRAVE LTD,54.985791,-1.572031,NE6 5DD,E08000021,False,False,False,,,14960889,NO ACCOUNTS FILED,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/14960889,,,False,True,False
Ballet Lorent Limited,54.976855,-1.6858953,NE15 6TT,E08000021,False,True,True,E08000021,Newcastle upon Tyne,05093450,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/05093450,,,True,True,False
Beacon Films CIC,54.977498,-1.575507,NE6 1PB,E08000021,False,False,True,E08000021,Newcastle upon Tyne,07740648,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/07740648,,,True,True,False
Benjamin Storey,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Beth Veitch,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Bethan Kitchen,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Bev Robinson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Blank Studios LLP,54.979400,-1.595971,NE2 1BB,E08000021,False,False,True,E08000021,Newcastle upon Tyne,OC336119,TOTAL EXEMPTION FULL,"[""None Supplied""]",http://business.data.gov.uk/id/company/OC336119,,,True,True,False
Brave Exhibitions CIC,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
CADE MEDIA LIMITED,54.97297,-1.608298,NE1 6UF,E08000021,False,False,False,,,13609135,MICRO ENTITY,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/13609135,,,False,True,False
CAMBRIDGE SCHOLARS PUBLISHING LTD,54.974422,-1.556686,NE6 2PA,E08000021,False,False,False,,,04333775,TOTAL EXEMPTION FULL,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/04333775,,,False,True,False
CANNY CRAFTY LTD,55.006298,-1.624439,NE3 1DU,E08000021,False,False,False,,,11033137,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11033137,,,False,True,False
CANTABILE TOUCH LTD,54.970661,-1.619521,NE1 4XE,E08000021,False,False,False,,,15274939,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15274939,,,False,True,False
CAP-A-PIE ENGAGEMENTS,54.976097,-1.597019,NE2 1AN,E08000021,False,False,False,,,08938843,TOTAL EXEMPTION FULL,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/08938843,,,False,True,False
CARE STAFFING SERVICES LIMITED,54.995416,-1.657428,NE5 3HQ,E08000021,False,False,False,,,15306207,NO ACCOUNTS FILED,"[""82990 - Other business support service activities n.e.c."", ""84120 - Regulation of health care, education, cultural and other social services, not incl. social security"", ""87100 - Residential nursing care facilities"", ""88100 - Social work activities without accommodation for the elderly and disabled""]",http://business.data.gov.uk/id/company/15306207,,,False,True,False
CASSINI FILMS LTD,55.006197,-1.614653,NE3 1AL,E08000021,False,False,False,,,13454070,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/13454070,,,False,True,False
CAVIAR PRODUCTIONS LTD,54.965466,-1.616477,NE1 3PA,E08000021,False,False,False,,,15593210,NO ACCOUNTS FILED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/15593210,,,False,True,False
CAVIAR STUDIOS LTD,54.965466,-1.616477,NE1 3PA,E08000021,False,False,False,,,13835848,MICRO ENTITY,"[""59112 - Video production activities"", ""59132 - Video distribution activities""]",http://business.data.gov.uk/id/company/13835848,,,False,True,False
CERINA DESIGN LTD,54.982699,-1.592877,NE2 1PD,E08000021,False,False,False,,,12960900,MICRO ENTITY,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/12960900,,,False,True,False
CHALK COLLECTIVE C.I.C.,54.9794,-1.595971,NE2 1BB,E08000021,False,False,False,,,09778916,MICRO ENTITY,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/09778916,,,False,True,False
CHARLOTTE GARDINER LTD,54.988957,-1.604863,NE2 2AJ,E08000021,False,False,False,,,09252062,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/09252062,,,False,True,False
CHARM QUARK LTD,55.009605,-1.624096,NE3 1EH,E08000021,False,False,False,,,14562675,NO ACCOUNTS FILED,"[""46180 - Agents specialized in the sale of other particular products"", ""47781 - Retail sale in commercial art galleries"", ""70229 - Management consultancy activities other than financial management"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/14562675,,,False,True,False
CHOKEPOINT CREATIVE LTD,54.976343,-1.659215,NE15 6PR,E08000021,False,False,False,,,15143916,NO ACCOUNTS FILED,"[""62011 - Ready-made interactive leisure and entertainment software development"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15143916,,,False,True,False
CHR EVENTS LTD,55.010151,-1.677379,NE3 2FD,E08000021,False,False,False,,,15443090,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15443090,,,False,True,False
CIRCA Projects,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
CLEAR AND LOUD LIMITED,54.97297,-1.608298,NE1 6UF,E08000021,False,False,False,,,08457400,TOTAL EXEMPTION FULL,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/08457400,,,False,True,False
CLOAK PRODUCTIONS LIMITED,54.984767,-1.603998,NE2 1TJ,E08000021,False,False,False,,,04464234,MICRO ENTITY,"[""59112 - Video production activities"", ""59113 - Television programme production activities""]",http://business.data.gov.uk/id/company/04464234,,,False,True,False
CLOCKWORK DREAMS LIMITED,54.980767,-1.676865,NE5 2ET,E08000021,False,False,False,,,10080057,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/10080057,,,False,True,False
CLOSE GRIPS LIMITED,55.0277,-1.625741,NE3 5NP,E08000021,False,False,False,,,11292179,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/11292179,,,False,True,False
COASTAL DECORATIVE GLASS SUPPLIES LTD,55.011201,-1.623642,NE3 3PF,E08000021,False,False,False,,,12499997,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/12499997,,,False,True,False
COBALT TOO C.I.C.,54.97651,-1.596189,NE2 1AP,E08000021,False,False,False,,,08966471,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/08966471,,,False,True,False
CODENAME FILMS LTD,54.97132,-1.597491,NE1 3DY,E08000021,False,False,False,,,14717928,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/14717928,,,False,True,False
CODENAME MUSIC LTD.,54.97132,-1.597491,NE1 3DY,E08000021,False,False,False,,,11636052,UNAUDITED ABRIDGED,"[""59200 - Sound recording and music publishing activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11636052,,,False,True,False
COGNISANT HEALTH CIC,54.966058,-1.65421,NE4 8AW,E08000021,False,False,False,,,13346073,MICRO ENTITY,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/13346073,,,False,True,False
COHERENT 360 LTD,54.970721,-1.647828,NE4 8SA,E08000021,False,False,False,,,14855495,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities"", ""59112 - Video production activities"", ""62020 - Information technology consultancy activities""]",http://business.data.gov.uk/id/company/14855495,,,False,True,False
COMEDY SUPPORT ACT UK LTD,55.005318,-1.626622,NE3 4HH,E08000021,False,False,False,,,09295341,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/09295341,,,False,True,False
CRAIG ASTLEY PROJECTS LIMITED,54.979046,-1.671582,NE15 7NL,E08000021,False,False,False,,,12297106,TOTAL EXEMPTION FULL,"[""91012 - Archives activities""]",http://business.data.gov.uk/id/company/12297106,,,False,True,False
CREATIVE HERITAGE STUDIOS CIC,54.976737,-1.686097,NE15 6TT,E08000021,False,False,False,,,12603546,TOTAL EXEMPTION FULL,"[""23410 - Manufacture of ceramic household and ornamental articles"", ""74100 - specialised design activities"", ""85520 - Cultural education""]",http://business.data.gov.uk/id/company/12603546,,,False,True,False
CULTAHOLIC VENTURES LIMITED,54.975861,-1.596225,NE2 1BP,E08000021,False,False,False,,,10949403,UNAUDITED ABRIDGED,"[""59112 - Video production activities"", ""63910 - News agency activities""]",http://business.data.gov.uk/id/company/10949403,,,False,True,False
CULTURED. NORTH EAST LIMITED,54.981547,-1.584233,NE6 5AE,E08000021,False,False,False,,,14404980,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/14404980,,,False,True,False
Caitlin Evans,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Cameron John Sharp,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Cap-a-Pie,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Carole Wears,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Chalk,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Charlie Bramley,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Chloe Stott,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Cobalt Studios Ltd,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
