organisation,latitude,longitude,pcds,oslaua,IPSO,NPO,Project Grant,funding_geo_code,funding_geo_name,company_number,accounts_category,sic_code,uri,registered_charity_number,charity_contact_web,funded,company_match,charity_match
3SIXTY TOUR MANAGEMENT LTD,54.97697,-1.714235,NE15 8DE,E08000021,False,False,False,,,12459092,TOTAL EXEMPTION FULL,"[""70229 - Management consultancy activities other than financial management"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/12459092,,,False,True,False
456 LIVE LTD,54.972665,-1.584009,NE6 1QU,E08000021,False,False,False,,,13320647,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/13320647,,,False,True,False
4M Puppets,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
4MEDIAS LTD,54.9841,-1.579346,NE6 5XS,E08000021,False,False,False,,,06438912,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59112 - Video production activities"", ""74909 - Other professional, scientific and technical activities n.e.c.""]",http://business.data.gov.uk/id/company/06438912,,,False,True,False
A M C D (PUBLISHERS) LIMITED,55.000977,-1.63526,NE3 4XE,E08000021,False,False,False,,,02049025,MICRO ENTITY,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/02049025,,,False,True,False
A STONE'S THROW FESTIVAL LTD,54.969645,-1.618643,NE1 5DW,E08000021,False,False,False,,,13621909,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/13621909,,,False,True,False
A-YA DESIGN LTD,55.00311,-1.695524,NE5 1NB,E08000021,False,False,False,,,09977665,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/09977665,,,False,True,False
A.B.S.L HEALTHCARE LTD,54.977217,-1.653755,NE4 9NB,E08000021,False,False,False,,,14778521,NO ACCOUNTS FILED,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/14778521,,,False,True,False
AAC ENTERPRISE LTD,54.989216,-1.596826,NE2 2AW,E08000021,False,False,False,,,14007221,MICRO ENTITY,"[""59200 - Sound recording and music publishing activities"", ""86220 - Specialists medical practice activities"", ""90010 - Performing arts"", ""96090 - Other service activities n.e.c.""]",http://business.data.gov.uk/id/company/14007221,,,False,True,False
ABSOLUTE MAKEUP LTD,55.002951,-1.586732,NE7 7RE,E08000021,False,False,False,,,10761046,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10761046,,,False,True,False
ACADEMY OF EXCELLENCE - INTERNATIONAL LTD,54.970856,-1.615895,NE1 5JE,E08000021,False,False,False,,,13802868,MICRO ENTITY,"[""85520 - Cultural education"", ""85590 - Other education n.e.c."", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/13802868,,,False,True,False
ACADEMY OF EXCELLENCE INNOVATION LTD,54.970856,-1.615895,NE1 5JE,E08000021,False,False,False,,,15107613,NO ACCOUNTS FILED,"[""85520 - Cultural education"", ""85590 - Other education n.e.c."", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/15107613,,,False,True,False
ACTIVE NORTHUMBERLAND,54.984767,-1.603998,NE2 1TJ,E08000021,False,False,False,,,08484436,GROUP,"[""91011 - Library activities"", ""91030 - Operation of historical sites and buildings and similar visitor attractions"", ""93110 - Operation of sports facilities""]",http://business.data.gov.uk/id/company/08484436,,,False,True,False
AFRONORTHEAST LIMITED,54.983553,-1.63026,NE2 4LS,E08000021,False,False,False,,,14853799,NO ACCOUNTS FILED,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/14853799,,,False,True,False
AFROSPHERE FILMS LTD,55.008973,-1.682752,NE5 4BW,E08000021,False,False,False,,,14929761,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""73120 - Media representation services"", ""74100 - specialised design activities"", ""74202 - Other specialist photography""]",http://business.data.gov.uk/id/company/14929761,,,False,True,False
AG MUSIC LTD,54.996422,-1.590581,NE7 7YA,E08000021,False,False,False,,,15587826,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15587826,,,False,True,False
AIBA CONSULTANCY LTD,54.992456,-1.662892,NE5 3LD,E08000021,False,False,False,,,10759453,TOTAL EXEMPTION FULL,"[""70210 - Public relations and communications activities"", ""70229 - Management consultancy activities other than financial management"", ""85520 - Cultural education"", ""85590 - Other education n.e.c.""]",http://business.data.gov.uk/id/company/10759453,,,False,True,False
AIW LIMITED,54.988305,-1.597806,NE2 2JH,E08000021,False,False,False,,,15386510,NO ACCOUNTS FILED,"[""58190 - Other publishing activities"", ""63120 - Web portals""]",http://business.data.gov.uk/id/company/15386510,,,False,True,False
AK CREATIVE CONSULTANCY LIMITED,54.972432,-1.592135,NE1 2BE,E08000021,False,False,False,,,12178347,MICRO ENTITY,"[""59112 - Video production activities"", ""60100 - Radio broadcasting"", ""70210 - Public relations and communications activities"", ""70229 - Management consultancy activities other than financial management""]",http://business.data.gov.uk/id/company/12178347,,,False,True,False
ALEC GORDON PRODUCTIONS LIMITED,54.991545,-1.596711,NE2 2RN,E08000021,False,False,False,,,11605961,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/11605961,,,False,True,False
ALEX BUTLER MUSIC LIMITED,54.982028,-1.602461,NE2 1QP,E08000021,False,False,False,,,07021710,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/07021710,,,False,True,False
ALISONPRODUCTIONSERVICES LTD,55.00292,-1.717162,NE5 1UH,E08000021,False,False,False,,,09076584,MICRO ENTITY,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/09076584,,,False,True,False
ALL GRAPHICS LIMITED,55.028898,-1.64785,NE13 9DB,E08000021,False,False,False,,,11068912,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11068912,,,False,True,False
ALL WAYS GOOD COMPANY LTD,54.98063,-1.592226,NE6 5BA,E08000021,False,False,False,,,15063180,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90030 - Artistic creation"", ""93120 - Activities of sport clubs""]",http://business.data.gov.uk/id/company/15063180,,,False,True,False
ALMUSTASHARA SATELLITE TELEVISION CHANNEL LTD,54.999603,-1.694378,NE5 5HP,E08000021,False,False,False,,,09665374,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/09665374,,,False,True,False
ALPHA COMMUNICATION LIMITED,54.972382,-1.623428,NE4 5TF,E08000021,False,False,False,,,02187790,TOTAL EXEMPTION FULL,"[""58142 - Publishing of  consumer and business journals and periodicals"", ""59112 - Video production activities"", ""70210 - Public relations and communications activities"", ""73110 - Advertising agencies""]",http://business.data.gov.uk/id/company/02187790,,,False,True,False
ALPHABETTI TRADING LIMITED,54.969103,-1.623631,NE1 4HP,E08000021,False,False,False,,,11214355,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/11214355,,,False,True,False
AMELIA BEDELIA LTD,54.983426,-1.604275,NE2 2AA,E08000021,False,False,False,,,15024883,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90030 - Artistic creation"", ""91011 - Library activities"", ""91020 - Museums activities""]",http://business.data.gov.uk/id/company/15024883,,,False,True,False
ANDY SMYTHE LTD,54.986864,-1.578317,NE6 5LR,E08000021,False,False,False,,,13625052,MICRO ENTITY,"[""20411 - Manufacture of soap and detergents"", ""59113 - Television programme production activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13625052,,,False,True,False
ANGELMOON ENTERPRISES LIMITED,55.026326,-1.632121,NE3 5RS,E08000021,False,False,False,,,05328234,TOTAL EXEMPTION FULL,"[""32990 - Other manufacturing n.e.c."", ""59200 - Sound recording and music publishing activities"", ""90010 - Performing arts""]",http://business.data.gov.uk/id/company/05328234,,,False,True,False
