organisation,IPSO,NPO,Project Grant,company_number
4M Puppets,False,False,True,
Alphabetti Theatre,False,False,True,CE006183
Amber Film & Photography Collective,False,False,True,07218282
BRASH Theatre Company Ltd,False,False,True,12874160
Ballet Lorent Limited,False,True,True,05093450
Beacon Films CIC,False,False,True,07740648
Blank Studios LLP,False,False,True,OC336119
Brave Exhibitions CIC,False,False,True,
CIRCA Projects,False,False,True,
Cap-a-Pie,False,False,True,
Chalk,False,False,True,
Cobalt Studios Ltd,False,False,True,
Creative Spaces North East C.I.C.,False,False,True,11959787
Curious Arts Ltd,False,False,True,
Curious Monkey Ltd,False,False,True,08550041
D6 Culture Ltd,False,False,True,02632544
Dance City,False,True,False,
Department of Classics Newcastle University,False,False,True,
Eliot Smith Company,False,False,True,09442391
Equal Arts,False,False,True,01992359
Fertile Ground Dance Ltd,False,False,True,10599285
Frank & Bird Ltd,False,False,True,08901310
Friends of Jesmond Library,False,False,True,08430250
Generator North East,False,True,False,03670235
Glow Create CIC,False,False,True,
Greyscale Theatre Company,False,False,True,
Guild of Lillians,False,False,True,05485468
Hand Of Ltd,False,False,True,10156422
Inpress Ltd,True,False,False,
International Guitar Foundation & Festivals,False,False,True,02932317
Jazz North East Ltd,False,False,True,
Liberdade community development trust,False,False,True,06548122
Mi Viejo Fruta Ltd,False,False,True,
Monkfish Productions CIO,False,False,True,CE020029
Moving Parts Arts CIO,False,False,True,CE026125
NOVAK,False,False,True,
Neighbourhood Watch Stilts international,False,False,True,
New Writing North,False,True,True,03166037
Newcastle Asian Arts and Music,False,False,True,
Newcastle Centre for the Literary Arts,False,False,True,
Newcastle City Council Culture,False,False,True,
Newcastle Libraries,False,False,True,
Nexus,False,False,True,
North East Theatre Trust Ltd,False,True,False,01697756
Northern Print,False,True,True,
Northern Stage (Theatrical Productions) Ltd,False,True,False,02187213
Northumbria Architecture Society,False,False,True,
Northumbria University,False,False,True,
Notion Music Recordings Ltd,False,False,True,13306721
Open Clasp Theatre Company,False,True,True,05137687
Pelican Theatre,False,False,True,13308820
Playing Up Theatre Company,False,False,True,
Polestar Studios,False,False,True,
"Seven Stories, The National Centre for Children's Books",False,True,False,03209411
Sister Shack,False,False,True,12282082
Skimstone Arts,False,False,True,06261728
SlamFresh,False,False,True,11547362
Slugtown,False,False,True,
Southpaw Dance Company,False,False,True,09689048
TUSK MUSIC PROJECTS,False,False,True,
Tatwood Puppets,False,False,True,11547347
The Empty Space,False,False,True,
The Letter Room,False,False,True,
The Lubber Fiend,False,False,True,13314395
The NewBridge Project,False,True,False,10582100
Tusk Music,False,False,True,
Tyne & Wear Archives & Museums,False,True,True,07334262
Tyne Bank Brewery Ltd,False,False,True,
Tyneside Cinema,False,False,True,01113101
Tyneside Irish Cultural Society,False,False,True,02892258
Unfolding Theatre,False,True,False,06764666
Unlock Music CIC,False,False,True,13277858
Wear and Tyne Festivals,False,False,True,
a-n The Artists Information Company,False,True,False,01626331
fanSHEN,False,False,True,
tiny dragon Productions,False,False,True,13816200
