organisation,Local authority,Source,Number
Prometheus Foundation,North Tyneside,Project Grant,1
Queen's Hall Arts,Northumberland,NPO,1
Rachael Walsh,South Tyneside,Project Grant,1
Rachel Stockdale,North Tyneside,Project Grant,1
Rachel Stockdale-Cook,North Tyneside,Project Grant,1
Rebecca Glendenning-Laycock,Newcastle upon Tyne,Project Grant,2
Rebecca Jameson,Northumberland,Project Grant,1
Rebecca Parker,County Durham,Project Grant,1
Rebekah Cook,County Durham,Project Grant,1
Redhills CIO,County Durham,NPO,1
Regeneration NE CIC,County Durham,Project Grant,1
Rendez-Vous dance,North Tyneside,Project Grant,3
Rene McBrearty,Newcastle upon Tyne,Project Grant,1
Rhianne Bowes,Newcastle upon Tyne,Project Grant,1
Richard Bliss,Newcastle upon Tyne,Project Grant,1
Richard Boggie,Newcastle upon Tyne,Project Grant,1
Robert Anderson,Gateshead,Project Grant,3
Robert Nicholson,South Tyneside,Project Grant,1
Robin Paley Yorke,Gateshead,Project Grant,1
Rosa Postlethwaite,Newcastle upon Tyne,Project Grant,2
Rosa Stourac McCreery,Newcastle upon Tyne,Project Grant,1
Rosie Bowden,Northumberland,Project Grant,1
Rosie Sales,Northumberland,Project Grant,1
Rowan McCabe,Newcastle upon Tyne,Project Grant,2
Ruth Mary Johnson,North Tyneside,Project Grant,1
Ryan Margaret Hay,North Tyneside,Project Grant,1
Sabina Sallis,Newcastle upon Tyne,Project Grant,1
Salto Arts,North Tyneside,Project Grant,3
Sam Mudd,Gateshead,Project Grant,1
Samantha Bell,North Tyneside,Project Grant,2
Samantha Neale,Newcastle upon Tyne,Project Grant,1
Samuel Burnard,County Durham,Project Grant,1
Sangini,South Tyneside,Project Grant,2
Sarah Dobbs,South Tyneside,Project Grant,1
Sarah Fisher,Gateshead,Project Grant,1
Sarah Li,Newcastle upon Tyne,Project Grant,2
Sebastian Trend,Newcastle upon Tyne,Project Grant,1
"Seven Stories, The National Centre for Children's Books",Newcastle upon Tyne,NPO,1
Sharon Bailey,Northumberland,Project Grant,3
Sharon Race,County Durham,Project Grant,1
Sheila Graber,South Tyneside,Project Grant,1
Shoddy Theatre,Northumberland,Project Grant,2
Show Racism The Red Card,North Tyneside,Project Grant,1
Sian Armstrong,Gateshead,Project Grant,1
Simon West,Newcastle upon Tyne,Project Grant,1
Sister Shack,Newcastle upon Tyne,Project Grant,1
Skimstone Arts,Newcastle upon Tyne,Project Grant,5
SlamFresh,Newcastle upon Tyne,Project Grant,3
Slugtown,Newcastle upon Tyne,Project Grant,2
Sneha Solanki,North Tyneside,Project Grant,2
Society of Strays,North Tyneside,Project Grant,1
Sophie Buxton,North Tyneside,Project Grant,4
South Tyneside Council,South Tyneside,NPO,1
South Tyneside Council,South Tyneside,Project Grant,7
South Tyneside Council -Music,South Tyneside,Project Grant,1
South Tyneside Council Culture,South Tyneside,Project Grant,1
South Tyneside Primary Schools Music Festival Association,South Tyneside,Project Grant,1
Southpaw Dance Company,Newcastle upon Tyne,Project Grant,5
Southpaw Dance Productions,Sunderland,NPO,1
Steph Sykes,Sunderland,Project Grant,1
Stephanie Hunter,County Durham,Project Grant,1
Stephen Livingstone,County Durham,Project Grant,2
Stephen Messam,County Durham,Project Grant,1
Steve Byron,Newcastle upon Tyne,Project Grant,5
Steven Blackshaw,Newcastle upon Tyne,Project Grant,1
Steven Moore,Newcastle upon Tyne,Project Grant,1
Sunderland BID,Sunderland,Project Grant,1
Sunderland Creative Writing CIC,Sunderland,Project Grant,1
Sunderland Culture,Sunderland,NPO,1
Sunderland Culture,Sunderland,Project Grant,2
Sunderland Empire Theatre Trust Board,Sunderland,Project Grant,1
Sunderland MAC Trust,Sunderland,Project Grant,6
Sunderland University Big Band,County Durham,Project Grant,1
Surface Area Dance Theatre CIC,Sunderland,NPO,1
Surface Area Dance Theatre CIC,Sunderland,Project Grant,6
Susan Betts,Northumberland,Project Grant,1
Susan Loughlin,South Tyneside,Project Grant,2
Susie Green,Newcastle upon Tyne,Project Grant,1
TIN Arts,County Durham,NPO,1
TUSK MUSIC PROJECTS,Newcastle upon Tyne,Project Grant,1
Tallulah Lines,Newcastle upon Tyne,Project Grant,1
Tamsin Rees,Newcastle upon Tyne,Project Grant,2
Tatwood Puppets,Newcastle upon Tyne,Project Grant,3
Tess Denman-Cleaver,Gateshead,Project Grant,1
The Auckland Project,County Durham,Project Grant,1
The Barn at Easington,County Durham,Project Grant,1
The Bowes Museum,County Durham,NPO,1
The Bowes Museum,County Durham,Project Grant,1
The Creative Seed CIC,South Tyneside,Project Grant,6
The Customs House,South Tyneside,NPO,1
The Empty Space,Newcastle upon Tyne,Project Grant,4
The Forge,County Durham,NPO,1
The Lawnmowers Independent Theatre Company,Gateshead,NPO,1
The Lawnmowers Independent Theatre Company,Gateshead,Project Grant,1
The Letter Room,Newcastle upon Tyne,Project Grant,1
The Lubber Fiend,Newcastle upon Tyne,Project Grant,1
The Maltings Berwick Trust Limited,Northumberland,NPO,1
The Maltings Berwick Trust Limited,Northumberland,Project Grant,1
The NewBridge Project,Newcastle upon Tyne,NPO,1
The Radio Rooms,Northumberland,Project Grant,1
The Witham Hall Ltd,County Durham,Project Grant,2
Theatre Sans Frontieres,Northumberland,Project Grant,6
Theatre Space North East CIC,Sunderland,Project Grant,3
Thomas Machell,Northumberland,Project Grant,1
Thought Foundation,Gateshead,Project Grant,1
Thoughtful Planet 3,Gateshead,Project Grant,1
Tim Dalling,Newcastle upon Tyne,Project Grant,1
Tim Shaw,Gateshead,Project Grant,1
TimbaDash Theatre,North Tyneside,Project Grant,2
Timothy Burke,Newcastle upon Tyne,Project Grant,1
Together for Children Sunderland,Sunderland,Project Grant,1
Tom Kelly,Gateshead,Project Grant,1
Tony Hopkins Entertainments Ltd,Gateshead,Project Grant,1
Tusk Music,Newcastle upon Tyne,Project Grant,2
Tyne & Wear Archives & Museums,Newcastle upon Tyne,NPO,1
Tyne & Wear Archives & Museums,Newcastle upon Tyne,Project Grant,1
Tyne Bank Brewery Ltd,Newcastle upon Tyne,Project Grant,1
Tyneside Cinema,Newcastle upon Tyne,Project Grant,1
Tyneside Irish Cultural Society,Newcastle upon Tyne,Project Grant,1
Unfolding Theatre,Newcastle upon Tyne,NPO,1
Unlock Music CIC,Newcastle upon Tyne,Project Grant,3
Urban Field Events,Northumberland,Project Grant,1
Ushaw College,County Durham,Project Grant,4
Vane Contemporary Art Limited,Gateshead,NPO,1
Vane Contemporary Art Limited,Newcastle upon Tyne,Project Grant,1
Vindolanda Trust,Northumberland,Project Grant,2
Visual Arts in Rural Communities,Northumberland,Project Grant,1
Vivien Wood,North Tyneside,Project Grant,1
We Make Culture CIC,Sunderland,Project Grant,3
Wear and Tyne Festivals,Newcastle upon Tyne,Project Grant,1
Wesley Stephenson,Newcastle upon Tyne,Project Grant,7
William Steele,Newcastle upon Tyne,Project Grant,2
Wolfgang Weileder,Newcastle upon Tyne,Project Grant,1
Woodhorn Charitable Trust,Northumberland,NPO,1
Workie Ticket Theatre CIC,North Tyneside,Project Grant,1
Woven Nest Theatre,Gateshead,Project Grant,4
YMCA North Tyneside,North Tyneside,Project Grant,1
YMCA Teesdale,County Durham,Project Grant,1
Yuvel Soria VArgas,South Tyneside,Project Grant,3
Zoe Murtagh,Newcastle upon Tyne,Project Grant,1
a-n The Artists Information Company,Newcastle upon Tyne,NPO,1
fanSHEN,Newcastle upon Tyne,Project Grant,1
identity on tyne,North Tyneside,Project Grant,2
