Date,Child / Under 21,School,All other,Participation
2023-09-01,1043,732,5081,15
2023-10-01,1426,2000,4853,0
2023-11-01,1900,306,5375,0
2023-12-01,4685,5606,8753,106
2024-01-01,685,50,1689,137
2024-02-01,2275,273,4709,64
2024-03-01,423,258,2961,169
2024-04-01,252,38,4655,22
2024-05-01,851,72,4358,27
2024-06-01,532,98,4783,27
2024-07-01,246,276,1785,0
2024-08-01,0,0,174,5
2024-09-01,128,55,2844,25
