,organisation,charity_name,registered_charity_number,charity_company_registration_number
0,Curious Monkey Ltd,CURIOUS MONKEY LTD,1167703,08550041
1,Friends of Jesmond Library,FRIENDS OF JESMOND LIBRARY,1151935,08430250
2,Liberdade community development trust,LIBERDADE COMMUNITY DEVELOPMENT TRUST,1163955,06548122
3,Mortal Fools,MORTAL FOOLS,1153400,08102487
4,Opera Sunderland,OPERA SUNDERLAND,1157157,08902353
5,Sangini,SANGINI,1124769,01124769
6,Tyneside Cinema,TYNESIDE CINEMA,502592,01113101
7,Woodhorn Charitable Trust,WOODHORN CHARITABLE TRUST,1129712,06893854
8,YMCA North Tyneside,YMCA NORTH TYNESIDE,1011495,02703063
