Funding Org:Name,Grant Programme:Title,Culture Programme,COVID
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - AHRC grant awards in 20-21,True,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - BBSRC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - EPSRC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - ESRC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - Innovate UK grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - MRC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - NERC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - STFC grant awards in 20-21,,
"Department for Business, Energy and Industrial Strategy",Energy Bills Support Scheme: Alternative Funding (GB) - New Burdens (EBSSAFGB_NB),,
"Department for Business, Energy and Industrial Strategy",Energy Bills Support Scheme: Alternative Funding (GB),,
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee Alternative Fuel Payment (EPG AFP),,
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee Alternative Fuel Payment Alternative Fund (EPG AFP AF)??,,
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee: Alternative Fuel Payment - Alternative Funding - New Burdens (EPG AFP AF_NB),,
"Department for Business, Energy and Industrial Strategy",Green Homes Fund - Local Authority Delivery Phase 1,,
"Department for Business, Energy and Industrial Strategy",Green Homes Grant - Local Authority Delivery (LAD) Phase 3,,
"Department for Business, Energy and Industrial Strategy",Heat Networks Efficiency Scheme Demonstrator,,
"Department for Business, Energy and Industrial Strategy",Home Upgrade Grant (HUG 1),,
"Department for Business, Energy and Industrial Strategy",Omicron Hospitality and Leisure Grant,,
"Department for Business, Energy and Industrial Strategy",Public Sector Decarbonisation Scheme (Phase 3),,
"Department for Business, Energy and Industrial Strategy",Public Sector Low Carbon Skills Fund - Phase 1,,
"Department for Business, Energy and Industrial Strategy",Restart Grant,,
"Department for Business, Energy and Industrial Strategy",Small and Retail Hospitality Business Support Grants Fund Cohort 1,,
"Department for Business, Energy and Industrial Strategy",Small Business Grants Fund (SBGF) - Discretionary Fund,,
"Department for Business, Energy and Industrial Strategy",Small business retail and leisure local restrictions Grant 20-21 Cohort 2,,
"Department for Business, Energy and Industrial Strategy",Social Housing Decarbonisation Main Fund,,
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 21/22,True,
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 22/23,True,
"Department for Business, Energy and Industrial Strategy",UKRI - BBSRC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - BBSRC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - COVID - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - EPSRC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - EPSRC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - ESRC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - ESRC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - FIC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - FLF - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - GCRF - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - HEG - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - Innovate - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - Innovate UK - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - ISCF - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - MRC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - MRC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - NC3Rs - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - NERC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - NERC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - Newton Fund - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - SPF - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - STFC - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - STFC - Scheme 22/23,,
"Department for Business, Energy and Industrial Strategy",UKRI - UKRI - Scheme 21/22,,
"Department for Business, Energy and Industrial Strategy",UKRI - UKRI - Scheme 22/23,,
"Department for Digital, Culture, Media & Sport",20/21 General,,
"Department for Digital, Culture, Media & Sport",2020/21 Culture Recovery Fund for Independent Cinemas England (CRFICE),True,True
"Department for Digital, Culture, Media & Sport",2020/21 Young Audiences Content Fund (YACF),True,
"Department for Digital, Culture, Media & Sport",2021/22 UK Global Screen Fund (UKGSF),True,
"Department for Digital, Culture, Media & Sport",21/22 General,True,
"Department for Digital, Culture, Media & Sport",ACE Emergency Funding,True,
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Bridge Expansion,True,
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Investment Funds,True,
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - National Portfolio Organisations,True,
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitBritain - GREAT Gateway Innovation Fund 2022/24,,
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - COVID-19 Destination Management Resilience Scheme,,True
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Destination Management Organisations' Marketing Recovery Fund 2020-22,,True
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Destination Management Organisations' Recovery Marketing Fund (No. 2) 2021/23,,True
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Discover England Fund Year 5 2020/21,,
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Heritage Protection Commissions-fy 20/21,True,
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 20/21,True,
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 21/22,True,
"Department for Digital, Culture, Media & Sport",ALB - National Heritage Memorial Fund - Culture Recovery Fund for Heritage 2020-21,True,True
"Department for Digital, Culture, Media & Sport",ALB - National Heritage Memorial Fund - Heritage Capital Kickstart Fund 2020-21,True,
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Domestic Support Fund,,
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Growth Programme 2020/23,,
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Growth Programme 2020/24,,
"Department for Digital, Culture, Media & Sport",ALB - VisitEngland - pilot Destination Development Partnership (North-East) 2022-25,,
"Department for Digital, Culture, Media & Sport",ALB-Historic England-Covid-19 Emergency Response Fund Resilience Grants,True,True
"Department for Digital, Culture, Media & Sport",ALB-Historic England-Heritage Stimulus Fund Emergency Heritage at Risk Response Fund,True,
"Department for Digital, Culture, Media & Sport",ALB-Sport England-Core Market,,
"Department for Digital, Culture, Media & Sport",ALB-Sport England-Facilities,,
"Department for Digital, Culture, Media & Sport",Arts Council National Lottery Project Grants,,
"Department for Digital, Culture, Media & Sport",Big Night In,True,
"Department for Digital, Culture, Media & Sport",Bridge Expansion,,
"Department for Digital, Culture, Media & Sport",Capital Investment Programme,True,
"Department for Digital, Culture, Media & Sport",Capital/Infrastructure,True,
"Department for Digital, Culture, Media & Sport",Children and Young People,True,
"Department for Digital, Culture, Media & Sport",Community Match Challenge Fund,True,
"Department for Digital, Culture, Media & Sport",Coronavirus Community Support Fund,True,True
"Department for Digital, Culture, Media & Sport",COVID19,True,True
"Department for Digital, Culture, Media & Sport",Cultural Compacts,True,
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Arts Recovery (ACE),True,True
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Continuity Support,True,True
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Cultural Capital Kickstart Fund (ACE),True,True
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Emergency Resource Support,True,True
"Department for Digital, Culture, Media & Sport",Dynamo Cyber Skills Pilot Cluster Project 2021,True,
"Department for Digital, Culture, Media & Sport",Future Radio Access Networks Competition (FRANC),True,
"Department for Digital, Culture, Media & Sport",Green Recovery Challenge Fund - Round 1,True,True
