Funding Org:Name,Grant Programme:Title,Culture Programme,COVID
"Department for Digital, Culture, Media & Sport",Heritage Capital Kickstart Fund,True,
"Department for Digital, Culture, Media & Sport",HMT Tampon Tax 19/20 Fund,,
"Department for Digital, Culture, Media & Sport",HMT Tampon Tax 20/21 Fund,,
"Department for Digital, Culture, Media & Sport",Investment Funds,True,
"Department for Digital, Culture, Media & Sport",Life Chances Fund,True,
"Department for Digital, Culture, Media & Sport",National Portfolio Organisations,True,
"Department for Digital, Culture, Media & Sport",PFI Grants to Local Authorities Paid via DLUHC,True,
"Department for Digital, Culture, Media & Sport",Transition Fund,True,
"Department for Digital, Culture, Media & Sport",Youth Accelerator Fund 1920,True,
"Department for Digital, Culture, Media & Sport",Youth Covid Support Fund 2021,True,True
"Department for Environment, Food and Rural Affairs","NCF: Nature for Climate Peatland Discovery Grant Scheme Round 1, 2",,
"Department for Environment, Food and Rural Affairs",Air Quality Grant 2021-22 Revenue Grant to LA,,
"Department for Environment, Food and Rural Affairs",Air Quality Grant FY 2022-2023,,
"Department for Environment, Food and Rural Affairs",ALB - Rural Payments Agency - School Milk subsidy - NSA P1,,
"Department for Environment, Food and Rural Affairs",ALB - Rural Payments Agency - State Aid Funded (RD Measure 10),,
"Department for Environment, Food and Rural Affairs",Biodiversity Net Gain Planning Requirement ring fenced,,
"Department for Environment, Food and Rural Affairs",Catchment Partnership Grant (CPG) - Water Environment Improvement Fund 2020-2022,,
"Department for Environment, Food and Rural Affairs",Catchment Partnership Grant (CPG) - Water Environment Improvement Fund 2022-2025,,
"Department for Environment, Food and Rural Affairs",Countryside Stewardship,,
"Department for Environment, Food and Rural Affairs",Covid-19 Food Charity Grant Scheme,,
"Department for Environment, Food and Rural Affairs",Fisheries and Seafood Scheme (FaSS) 1,,
"Department for Environment, Food and Rural Affairs",LA & IDB Capital Grants 2020/21,,
"Department for Environment, Food and Rural Affairs",LA & IDB Flood Coastal Erosion Risk Management (FCERM) - Capital Grants 6 Year Programme (2021-27),,
"Department for Environment, Food and Rural Affairs",Local Authorities Treescape Fund,,
"Department for Environment, Food and Rural Affairs",M04 - Investments in physical assets Exchq funded NSA P2,,
"Department for Environment, Food and Rural Affairs",M10 - Agri-environment- Climate Exchq funded NSA P2,,
"Department for Environment, Food and Rural Affairs",M10 - Agri-environment- Climate Exchq,,
"Department for Environment, Food and Rural Affairs",Natural Environment Investment Readiness Fund (NEIRF) 2021-2026,,
"Department for Environment, Food and Rural Affairs",Peatland restoration Projects - CATCHMENT PARTNERSHIP GRANTS (PEATLAND RESTORATION) FOR 2020-2022,,
"Department for Environment, Food and Rural Affairs",RPA Countryside Stewardship,,
"Department for Environment, Food and Rural Affairs",RPA DOMESTIC SCHOOL MILK SCHEME,,
"Department for Environment, Food and Rural Affairs",Seafood Response Fund and Seafood Disruption Support Scheme,,
"Department for Environment, Food and Rural Affairs",Surface Water Maps Part 2 2022-2024,,
"Department for Environment, Food and Rural Affairs",Taxi and Private Hire Vehicle Data Upload Grants April 2022,,
"Department for Environment, Food and Rural Affairs",Taxi and Private Hire Vehicle Data Upload Grants January 2023,,
"Department for Environment, Food and Rural Affairs",Tree Production Innovation Fund,,
"Department for Environment, Food and Rural Affairs",UK Seafood Fund: Grant for Modernising the fleet through exploring replacement engines in the Small Scale Coastal Fleet,,
"Department for Environment, Food and Rural Affairs",Water Environment Improvement Fund - Catchment Partnership Action Fund (CPAF) 2020-2022,,
"Department for Levelling Up, Housing and Communities","Markets, Places & People",,
"Department for Levelling Up, Housing and Communities","Sales, Fees and Charges",,
"Department for Levelling Up, Housing and Communities","SALES, FEES AND CHARGES",,
"Department for Levelling Up, Housing and Communities",Accelerated Construction,,
"Department for Levelling Up, Housing and Communities",ACCELERATED CONSTRUCTION,,
"Department for Levelling Up, Housing and Communities",Affordable Housing Grant,,
"Department for Levelling Up, Housing and Communities",AFFORDABLE HOUSING GRANT,,
"Department for Levelling Up, Housing and Communities",BROWNFIELD HOUSING FUND,,
"Department for Levelling Up, Housing and Communities",Building Safety Fund,,
"Department for Levelling Up, Housing and Communities",BUSINESS IMPROVEMENT DISTRICTS,,
"Department for Levelling Up, Housing and Communities",Changing Places,,
"Department for Levelling Up, Housing and Communities",Cold Weather Payments,,
"Department for Levelling Up, Housing and Communities",Community Based English Language,,
"Department for Levelling Up, Housing and Communities",COMMUNITY BASED ENGLISH LANGUAGE,,
"Department for Levelling Up, Housing and Communities",Community Champions,,
"Department for Levelling Up, Housing and Communities",COMMUNITY CHAMPIONS,,
"Department for Levelling Up, Housing and Communities",COMMUNITY HOUSING FUND,,
"Department for Levelling Up, Housing and Communities",COVID-19 COMPLIANCE AND ENFORCEMENT GRANT,,
"Department for Levelling Up, Housing and Communities",Covid-19 Shielding Support,,
"Department for Levelling Up, Housing and Communities",COVID-19 SHIELDING SUPPORT,,
"Department for Levelling Up, Housing and Communities",Cyber Security Resilience,,
"Department for Levelling Up, Housing and Communities",Digital Planning Reform,,
"Department for Levelling Up, Housing and Communities",DISABLED FACILITIES GRANTS (N),,
"Department for Levelling Up, Housing and Communities",Domestic Abuse,,
"Department for Levelling Up, Housing and Communities",DOMESTIC ABUSE,,
"Department for Levelling Up, Housing and Communities",Expansion of Waking Watch Relief Fund,,
"Department for Levelling Up, Housing and Communities",Faith New Deal,,
"Department for Levelling Up, Housing and Communities",Faith Race Hate - Grant Scheme,,
"Department for Levelling Up, Housing and Communities",FAITH RACE HATE - GRANT SCHEME,,
"Department for Levelling Up, Housing and Communities",Help to Buy,,
"Department for Levelling Up, Housing and Communities",Holocaust Awareness Raising,,
"Department for Levelling Up, Housing and Communities",HOMELESSNESS REDUCTION NEW BURDENS,,
"Department for Levelling Up, Housing and Communities",Homes for Ukraine,,
"Department for Levelling Up, Housing and Communities",Hong Kong British National Overseas (HKBNOs) Welcome Programme,,
"Department for Levelling Up, Housing and Communities",HOUSING INFASTRUCUTRE,,
"Department for Levelling Up, Housing and Communities",Housing Infrastructure Fund,,
"Department for Levelling Up, Housing and Communities",HRS COVID-19 RESPONSE,,
"Department for Levelling Up, Housing and Communities",LA - NEW HOMES BONUS,,
"Department for Levelling Up, Housing and Communities",LA HOMELESSNESS (D),,
"Department for Levelling Up, Housing and Communities",LETTING AGENT FEE TRANSPARENCY & REDRESS,,
"Department for Levelling Up, Housing and Communities",Levelling Up Fund,,
"Department for Levelling Up, Housing and Communities",Local Authority Housing Fund (LAHF),,
"Department for Levelling Up, Housing and Communities",Local Digital Collaboration Fund,,
"Department for Levelling Up, Housing and Communities",LOCAL DIGITAL INNOVATION FUND,,
"Department for Levelling Up, Housing and Communities",LOCAL RESILIENCE FORUMS (LRFS),,
"Department for Levelling Up, Housing and Communities",Local Resilience Forums,,
"Department for Levelling Up, Housing and Communities",Mandating Data Transparency,,
"Department for Levelling Up, Housing and Communities",MANDATING DATA TRANSPARENCY,,
"Department for Levelling Up, Housing and Communities",Mayoral Capacity Fund,,
"Department for Levelling Up, Housing and Communities",MAYORAL CAPACITY FUND,,
"Department for Levelling Up, Housing and Communities",Move on Fund,,
"Department for Levelling Up, Housing and Communities",MOVE ON FUND,,
"Department for Levelling Up, Housing and Communities",NEW BURDEN PAYMENT - FIT & PROPER TEST,,
"Department for Levelling Up, Housing and Communities",New Homes Bonus,,
"Department for Levelling Up, Housing and Communities",NEXT STEPS ACCOMMODATION PROGRAMME,,
"Department for Levelling Up, Housing and Communities",North of Tyne Devo Deal,,
"Department for Levelling Up, Housing and Communities",NORTH OF TYNE DEVO DEAL,,
"Department for Levelling Up, Housing and Communities",Partnerships for People and Place,,
"Department for Levelling Up, Housing and Communities",Pavement Licensing New Burdens,,
"Department for Levelling Up, Housing and Communities",PFI and Joint Service Centre,,
"Department for Levelling Up, Housing and Communities",PFI AND JOINT SERVICE CENTRE,,
"Department for Levelling Up, Housing and Communities",Planning Delivery Fund,,
"Department for Levelling Up, Housing and Communities",PLANNING DELIVERY FUND,,
"Department for Levelling Up, Housing and Communities",ROGUE LANDLORD NEW BURDENS,,
"Department for Levelling Up, Housing and Communities",Rough Sleeping Accommodation Programme,,
"Department for Levelling Up, Housing and Communities",Rough Sleeping Initiative,,
"Department for Levelling Up, Housing and Communities",ROUGH SLEEPING INITIATIVE,,
"Department for Levelling Up, Housing and Communities",Rough Sleeping Social Impact Bond (PBR),,
"Department for Levelling Up, Housing and Communities",ROUGH SLEEPING SOCIAL IMPACT BOND (PBR),,
"Department for Levelling Up, Housing and Communities",RTB RENT,,
"Department for Levelling Up, Housing and Communities",TF SERVICE TRANSFORMATION PHASE2,,
"Department for Levelling Up, Housing and Communities",The Protect Programme,,
"Department for Levelling Up, Housing and Communities",TROUBLED FAMILIES ATTACHMENT FEE PHASE 2,,
"Department for Levelling Up, Housing and Communities",TROUBLED FAMILIES RESULTS PHASE 2,,
"Department for Levelling Up, Housing and Communities",UK Community Renewal Fund,,
"Department for Levelling Up, Housing and Communities",Ukraine Welcome Point Funding,,
A B Charitable Trust,"Human Rights, particularly access to justice",,
A B Charitable Trust,Access to Justice,,
A B Charitable Trust,Migrants and Refugees,,
A B Charitable Trust,The Criminal Legal system and penal reform,,
Access to Justice Foundation,2024 SSJSF,,
Access to Justice Foundation,Community Justice Fund Wave Three,,
Access to Justice Foundation,Community Justice Fund,,
Access to Justice Foundation,Help Accessing Legal Support  (HALS),,
Access to Justice Foundation,Improving Outcomes Through Legal Support (IOTLS) grant,,
Access to Justice Foundation,Legal Support for Litigants in Person Grant,,
Access to Justice Foundation,Round One of Improving Lives Through Advice ,,
Alan & Babette Sainsbury Charitable Fund,,,
Allen Lane Foundation,Asylum seekers and refugees,,
Allen Lane Foundation,Migrant communities,,
Allen Lane Foundation,Offenders or ex-offenders,,
Allen Lane Foundation,People with mental health issues,,
Architectural Heritage Fund,England [TPTH],,
Architectural Heritage Fund,UK [TPTH2 Historic],,
Barrow Cadbury Trust,Criminal Justice,,
Barrow Cadbury Trust,TNLCF CV-19 Support Fund,,
BBC Children in Need,2020 Booster Grants,,
BBC Children in Need,Core Grants,,
BBC Children in Need,Cost of Living Uplift,,
BBC Children in Need,Covid-19 Next Steps Grants,,
BBC Children in Need,Main Grants 2020,,
BBC Children in Need,Main Grants Autumn21,,
BBC Children in Need,Money Heroes,,
BBC Children in Need,Partnership Programme,,
BBC Children in Need,Small Grants,,
Cabinet Office,"Funding to Local Authorities in England, Scotland and Wales covering the additional cost of Individual Electoral Registration (IER) in FY 20/21 - initial funding round.",,
Cabinet Office,"Funding to Local Authorities in England, Scotland and Wales covering the additional cost of Individual Electoral Registration (IER) in FY 21/22",,
Cabinet Office,One Public Estate - Opportunities Development Fund,,
CAF,CAF Coronavirus Emergency Fund,,
CAF,CAF Resilience Fund Phase 1,,
CAF,CAF Resilience Fund Phase 2,,
CAF,Keystone Fund,,
CHK Foundation,,,
Co-operative Group,Co-op Local Community Fund,,
Community Foundation serving Tyne & Wear and Northumberland,,,
Coop Foundation,Belong (historic),,
Corra Foundation,Promise Partnership,,
Crisis UK,Home For All,,
Crisis UK,In This Together,,
Crowdfunder,National Emergencies Trust Local Action Fund,,
Department for Education,"Strengthening Families, Protecting Children (SFPC) grant",,
Department for Education,Additional Student Hardship Funding,,
Department for Education,ALB-Office for Students-Additional capital funding,,
Department for Education,ALB-Office for Students-PG conversion,,
Department for Education,Apprenticeships Participation 16 - 18,,
Department for Education,Apprenticeships Participation 18+,,
Department for Education,Competitive Capital 2021,,
Department for Education,Competitive Capital 2022-25,,
Department for Education,Condition Improvement Fund Academies,,
Department for Education,DCMS Foundation Data Skills,,
Department for Education,DHSC Mental Health Funding,,
Department for Education,Early Careers Framework Mentor Backfill Trial,,
Department for Education,Early Years Professional Development Programme (Phase 2): Building on Success,,
Department for Education,Early Years Programme,,
Department for Education,Environmental Improvement Grant,,
Department for Education,Exceptional Capital Projects,,
Department for Education,Exceptional Costs Associated with Coronavirus (COVID-19),,
Department for Education,FE Additional Capital Allocation,,
Department for Education,FE Capital Transformation,,
Department for Education,FE Initial Teacher Education Financial Incentives,,
Department for Education,Free Schools Capital,,
Department for Education,Free Schools Project Development Grants,,
Department for Education,Full Fibre Broadband,,
Department for Education,GRENFELL CAPITAL,,
Department for Education,Initial Teacher Training (ITT) Bursaries and School Direct Salaried And Postgraduate Teaching Assistants (PGTA),,
Department for Education,Modular HE Pilot,,
Department for Education,Multi-Agency Safeguarding: Implementing the Reforms,,
Department for Education,Music And Dance Scheme,,
Department for Education,Opportunity North East,,
Department for Education,PG conversion,,
Department for Education,Priority School Building Programme - Private Finance Local Authority & Voluntary Aided School Revenue Grant,,
Department for Education,Priority School Building Programme,,
Department for Education,Priority Schools Building Programme 2,,
Department for Education,SCHOOL REBUILDING PROGRAMME,,
Department for Education,Senior mental health lead training grants,,
Department for Education,Sub-National Supply,,
Department for Education,Subject Knowledge Enhancements,,
Department for Education,Summer Schools,,
Department for Education,T - Level Capital,,
Department for Education,Teaching School Core Grant,,
Department for Education,Uni Connect,,
Department for Education,Wellbeing for education recovery,,
Department for Transport,Airport and Ground Operations Support Scheme (AGOSS) 20/21,,
Department for Transport,Covid 19 Bus Service Support Grant commercial,,
Department for Transport,EVHS / Home Chargers 21/22,,
Department for Transport,HMT Economic Data Innovation Fund,,
Department for Transport,JAQU NO2 Plan - Early Measures Fund,,
Department for Transport,Light Rails Support Package 21/22,,
Department for Transport,Light Rails Support Package,,
Department for Transport,Low Emission Bus Scheme,,
Department for Transport,Major Road Network / Large Local Majors (MRN/LLM),,
Department for Transport,MCA grant 21-25,,
Department for Transport,Mobility Centres 21/22,,
Department for Transport,Nexus Grants - Capital 20/21,,
Department for Transport,Nexus Grants - Capital 21/22,,
Department for Transport,Nexus Grants - Resource 20/21,,
Department for Transport,Nexus Grants - Resource 21/22,,
Department for Transport,Nexus New Fleet Grants 20/21,,
Department for Transport,Pothole and Challenge Fund 21/22,,
Department for Transport,Safer Roads Fund,,
Department for Transport,Transforming Cities Fund 21/22,,
Department for Transport,Workplace Charging Scheme 21/22,,
Department for Work and Pensions,COVID LOCAL SUPPORT GRANT (CLSG),,
Department for Work and Pensions,Household Support Fund Grant (HSFG),,
Department for Work and Pensions,HOUSEHOLD SUPPORT FUND GRANT (HSFG),,
Department for Work and Pensions,Kickstart Scheme (2020-2021),,
Department for Work and Pensions,Kickstart Scheme,,
Department for Work and Pensions,REDUCING PARENTAL CONFLICT - LOCAL GRANT (RPC LG),,
Department for Work and Pensions,REDUCING PARENTAL CONFLICT (RPC),,
Department for Work and Pensions,VERIFICATION OF EARNINGS AND PENSION ALERTS (VEPS),,
Department of Health and Social Care,ALB - NHS BSA - Education Support Grants 20-21,,
Department of Health and Social Care,Autism Specific Health Checks,,
Department of Health and Social Care,Children and Young People?s Hospice Grant 2021-22,,
Department of Health and Social Care,COVID Dental Schools,,
Department of Health and Social Care,Disabled Facilities Grants,,
Department of Health and Social Care,Hospice Grant 2022/23,,
Department of Health and Social Care,Mass Spectometry,,
Department of Health and Social Care,Newcastle Univeristy - wastewater epidemiology,,
Department of Health and Social Care,Rough Sleeping Drug and Alcohol Treatment Grant Scheme 2022-2025,,
Department of Health and Social Care,TTSP_Test and Trace Support Payments_21/22_Q3_OctNovDec21_extension,,
Esmée Fairbairn Foundation,Main Grant,,
Esmée Fairbairn Foundation,TASK by Trustee,,
HM Revenue & Customs,SME Brexit Support Fund,,
Home Office,Afghan Citizen Resettlement Scheme & Relocation and Assistance Policy,,
Home Office,Afghan Locally Engaged Staff Ex-Gratia Scheme 2021-22,,
Home Office,Domestic Abuse Perpetrator Intervention Fund,,
Home Office,Drug Testing on Arrest,,
Home Office,EU Settlement Grant Scheme Funding 21/22,,
Home Office,EU Settlement Grant Scheme Funding,,
Home Office,Family Assessment Payment Grant,,
Home Office,Leaving Care (LC) - ENGLAND 2020-21,,
Home Office,Leaving Care (LC) - ENGLAND,,
Home Office,Local Authority Community Co-ordinator,,
Home Office,Resettlement Programme - Healthcare 2020-21,,
Home Office,Resettlement Programme - Healthcare,,
Home Office,Resettlement Programme - Post Arrival Support,,
Home Office,Safety of Women at Night Fund,,
Home Office,Serious Violence Fund - Violence Reduction Units,,
Home Office,The Safer Streets Fund,,
Home Office,Unaccompanied Asylum Seeking Children (UASC) - ENGLAND 2020-21,,
Home Office,Unaccompanied Asylum Seeking Children (UASC) - ENGLAND,,
Hyde Charitable Trust,Energy grant 22/23,,
Indigo Trust,,,
J J Charitable Trust,,,
John Ellerman Foundation,Arts,True,
Julia Rausing Trust,Foodbank Fund,,
Julia Rausing Trust,General,,
Julia Rausing Trust,Hospices 2023,,
Julia Rausing Trust,Youth Centre Recovery Fund,,
Leeds Community Foundation,Community Partnering Fund,,
Lloyd's Register Foundation,,,
Lloyds Bank Foundation for England and Wales,Racial Equity,,
Lloyds Bank Foundation for England and Wales,Recovery,,
Lloyds Bank Foundation for England and Wales,Renew,,
Lloyds Bank Foundation for England and Wales,Variation,,
Masonic Charitable Foundation,Festival,,
Masonic Charitable Foundation,Freemasons COVID-19 Community Fund,,
Masonic Charitable Foundation,Hospice,,
Masonic Charitable Foundation,Large Grant,,
Masonic Charitable Foundation,Matched Funding,,
Masonic Charitable Foundation,Small Grant,,
McCarthy Stone Foundation,2022 Christmas Connections,,
McCarthy Stone Foundation,2022 Spring Awards,,
McCarthy Stone Foundation,2023 Christmas Connections,,
McCarthy Stone Foundation,2023 Spring Community Grants,,
McCarthy Stone Foundation,2023 Winter Warm Spaces,,
Mercers' Charitable Foundation,Church and Communities - Better Outcomes for Families,,
Mercers' Charitable Foundation,COVID-19 Rapid Response Fund for Existing Grantholders,,
Millfield House Foundation,,,
Ministry of Defence,Armed Forces Charities (Armed Forces Covenant Fund Trust),,
Ministry of Defence,Armed Forces Day FY21/22,,
Ministry of Defence,COVID19 Impact Fund,,
Ministry of Defence,HMT/AFCFT fund for Afghan veterans,,
Ministry of Justice,ALB - YJB - Reducing Serious Youth Violence - Newcastle Pathfinder,,
Ministry of Justice,Cafcass: Supported Child Contact Centres (SCCC),,
Ministry of Justice,Pathfinder - Reducing Serious Youth Violence: Newcastle,,
Ministry of Justice,Supported Child Contact Centres (SCCC),,
Ministry of Justice,YJB Pathfinder - Reducing Serious Youth Violence - Newcastle,,
National Churches Trust,Cornerstone,,
National Churches Trust,Foundation,,
National Churches Trust,Small Grants Programme,,
Nesta,EdTech Innovation Fund,,
Nesta,Longitude Prize on Dementia,,
Nuffield Foundation,,,
Paul Hamlyn Foundation,Arts Access and Participation - Access and Participation Fund,True,
Paul Hamlyn Foundation,Arts Access and Participation - Inflation COL Support - APA,True,
Paul Hamlyn Foundation,Education and Learning through the Arts - Arts-based Learning Fund,True,
Paul Hamlyn Foundation,Investing in Young People - Act for Change Fund,True,
Paul Hamlyn Foundation,Migration and Integration - Inflation COL support - M&I,,
Paul Hamlyn Foundation,Migration and Integration - Shared Ground Fund,,
Paul Hamlyn Foundation,Other grants and programmes - Strategic Interventions Fund,,
Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund - Organisations,,
Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund,,
Point North,Banks Family Funds,,
Point North,Banks Lambs Hill Community Benefits Wind Farm,,
