Geography,Geography code,"Number of men","Number of women","Number of people","Proportion of men","Proportion of women","Proportion of people","Men: change on year","Women: change on year","People: change on year","Men: proportion change on year","Women: proportion change on year","People: proportion change on year"
United Kingdom,K02000001,967550,826855,1794405,4.7,3.9,4.3,105635,159020,264660,0.5,0.7,0.6
Great Britain,K03000001,944955,806785,1751740,4.7,3.9,4.3,104090,154700,258790,0.5,0.7,0.6
England,E92000001,841375,724570,1565940,4.8,4.0,4.4,99915,143025,242940,0.6,0.8,0.7
North East,E12000001,40595,30920,71515,5.1,3.7,4.4,1520,3850,5375,0.2,0.5,0.3
Newcastle upon Tyne,E08000021,5590,4145,9735,5.6,4.1,4.8,445,555,1000,0.4,0.5,0.5
