lsoa11cd,lsoa11nm,IMD Rank,IMD Decile,IMD Score,IMD Rank 0,IMD Decile 0,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,Education Score,Education Rank,Education Decile,Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Score,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Score,Income Deprivation Affecting Older People Rank,Income Deprivation Affecting Older People Decile,Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Score,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Score,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population,Dependent Children aged 0-15,Population aged 16-59,Older population aged 60 and over,Working age population 18-59/64
E01008376,"Newcastle upon Tyne 008D",28964,9,6.417,28964,9,0.037,29293,9,0.048,25247,8,2.8,29978,10,0.082,14776,5,-0.043,17329,6,2.919,32616,10,7.365,26884,9,0.048,27755,9,0.054,28446,9,-1.099,30104,10,0.19,27995,9,-0.858,28560,9,-2.905,29201,9,-0.76,26948,9,-0.184,18378,6,1154,193,663,298,675.25
E01008377,"Newcastle upon Tyne 008E",3644,2,42.29,3644,2,0.273,3141,1,0.172,4878,2,36.03,6423,2,1.843,568,1,0.587,7900,3,23.934,12212,4,7.211,27041,9,0.34,2910,1,0.39,2090,1,1.007,3707,2,0.345,11237,4,0.398,9293,3,0.284,13780,5,-0.873,27982,9,-0.123,17388,6,2377,629,1470,278,1429.5
E01008378,"Newcastle upon Tyne 006D",27779,9,7.421,27779,9,0.044,27665,9,0.046,26173,8,1.856,31052,10,-0.112,17769,6,-0.352,21775,7,24.701,11427,4,5.396,28913,9,0.052,27048,9,0.064,26313,9,-1.259,30992,10,0.17,29556,9,0.852,4461,2,-2.041,25998,8,-0.926,28427,9,-0.365,21458,7,1429,313,747,369,761
E01008379,"Newcastle upon Tyne 008F",8301,3,29.401,8301,3,0.207,6246,2,0.159,5802,2,24.038,11322,4,0.774,6147,2,0.263,12512,4,22.13,14181,5,6.753,27524,9,0.21,9398,3,0.215,8993,3,0.185,13133,4,0.362,9665,3,0.342,10163,4,0.072,14829,5,-0.773,27072,9,-0.267,19757,7,1517,330,762,425,794.25
E01008380,"Newcastle upon Tyne 008G",179,1,72.353,179,1,0.462,110,1,0.342,171,1,62.844,1412,1,2.066,286,1,1.323,1653,1,28.543,8006,3,7.929,26255,8,0.521,224,1,0.565,311,1,1.267,1995,1,0.519,1504,1,0.197,12314,4,2.032,6832,3,-0.681,26123,8,-0.17,18147,6,1711,444,1059,208,1063.25
E01008381,"Newcastle upon Tyne 021A",18087,6,15.844,18087,6,0.061,23373,8,0.084,15383,5,12.611,19385,6,0.378,10612,4,0.093,15233,5,30.285,6771,3,6.355,27959,9,0.058,26036,8,0.069,25330,8,-0.223,19781,7,0.284,17869,6,1.075,3054,1,-1.3,22400,7,-0.658,25853,8,-0.456,22853,7,1407,210,827,370,863.75
E01008382,"Newcastle upon Tyne 021B",780,1,61.55,780,1,0.365,797,1,0.261,1039,1,76.661,426,1,1.942,421,1,0.863,4766,2,20.048,16591,6,3.859,30429,10,0.398,1496,1,0.428,1400,1,1.519,977,1,0.563,573,1,-0.153,18410,6,1.161,9852,3,-1.163,30077,10,-0.501,23502,8,1312,346,671,295,664.75
E01008383,"Newcastle upon Tyne 021C",3286,2,43.853,3286,2,0.284,2762,1,0.198,3214,1,47.467,3665,2,0.985,4343,2,1.109,2736,1,26.723,9542,3,3.362,30885,10,0.333,3139,1,0.299,4738,2,1.009,3683,2,0.452,3911,2,0.509,7870,3,0.533,12632,4,-1.327,30911,10,-0.52,23764,8,1438,339,782,317,772.25
E01008384,"Newcastle upon Tyne 021D",12825,4,21.926,12825,4,0.125,13097,4,0.097,13008,4,31.699,7920,3,0.509,8988,3,0.341,11302,4,20.78,15736,5,9.246,24841,8,0.175,11936,4,0.107,19077,6,0.899,4560,2,0.321,13666,5,0.521,7740,3,-1.201,21818,7,-0.682,26139,8,0.006,15196,5,1405,232,788,385,772.75
E01008385,"Newcastle upon Tyne 021E",3138,1,44.584,3138,1,0.254,3851,2,0.186,3906,2,48.775,3459,2,1.235,2673,1,1.706,560,1,9.725,28867,9,19.968,15319,5,0.356,2445,1,0.316,4050,2,1.192,2431,1,0.428,5140,2,-0.823,28222,9,-0.184,16159,5,0.271,12282,4,-0.068,16430,6,1343,261,811,271,844.75
E01008386,"Newcastle upon Tyne 021F",14193,5,20.171,14193,5,0.139,11613,4,0.113,10599,4,26.077,10282,4,0.437,9862,4,-0.434,22879,7,16.543,20992,7,6.224,28087,9,0.17,12283,4,0.129,16279,5,0.224,12543,4,0.377,8410,3,0.23,11822,4,-1.052,21014,7,-1.33,30928,10,-0.056,16207,5,1296,250,675,371,686
E01008387,"Newcastle upon Tyne 021G",18038,6,15.898,18038,6,0.086,18597,6,0.099,12717,4,15.929,16643,6,0.554,8467,3,0.007,16563,6,12.117,26438,9,3.474,30779,10,0.108,18549,6,0.103,19617,6,-0.149,18571,6,0.316,14155,5,-0.173,18794,6,-0.818,19652,6,-0.964,28774,9,-0.767,27028,9,1343,212,750,381,767.25
E01008388,"Newcastle upon Tyne 028A",709,1,62.452,709,1,0.382,567,1,0.281,681,1,67.309,974,1,1.784,691,1,1.127,2640,1,15.755,21998,7,7.092,27180,9,0.433,920,1,0.421,1491,1,1.242,2142,1,0.548,807,1,-1.076,30333,10,1.46,8716,3,-0.815,27469,9,-0.181,18339,6,1816,436,1021,359,1020.75
E01008389,"Newcastle upon Tyne 028B",957,1,59.484,957,1,0.357,918,1,0.285,630,1,57.316,2064,1,1.859,541,1,1.058,3094,1,16.509,21027,7,5.678,28644,9,0.387,1716,1,0.449,1099,1,0.796,5528,2,0.547,843,1,-1.093,30445,10,1.637,8105,3,-0.982,28920,9,-0.279,19964,7,1695,413,979,303,988.5
E01008390,"Newcastle upon Tyne 030A",532,1,64.816,532,1,0.424,230,1,0.295,501,1,65.294,1171,1,1.767,724,1,1.088,2877,1,16.873,20590,7,4.892,29445,9,0.501,313,1,0.488,739,1,1.03,3527,2,0.565,528,1,-0.773,27674,9,1.479,8654,3,-0.958,28712,9,-0.431,22490,7,1951,528,1167,256,1151.25
E01008391,"Newcastle upon Tyne 026E",446,1,66.215,446,1,0.408,335,1,0.309,372,1,65.377,1156,1,1.746,769,1,1.314,1694,1,20.487,16086,5,5.119,29199,9,0.524,207,1,0.38,2291,1,0.871,4798,2,0.59,290,1,-0.295,20824,7,1.569,8343,3,-0.953,28676,9,-0.39,21876,7,1515,388,871,256,856.5
E01008392,"Newcastle upon Tyne 026F",1171,1,57.428,1171,1,0.335,1305,1,0.277,748,1,57.611,2028,1,1.496,1494,1,1.344,1566,1,14.289,23894,8,16.022,18411,6,0.409,1294,1,0.363,2711,1,1.25,2097,1,0.487,2495,1,-0.591,25412,8,0.688,11938,4,0.089,15063,5,-0.195,18560,6,1436,256,917,263,931
E01008394,"Newcastle upon Tyne 024A",22680,7,11.564,22680,7,0.021,32110,10,0.016,32535,10,14.311,17892,6,0.735,6536,2,-1.581,32009,10,34.401,4369,2,8.183,25970,8,0.123,16687,6,0.107,19046,6,0.22,12593,4,0.23,24066,8,0.677,6075,2,1.633,8119,3,-0.623,25445,8,-0.191,18496,6,1485,30,1416,39,1428
E01008395,"Newcastle upon Tyne 024B",7728,3,30.622,7728,3,0.22,5557,2,0.114,10419,4,21.39,12921,4,1.395,1903,1,0.308,11823,4,25.487,10664,4,6.723,27556,9,0.479,442,1,0.494,684,1,0.414,9905,4,0.298,16249,5,0.164,12827,4,1.472,8676,3,-0.815,27472,9,-0.236,19261,6,1786,137,1350,299,1363.75
E01008396,"Newcastle upon Tyne 022B",6752,3,32.812,6752,3,0.222,5387,2,0.117,10081,4,41.813,4927,2,1.093,3574,2,0.703,6475,2,19.829,16851,6,11.63,22348,7,0.255,6613,3,0.704,60,1,1.12,2903,1,0.378,8329,3,-0.258,20201,7,1.345,9140,3,-0.602,25196,8,0.217,11879,4,2267,459,1709,99,1736.75
E01008397,"Newcastle upon Tyne 024C",18149,6,15.786,18149,6,0.03,30736,10,0.026,31432,10,21.63,12786,4,0.562,8375,3,0.435,9971,4,26.441,9766,3,33.421,6992,3,0.137,15323,5,0.248,7033,3,0.816,5321,2,0.179,28926,9,0.078,14313,5,1.935,7106,3,0.982,3999,2,-0.508,23593,8,3123,34,3016,73,3068.5
E01008398,"Newcastle upon Tyne 022C",672,1,62.845,672,1,0.356,927,1,0.286,609,1,41.364,5023,2,1.957,395,1,1.746,484,1,21.337,15091,5,23.023,13114,4,0.269,5925,2,0.585,258,1,0.543,8313,3,0.473,3042,1,-1.051,30173,10,2.638,5229,2,0.464,9681,3,-0.127,17461,6,1689,414,1117,158,1130.25
E01008399,"Newcastle upon Tyne 024D",1314,1,56.272,1314,1,0.353,980,1,0.243,1506,1,43.247,4579,2,1.294,2380,1,2.187,89,1,24.961,11154,4,7.97,26206,8,0.363,2270,1,0.481,786,1,0.461,9313,3,0.496,2215,1,-0.152,18399,6,2.217,6281,2,-0.895,28156,9,-0.012,15513,5,1964,501,1145,318,1121.5
E01008400,"Newcastle upon Tyne 014A",2507,1,47.841,2507,1,0.302,2129,1,0.26,1075,1,34.101,7067,3,1.589,1161,1,0.762,5817,2,15.702,22073,7,2.045,31971,10,0.371,2052,1,0.273,5808,2,0.21,12725,4,0.452,3909,2,-0.319,21201,7,0.533,12638,4,-1.109,29790,10,-1.129,30467,10,1437,261,784,392,788.75
E01008401,"Newcastle upon Tyne 014B",5471,2,36.172,5471,2,0.227,5147,2,0.166,5257,2,53.889,2582,1,1.292,2393,1,0.277,12284,4,11.811,26764,9,4.083,30223,10,0.26,6372,2,0.24,7469,3,1.048,3389,2,0.495,2245,1,-0.56,24933,8,0.001,15202,5,-0.917,28337,9,-0.662,25709,8,1511,305,752,454,743.25
E01008402,"Newcastle upon Tyne 014C",10486,4,25.467,10486,4,0.139,11536,4,0.123,9263,3,16.815,15954,5,0.81,5803,2,0.885,4535,2,23.887,12260,4,5.259,29052,9,0.169,12355,4,0.161,13038,4,-0.113,17945,6,0.322,13534,5,0.604,6769,3,-0.677,18841,6,-0.754,26876,9,-0.569,24454,8,1483,263,850,370,864.25
E01008403,"Newcastle upon Tyne 014D",17917,6,16.027,17917,6,0.099,16472,6,0.091,14120,5,10.081,21747,7,0.439,9839,3,0.549,8415,3,9.188,29348,9,5.249,29060,9,0.129,16156,5,0.111,18417,6,-0.537,24441,8,0.282,18098,6,-0.147,18300,6,-2.071,26160,8,-0.512,24053,8,-1.146,30565,10,1444,223,699,522,723.5
E01008404,"Newcastle upon Tyne 014E",10676,4,25.153,10676,4,0.181,7940,3,0.136,7881,3,24.106,11287,4,0.511,8969,3,-0.004,16748,6,21.803,14554,5,8.744,25371,8,0.244,7265,3,0.194,10454,4,0.23,12451,4,0.357,10137,4,0.49,8125,3,-0.706,19009,6,-0.172,19190,6,-1.089,30164,10,1640,321,986,333,1002
E01008405,"Newcastle upon Tyne 014F",6438,2,33.567,6438,2,0.21,6090,2,0.157,5947,2,37.258,6128,2,1.281,2450,1,0.455,9689,3,17.825,19370,6,5.598,28718,9,0.326,3401,2,0.204,9678,3,0.835,5122,2,0.391,7383,3,-0.112,17634,6,0.542,12580,4,-0.582,24937,8,-0.778,27158,9,1406,301,824,281,833.75
E01008406,"Newcastle upon Tyne 023A",10578,4,25.307,10578,4,0.14,11400,4,0.076,17330,6,38.656,5722,2,0.905,5009,2,0.482,9325,3,16.744,20759,7,25.945,11190,4,0.388,1704,1,0.398,1898,1,1.052,3356,2,0.362,9716,3,-0.912,29070,9,1.575,8322,3,0.491,9320,3,0.16,12713,4,2895,206,2377,312,2481.5
E01008407,"Newcastle upon Tyne 023B",16184,5,17.929,16184,5,0.067,22234,7,0.042,27247,9,33.357,7324,3,1.105,3495,2,-0.549,24448,8,21.22,15240,5,19.909,15357,5,0.311,3958,2,0.43,1373,1,1.013,3658,2,0.314,14466,5,-0.327,21324,7,1.778,7612,3,0.277,12191,4,-0.09,16804,6,3741,132,3476,133,3507.25
E01008409,"Newcastle upon Tyne 017D",21587,7,12.521,21587,7,0.045,27445,9,0.037,28869,9,3.234,29466,9,0.871,5282,2,-0.086,17920,6,24.011,12129,4,21.733,14018,5,0.015,32301,10,0.178,11667,4,-0.604,25303,8,0.104,32050,10,0.358,9912,4,0.484,12841,4,0.365,11005,4,-0.05,16120,5,1670,115,1338,217,1335.25
E01008410,"Newcastle upon Tyne 023D",16658,6,17.381,16658,6,0.103,15919,5,0.059,21779,7,12.518,19486,6,0.408,10230,4,0.836,5051,2,19.273,17543,6,16.949,17633,6,0.216,9029,3,0.301,4663,2,0.055,15159,5,0.234,23486,8,-0.359,21867,7,1.427,8863,3,0.22,13011,4,-0.393,21927,7,1962,150,1570,242,1563.75
E01008411,"Newcastle upon Tyne 017E",19559,6,14.386,19559,6,0.067,22187,7,0.032,30149,10,7.074,24978,8,0.915,4915,2,-0.256,20432,7,22.872,13347,5,28.489,9674,3,0.191,10716,4,0.349,3067,1,-0.216,19661,6,0.172,29362,9,0.012,15459,5,1.356,9107,3,0.608,7844,3,0.164,12666,4,1709,39,1505,165,1517
E01008412,"Newcastle upon Tyne 023E",22504,7,11.713,22504,7,0.053,25536,8,0.041,27537,9,11.336,20579,7,0.295,11698,4,0.786,5568,2,10.784,27861,9,13.226,20852,7,0.076,22921,7,0.146,14508,5,0.219,12601,4,0.134,31278,10,-0.939,29316,9,0.209,14144,5,-0.08,17729,6,-0.25,19476,6,1742,131,1448,163,1449
E01008413,"Newcastle upon Tyne 023F",9210,3,27.677,9210,3,0.135,11974,4,0.107,11436,4,18.876,14487,5,1.583,1189,1,0.733,6144,2,16.025,21638,7,13.757,20347,7,0.2,10064,4,0.409,1709,1,0.538,8365,3,0.23,23959,8,-1.028,30005,10,1.493,8600,3,-0.073,17620,6,-0.183,18368,6,1618,92,1408,118,1428.5
E01008415,"Newcastle upon Tyne 025B",1602,1,53.954,1602,1,0.347,1077,1,0.242,1537,1,50.869,3097,1,1.354,2075,1,1.489,1101,1,11.194,27418,9,17.211,17433,6,0.39,1647,1,0.364,2694,1,1.05,3376,2,0.472,3060,1,-1.372,31761,10,0.545,12565,4,-0.385,22339,7,0.634,7099,3,1209,320,679,210,668.75
E01008416,"Newcastle upon Tyne 025C",14353,5,19.993,14353,5,0.12,13712,5,0.101,12346,4,17.335,15580,5,0.193,13161,5,0.904,4344,2,4.255,32299,10,17.642,17103,6,0.124,16596,6,0.133,15883,5,-0.583,25002,8,0.368,9213,3,-1.265,31342,10,-1.545,23642,8,-0.145,18759,6,0.394,9591,3,1643,271,935,437,969
E01008418,"Newcastle upon Tyne 005C",30892,10,4.615,30892,10,0.014,32655,10,0.023,31897,10,0.093,32822,10,-1.22,30418,10,0.315,11710,4,9.679,28908,9,21.629,14101,5,0.007,32787,10,0.03,31991,10,-2.136,32784,10,0.07,32637,10,-0.201,19269,6,-1.576,23795,8,0.456,9791,3,-0.313,20568,7,2015,343,1116,556,1129.75
E01008419,"Newcastle upon Tyne 006E",30906,10,4.596,30906,10,0.037,29302,9,0.033,29793,10,0.119,32808,10,-0.6,24716,8,0.145,14392,5,2.162,32742,10,12.657,21359,7,0.035,29872,10,0.064,26361,9,-1.871,32640,10,0.062,32708,10,-1.311,31522,10,-2.634,28285,9,-0.142,18700,6,-0.214,18888,6,1532,323,932,277,938.5
E01008420,"Newcastle upon Tyne 005D",31917,10,3.493,31917,10,0.022,32034,10,0.024,31711,10,0.083,32824,10,-0.542,23963,8,-0.174,19273,6,7.281,30810,10,13.306,20774,7,0.009,32679,10,0.04,30680,10,-2.163,32794,10,0.068,32657,10,-0.194,19145,6,-3.049,29602,10,-0.175,19221,6,-0.067,16392,5,1298,234,685,379,708.5
E01008421,"Newcastle upon Tyne 006F",31549,10,3.953,31549,10,0.039,28924,9,0.038,28612,9,0.23,32739,10,-0.486,23222,8,-0.654,25695,8,9.041,29473,9,11.34,22636,7,0.037,29666,10,0.066,26075,8,-1.837,32600,10,0.085,32429,10,-0.136,18071,6,-2.241,26835,9,-0.118,18324,6,-0.497,23436,8,1519,309,909,301,911
E01008422,"Newcastle upon Tyne 005E",31752,10,3.696,31752,10,0.021,32125,10,0.016,32538,10,0.314,32677,10,-0.528,23774,8,-0.355,21810,7,14.033,24191,8,13.92,20179,7,0.009,32704,10,0.066,25897,8,-1.581,32190,10,0.074,32600,10,0.03,15160,5,-0.969,20532,7,-0.216,19861,7,0.072,14133,5,1688,248,1113,327,1107
E01008423,"Newcastle upon Tyne 006G",31360,10,4.138,31360,10,0.014,32654,10,0.016,32564,10,0.188,32772,10,-0.449,22759,7,-0.277,20714,7,19.441,17337,6,9.651,24422,8,0.009,32710,10,0.032,31804,10,-2.047,32751,10,0.087,32399,10,0.564,7227,3,-2.092,26241,8,-0.818,27512,9,0.143,12972,4,1361,252,681,428,672.25
E01008424,"Newcastle upon Tyne 005F",22505,7,11.712,22505,7,0.089,18112,6,0.058,22123,7,7.53,24451,8,0.199,13069,4,-0.688,26090,8,19.543,17212,6,14.976,19223,6,0.092,20475,7,0.242,7347,3,-0.08,17414,6,0.115,31808,10,0.314,10573,4,-0.516,17965,6,0.031,15981,5,-0.218,18968,6,1715,237,1271,207,1240.25
E01008425,"Newcastle upon Tyne 030B",380,1,67.363,380,1,0.405,353,1,0.38,51,1,52.655,2784,1,2.277,147,1,0.996,3550,2,19.674,17028,6,5.152,29160,9,0.426,1020,1,0.402,1835,1,0.796,5534,2,0.52,1477,1,-0.442,23149,8,1.653,8057,3,-1.044,29353,9,-0.326,20781,7,1736,246,1056,434,1070.25
E01008426,"Newcastle upon Tyne 028C",293,1,69.406,293,1,0.411,315,1,0.294,520,1,88.631,87,1,1.951,404,1,1.087,2890,1,19.934,16734,6,9.448,24631,8,0.445,755,1,0.391,2076,1,1.683,546,1,0.628,81,1,-0.188,19052,6,1.229,9612,3,-0.399,22547,7,-0.276,19921,7,1639,446,931,262,907.75
E01008427,"Newcastle upon Tyne 030C",32,1,79.298,32,1,0.494,47,1,0.404,31,1,76.518,431,1,2.354,116,1,1.747,483,1,24.105,12030,4,16.486,17995,6,0.577,68,1,0.425,1425,1,1.428,1267,1,0.576,412,1,0.005,15578,5,1.646,8074,3,0.001,16455,6,0.042,14619,5,1108,224,665,219,657
E01008428,"Newcastle upon Tyne 030D",3991,2,40.949,3991,2,0.252,3930,2,0.165,5362,2,42.334,4794,2,1.239,2655,1,1.274,1863,1,20.043,16596,6,14.634,19533,6,0.39,1653,1,0.245,7182,3,0.478,9115,3,0.487,2493,1,-0.07,16905,6,0.953,10749,4,0.013,16243,5,-0.233,19221,6,1314,269,706,339,700.75
E01008429,"Newcastle upon Tyne 028D",673,1,62.841,673,1,0.371,702,1,0.277,747,1,59.785,1758,1,1.685,907,1,1.781,434,1,20.068,16566,6,6.635,27635,9,0.421,1090,1,0.384,2215,1,0.958,4076,2,0.542,928,1,-0.183,18973,6,1.248,9536,3,-0.799,27329,9,-0.263,19693,6,1490,339,796,355,786.5
E01008430,"Newcastle upon Tyne 020A",4503,2,39.234,4503,2,0.243,4367,2,0.192,3600,2,35.574,6591,3,1.445,1678,1,0.73,6172,2,15.586,22241,7,9.43,24647,8,0.447,732,1,0.223,8450,3,0.59,7745,3,0.417,5713,2,-0.39,22363,7,0.651,12097,4,-0.346,21794,7,-0.361,21373,7,1319,234,752,333,768.5
E01008431,"Newcastle upon Tyne 020B",10542,4,25.349,10542,4,0.136,11876,4,0.127,8889,3,26.165,10230,4,0.597,7958,3,0.841,5001,2,10.205,28403,9,20.12,15194,5,0.141,14849,5,0.114,18036,6,-0.025,16516,6,0.408,6286,2,-0.526,24450,8,-0.505,17893,6,0.398,10570,4,-0.376,21642,7,1327,217,759,351,785.75
E01008432,"Newcastle upon Tyne 026G",4852,2,38.059,4852,2,0.206,6283,2,0.197,3288,2,28.508,9183,3,1.415,1810,1,1.083,2916,1,14.521,23637,8,9.27,24809,8,0.22,8740,3,0.204,9662,3,-0.157,18707,6,0.441,4421,2,-0.406,22623,7,0.413,13157,5,-0.498,23886,8,-0.171,18169,6,1309,197,748,364,764.5
E01008433,"Newcastle upon Tyne 020C",15621,5,18.563,15621,5,0.09,17976,6,0.119,9836,3,13.49,18598,6,0.85,5445,2,0.018,16403,5,8.062,30278,10,10.091,23971,8,0.076,22986,7,0.108,18969,6,-0.733,26899,9,0.336,12107,4,-0.861,28583,9,-0.616,18501,6,-0.225,20003,7,-0.482,23233,8,1340,145,710,485,727.5
E01008434,"Newcastle upon Tyne 020D",16608,6,17.432,16608,6,0.08,19650,6,0.095,13460,5,15.727,16812,6,0.642,7468,3,0.35,11166,4,7.657,30570,10,17.765,16999,6,0.082,21988,7,0.118,17640,6,-0.25,20211,7,0.325,13234,5,-0.609,25646,8,-1.122,21389,7,0.156,14043,5,-0.096,16906,6,1448,182,832,434,838.75
E01008435,"Newcastle upon Tyne 020E",4463,2,39.368,4463,2,0.304,2072,1,0.195,3402,2,41.951,4886,2,0.738,6496,2,0.399,10464,4,17.987,19152,6,10.454,23584,8,0.418,1149,1,0.264,6212,2,0.564,8051,3,0.475,2971,1,-0.235,19860,7,0.887,10991,4,-0.447,23189,8,-0.07,16460,6,1559,368,903,288,914.75
E01008436,"Newcastle upon Tyne 020F",1805,1,52.475,1805,1,0.321,1630,1,0.254,1187,1,44.469,4291,2,1.477,1569,1,0.977,3699,2,27.236,9041,3,7.972,26204,8,0.362,2311,1,0.422,1471,1,0.697,6529,2,0.477,2900,1,0.14,13252,5,1.926,7148,3,-1.03,29274,9,0.059,14332,5,1492,257,960,275,955.75
E01008437,"Newcastle upon Tyne 029F",315,1,68.773,315,1,0.49,50,1,0.401,35,1,64.556,1229,1,2.504,73,1,-0.422,22723,7,18.737,18186,6,6.779,27489,9,0.456,637,1,0.459,984,1,1.327,1706,1,0.52,1462,1,-0.476,23709,8,1.504,8564,3,-0.468,23493,8,-0.699,26161,8,1190,269,651,270,671
E01008438,"Newcastle upon Tyne 029G",393,1,67.144,393,1,0.416,271,1,0.322,278,1,64.871,1206,1,1.926,434,1,0.971,3755,2,20.507,16055,5,9.418,24659,8,0.385,1761,1,0.544,386,1,0.996,3799,2,0.567,500,1,-0.758,27513,9,2.235,6231,2,-0.645,25705,8,-0.004,15362,5,1832,327,1177,328,1191.5
E01008439,"Newcastle upon Tyne 024E",208,1,71.679,208,1,0.401,392,1,0.335,195,1,65.298,1170,1,2.402,98,1,1.861,339,1,19.68,17019,6,4.663,29665,10,0.356,2443,1,0.609,195,1,1.394,1404,1,0.514,1636,1,-0.925,29205,9,2.202,6319,2,-1.113,29806,10,-0.368,21505,7,1833,435,1143,255,1111
E01008441,"Newcastle upon Tyne 031A",5826,2,35.199,5826,2,0.216,5753,2,0.182,4187,2,34.04,7088,3,1.293,2386,1,0.389,10622,4,19.604,17131,6,5.207,29105,9,0.167,12568,4,0.325,3763,2,0.543,8311,3,0.411,6135,2,0.076,14339,5,0.405,13202,5,-0.66,25875,8,-0.73,26568,9,1677,321,917,439,938
E01008442,"Newcastle upon Tyne 031B",26679,9,8.311,26679,9,0.045,27289,9,0.055,23159,8,7.435,24555,8,0.209,12939,4,-0.889,28144,9,20.136,16484,6,2.72,31454,10,0.068,24253,8,0.061,26953,9,-0.601,25253,8,0.246,22154,7,0.695,5893,2,-3.193,29974,10,-1.215,30362,10,-0.751,26821,9,1314,192,601,521,613.5
E01008443,"Newcastle upon Tyne 014G",27269,9,7.833,27269,9,0.037,29261,9,0.047,25600,8,7.915,24042,8,-0.08,17277,6,-0.723,26476,9,26.468,9735,3,2.296,31790,10,0.029,30821,10,0.074,24344,8,-0.695,26447,9,0.263,20269,7,1.089,2992,1,-4.39,31963,10,-1.459,31392,10,-0.727,26536,9,1391,222,758,411,781.25
E01008444,"Newcastle upon Tyne 031C",23236,8,11.08,23236,8,0.075,20397,7,0.078,16877,6,12.213,19753,7,0.015,15774,5,-0.379,22156,7,13.595,24704,8,2.043,31972,10,0.125,16558,6,0.064,26410,9,-0.268,20481,7,0.283,17878,6,0.248,11545,4,-2.523,27920,9,-1.41,31229,10,-0.827,27731,9,1462,214,720,528,728.5
E01008445,"Newcastle upon Tyne 031D",10428,4,25.589,10428,4,0.129,12578,4,0.128,8786,3,24.979,10843,4,0.908,4977,2,0.935,4081,2,8.913,29578,10,9.2,24886,8,0.121,16979,6,0.176,11772,4,0.064,15022,5,0.386,7735,3,-0.372,22077,7,-1.269,22234,7,-0.744,26780,9,0.045,14558,5,1906,329,1063,514,1074.25
E01008446,"Newcastle upon Tyne 031E",24467,8,10.04,24467,8,0.053,25460,8,0.069,19070,6,10.057,21775,7,0.206,12981,4,-0.42,22702,7,17.146,20256,7,2.913,31274,10,0.054,26656,9,0.062,26745,9,-0.426,22829,7,0.27,19425,6,0.525,7699,3,-3.297,30240,10,-1.373,31085,10,-0.601,24938,8,1390,151,599,640,625
E01008447,"Newcastle upon Tyne 031F",24860,8,9.721,24860,8,0.074,20654,7,0.074,17767,6,7.787,24164,8,0.097,14566,5,-0.661,25775,8,7.871,30428,10,3.695,30583,10,0.056,26253,8,0.094,21021,7,-1.298,31168,10,0.288,17374,6,-0.349,21719,7,-1.779,24785,8,-1.046,29373,9,-0.621,25188,8,1269,144,587,538,598.25
E01008448,"Newcastle upon Tyne 031G",27379,9,7.735,27379,9,0.036,29539,9,0.046,25986,8,5.231,27050,9,-0.126,17979,6,-0.446,23074,8,27.763,8641,3,1.753,32182,10,0.037,29637,10,0.032,31735,10,-0.641,25799,8,0.208,26356,9,1.162,2622,1,-4.458,32025,10,-1.757,32175,10,-0.777,27143,9,1409,172,695,542,709
E01008449,"Newcastle upon Tyne 022D",6526,2,33.354,6526,2,0.198,6816,3,0.135,7987,3,30.454,8381,3,1.001,4222,2,1.194,2269,1,19.997,16655,6,17.043,17553,6,0.245,7216,3,0.402,1819,1,1.022,3588,2,0.273,19078,6,-0.995,29756,10,2.314,6016,2,0.093,14997,5,-0.063,16335,5,1894,365,1419,110,1400.5
E01008450,"Newcastle upon Tyne 016B",3114,1,44.711,3114,1,0.33,1424,1,0.211,2646,1,36.41,6326,2,1.186,2945,1,0.877,4613,2,15.761,21989,7,8.325,25837,8,0.363,2279,1,0.378,2343,1,0.255,12076,4,0.467,3304,2,-0.941,29347,9,1.383,9014,3,-0.589,25020,8,-0.207,18775,6,1539,482,834,223,812.25
E01008451,"Newcastle upon Tyne 016C",7784,3,30.509,7784,3,0.22,5530,2,0.151,6450,2,28.849,9045,3,0.825,5679,2,0.587,7903,3,9.421,29149,9,14.452,19711,7,0.278,5394,2,0.188,10903,4,0.514,8677,3,0.364,9465,3,-1.032,30031,10,-0.077,15592,5,-0.104,18095,6,-0.035,15871,5,1755,392,1046,317,1041
