lsoa11cd,lsoa11nm,IMD Rank,IMD Decile,IMD Score,IMD Rank 0,IMD Decile 0,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,Education Score,Education Rank,Education Decile,Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Score,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Score,Income Deprivation Affecting Older People Rank,Income Deprivation Affecting Older People Decile,Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Score,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Score,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population,Dependent Children aged 0-15,Population aged 16-59,Older population aged 60 and over,Working age population 18-59/64
E01008326,"Newcastle upon Tyne 015C",23526,8,10.819,23526,8,0.074,20595,7,0.067,19477,6,11.515,20401,7,0.306,11546,4,-0.511,23934,8,9.291,29258,9,5.104,29220,9,0.107,18612,6,0.105,19319,6,-0.549,24595,8,0.301,15826,5,-0.148,18322,6,-2.016,25892,8,-0.86,27863,9,-0.482,23223,8,1439,241,873,325,865.25
E01008327,"Newcastle upon Tyne 015D",622,1,63.577,622,1,0.336,1287,1,0.267,910,1,70.119,772,1,1.428,1749,1,2.044,181,1,32.553,5352,2,8.659,25465,8,0.429,978,1,0.288,5159,2,1.555,885,1,0.52,1465,1,0.742,5409,2,0.951,10754,4,-1.153,30019,10,0.18,12414,4,1295,319,709,267,693.75
E01008328,"Newcastle upon Tyne 015E",24916,8,9.673,24916,8,0.042,28122,9,0.073,18044,6,8.777,23105,8,0.146,13790,5,0.033,16170,5,12.059,26502,9,4.147,30156,10,0.036,29721,10,0.051,28887,9,-0.909,28632,9,0.288,17331,6,0.106,13844,5,-2.218,26753,9,-1.397,31178,10,-0.341,21042,7,1184,147,530,507,559.25
E01008329,"Newcastle upon Tyne 015F",12595,4,22.224,12595,4,0.137,11830,4,0.116,10245,4,31.68,7924,3,0.577,8212,3,0.235,12935,4,13.131,25240,8,4.278,30034,10,0.168,12444,4,0.177,11751,4,0.503,8818,3,0.395,7188,3,-0.117,17744,6,-0.708,19020,6,-0.873,27990,9,-0.66,25679,8,1462,247,872,343,892.25
E01008330,"Newcastle upon Tyne 015G",2733,1,46.615,2733,1,0.3,2189,1,0.217,2398,1,39.284,5564,2,1.314,2268,1,1.056,3109,1,25.022,11088,4,8.407,25742,8,0.375,1962,1,0.307,4416,2,0.705,6453,2,0.433,4854,2,0.415,9095,3,0.505,12766,4,-1.073,29556,9,0.123,13257,5,1315,320,722,273,716.75
E01008331,"Newcastle upon Tyne 029A",1631,1,53.797,1631,1,0.342,1167,1,0.233,1803,1,45.277,4107,2,1.237,2667,1,2.079,153,1,21.15,15324,5,5.631,28682,9,0.315,3794,2,0.609,193,1,0.559,8101,3,0.499,2102,1,-0.652,26258,8,2.262,6165,2,-1.231,30452,10,-0.168,18105,6,1815,527,1153,135,1131.75
E01008332,"Newcastle upon Tyne 029B",553,1,64.583,553,1,0.4,397,1,0.242,1539,1,76.033,454,1,1.769,717,1,1.7,572,1,18.941,17922,6,6.277,28030,9,0.378,1895,1,0.533,438,1,1.692,526,1,0.533,1129,1,-1.133,30688,10,2.17,6424,2,-0.968,28808,9,-0.196,18576,6,2562,737,1522,303,1511.5
E01008333,"Newcastle upon Tyne 029C",681,1,62.795,681,1,0.348,1063,1,0.303,424,1,37.622,6019,2,2.361,114,1,1.627,729,1,19.913,16753,6,16.932,17646,6,0.222,8571,3,0.408,1716,1,0.244,12244,4,0.477,2886,1,-0.491,23935,8,1.777,7614,3,0.016,16194,5,0.067,14217,5,1802,496,1014,292,996
E01008334,"Newcastle upon Tyne 029D",4286,2,39.91,4286,2,0.287,2612,1,0.163,5491,2,39.034,5627,2,0.86,5368,2,1.303,1739,1,17.353,19982,7,13.611,20485,7,0.328,3325,2,0.308,4386,2,0.798,5508,2,0.415,5830,2,-1.069,30287,10,1.802,7542,3,-0.151,18865,6,-0.063,16338,5,2142,546,1353,243,1336.5
E01008335,"Newcastle upon Tyne 029E",5278,2,36.779,5278,2,0.235,4741,2,0.164,5446,2,37.532,6045,2,1.007,4184,2,1.227,2105,1,16.482,21064,7,8.378,25781,8,0.203,9877,4,0.346,3122,1,0.553,8170,3,0.44,4495,2,-1.075,30322,10,1.621,8159,3,-0.632,25548,8,-0.153,17875,6,2200,726,1253,221,1247.25
E01008336,"Newcastle upon Tyne 003A",3960,2,41.065,3960,2,0.258,3677,2,0.226,2042,1,30.896,8217,3,1.112,3447,2,0.939,4036,2,16.122,21516,7,10.86,23151,8,0.299,4375,2,0.262,6295,2,0.311,11274,4,0.412,6014,2,-0.27,20412,7,0.531,12646,4,-0.359,21975,7,-0.122,17372,6,1321,214,764,343,774
E01008337,"Newcastle upon Tyne 003B",4124,2,40.465,4124,2,0.278,2946,1,0.201,3066,1,35.385,6644,3,1.155,3126,1,0.81,5298,2,17.247,20117,7,7.283,26964,9,0.371,2059,1,0.258,6488,2,0.49,8975,3,0.43,4998,2,-0.508,24183,8,1.229,9611,3,-1.313,30842,10,0.072,14142,5,1447,334,784,329,774
E01008338,"Newcastle upon Tyne 003C",5878,2,35.02,5878,2,0.229,5051,2,0.165,5368,2,39.895,5386,2,1.097,3543,2,0.253,12693,4,25.052,11058,4,6.627,27649,9,0.376,1941,1,0.188,10898,4,0.827,5212,2,0.418,5683,2,0.496,8047,3,0.163,14359,5,-1.159,30059,10,-0.059,16269,5,1242,247,774,221,772.75
E01008339,"Newcastle upon Tyne 003D",4708,2,38.561,4708,2,0.264,3447,2,0.181,4200,2,40.759,5179,2,1.357,2052,1,0.389,10617,4,14.836,23259,8,8.857,25259,8,0.289,4890,2,0.402,1824,1,0.602,7611,3,0.461,3549,2,-0.474,23671,8,0.629,12216,4,-0.481,23657,8,-0.256,19573,6,1621,322,990,309,976.5
E01008340,"Newcastle upon Tyne 003E",843,1,60.894,843,1,0.355,938,1,0.261,1047,1,71.337,690,1,2.183,196,1,0.819,5220,2,19.208,17610,6,5.553,28753,9,0.405,1363,1,0.45,1083,1,1.346,1619,1,0.557,664,1,-0.405,22601,7,1.489,8618,3,-1.179,30172,10,-0.199,18637,6,1397,362,824,211,818.75
E01008341,"Newcastle upon Tyne 003F",5084,2,37.383,5084,2,0.209,6169,2,0.165,5367,2,33.928,7125,3,1.775,707,1,0.552,8374,3,15.59,22234,7,15.967,18452,6,0.267,5997,2,0.257,6547,2,0.559,8110,3,0.407,6355,2,-0.306,20990,7,0.469,12895,4,0.076,15275,5,-0.172,18182,6,1290,248,762,280,757.5
E01008342,"Newcastle upon Tyne 003G",17195,6,16.787,17195,6,0.075,20463,7,0.085,15165,5,12.096,19859,7,0.465,9523,3,0.261,12537,4,18.44,18560,6,23.332,12901,4,0.063,25155,8,0.075,24188,8,-0.363,21897,7,0.292,16892,6,0.18,12571,4,-0.283,16706,6,0.345,11275,4,0.182,12393,4,1374,177,684,513,714.5
E01008343,"Newcastle upon Tyne 019A",16224,5,17.891,16224,5,0.123,13288,5,0.081,16112,5,20.572,13417,5,0.383,10558,4,0.466,9533,3,11.608,27006,9,8.629,25499,8,0.153,13780,5,0.119,17422,6,-0.025,16503,6,0.353,10500,4,-0.203,19293,6,-0.882,20029,7,-0.644,25695,8,-0.106,17086,6,1586,357,877,352,880.75
E01008344,"Newcastle upon Tyne 019B",5756,2,35.382,5756,2,0.202,6528,2,0.152,6400,2,36.426,6320,2,1.176,3017,1,1.331,1622,1,13.618,24671,8,8.61,25518,8,0.282,5222,2,0.215,8989,3,0.626,7320,3,0.419,5587,2,-0.172,18781,6,-0.374,17206,6,-1.087,29652,10,0.154,12814,4,1594,316,881,397,885
E01008345,"Newcastle upon Tyne 019C",2327,1,49.012,2327,1,0.297,2310,1,0.244,1498,1,45.699,4011,2,1.25,2598,1,1.172,2400,1,21.012,15491,5,11.542,22435,7,0.34,2905,1,0.304,4511,2,0.805,5442,2,0.471,3116,1,0.151,13079,4,0.507,12756,4,-0.818,27508,9,0.356,10045,4,1543,276,926,341,925.5
E01008346,"Newcastle upon Tyne 019D",14340,5,20.01,14340,5,0.142,11220,4,0.076,17285,6,30.38,8402,3,0.515,8931,3,0.151,14283,5,15.556,22283,7,10.448,23590,8,0.276,5533,2,0.283,5366,2,0.65,7055,3,0.357,10109,4,-0.817,28156,9,1.235,9585,3,-0.257,20480,7,-0.347,21137,7,1815,269,1352,194,1328.75
E01008347,"Newcastle upon Tyne 019E",15129,5,19.134,15129,5,0.116,14138,5,0.106,11599,4,21.932,12577,4,0.41,10182,4,0.294,12017,4,9.502,29074,9,11.176,22804,7,0.086,21354,7,0.217,8856,3,-0.052,16930,6,0.37,9042,3,-0.538,24631,8,-0.688,18907,6,-0.53,24275,8,0.102,13621,5,1493,335,843,315,835
E01008348,"Newcastle upon Tyne 019F",2870,1,45.901,2870,1,0.311,1911,1,0.227,1995,1,50.16,3221,1,0.963,4518,2,0.967,3791,2,16.718,20791,7,7.68,26520,9,0.401,1440,1,0.348,3081,1,0.885,4674,2,0.492,2338,1,-0.717,27039,9,1.388,8990,3,-0.937,28535,9,-0.024,15697,5,1171,291,686,194,662.5
E01008349,"Newcastle upon Tyne 019G",7781,3,30.515,7781,3,0.212,6000,2,0.128,8758,3,33.297,7348,3,0.417,10103,4,1.183,2334,1,13.568,24735,8,17.348,17334,6,0.222,8617,3,0.214,9020,3,0.406,10000,4,0.422,5439,2,-0.758,27520,9,0.725,11745,4,-0.067,17523,6,0.247,11466,4,1767,538,1041,188,999.25
E01008350,"Newcastle upon Tyne 019H",7910,3,30.255,7910,3,0.199,6706,3,0.133,8127,3,21.546,12837,4,1.21,2805,1,0.757,5867,2,19.477,17299,6,5.253,29059,9,0.232,7985,3,0.326,3734,2,-0.192,19281,6,0.38,8197,3,0.251,11500,4,-0.27,16633,6,-1.079,29607,10,-0.288,20151,7,1500,312,928,260,925.25
E01008351,"Newcastle upon Tyne 005A",21702,7,12.409,21702,7,0.08,19464,6,0.068,19422,6,4.041,28481,9,0.24,12514,4,0.199,13508,5,20.406,16174,5,6.56,27730,9,0.04,29039,9,0.148,14348,5,-0.771,27308,9,0.194,27661,9,0.536,7541,3,-1.449,23127,8,-0.631,25544,8,-0.451,22780,7,1419,256,711,452,728.75
E01008352,"Newcastle upon Tyne 002C",15317,5,18.909,15317,5,0.139,11513,4,0.114,10514,4,12.224,19743,7,0.237,12555,4,0.305,11856,4,9.274,29278,9,13.695,20406,7,0.165,12711,4,0.156,13541,5,-0.068,17211,6,0.254,21251,7,-0.462,23464,8,-0.92,20259,7,0.104,14842,5,-0.691,26044,8,1481,294,836,351,827.75
