exhibit,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Very dissatisfied
Wow Zone,95.4,2.19,0.0,1.09,1.31
Space Zone,93.43,5.63,0.7,0.0,0.23
Brain Zone,92.86,5.61,0.26,0.51,0.77
Hello World,92.86,4.76,1.9,0.0,0.48
Experiment Zone,93.58,4.28,0.53,1.07,0.53
Science Now,88.16,7.89,2.63,0.66,0.66
Making Studio,98.23,1.41,0.0,0.35,0.0
Life Science Show,98.15,1.23,0.62,0.0,0.0
Planetarium Show,98.07,1.61,0.0,0.32,0.0
Play Zone,93.72,4.1,1.09,0.82,0.27
