exhibit,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Very dissatisfied
Wow Zone,69.02,24.1,3.96,1.72,1.2
Space Zone,68.1,23.67,3.77,3.6,0.86
Brain Zone,64.98,25.61,6.27,2.09,1.05
Hello World,51.77,28.32,12.61,4.42,2.88
Experiment Zone,69.21,16.32,7.11,4.21,3.16
Science Now,54.7,22.15,17.45,3.36,2.35
Making Studio,69.65,15.61,9.25,3.47,2.02
Life Science Show,70.41,18.08,6.03,3.01,2.47
Planetarium Show,70.69,18.5,4.99,3.33,2.49
Play Zone,63.33,23.06,6.39,4.17,3.06
