"Survey Type","Age 1-2 years old","Age 12 months or younger","Age 3-4 years old","Age 5-7 years old","Age 8+ years old","Age Unknown","Ethnicity White or White British","Ethnicity Unknown","Ethnicity Asian or Asian British","Ethnicity Other (please specify)","Ethnicity Mixed or multiple ethnic groups"
"Online",2,1,5,4,0,1,8,1,0,0,0
"Paper",25,2,28,16,7,10,56,13,4,1,5
"Popup Research: Child Survey",1,0,5,4,1,3,9,3,0,0,0
