organisation,grant_in_aid
British Film Institute,34515000
British Library,116542000
British Museum,67767000
Historic England,111227000
Horniman Museum,7686000
Imperial War Museum,33204000
Museum of the Home,2908000
National Gallery,30714000
National Museums Liverpool,26277000
National Portrait Gallery,18623000
Natural History Museum,65888000
Royal Armouries,8684000
Royal Museums Greenwich,19955000
Science Museum Group,80293000
Sir John Soane's Museum,1538000
Tate Gallery,54158000
Victoria and Albert Museum,67452000
Wallace Collection,4492000
