Name of organisation,2022/2023
British Museum,67767000
Museum of the Home,2908000
Horniman Museum,7686000
Imperial War Museum,33204000
National Gallery,30714000
National Museums Liverpool,26277000
Science Museum Group,80293000
National Portrait Gallery,18623000
Natural History Museum,65888000
Royal Armouries,8684000
Royal Museums Greenwich,19955000
Sir John Soane's Museum,1538000
Tate Gallery,54158000
Victoria and Albert Museum ,67452000
Wallace Collection,4492000
Historic England,111227000
British Library,116542000
Arts Council England,524307000
National Portfolio Organisations ,340658500
British Film Institute,34515000
