organisation,total_income,gift_in_aid
British Film Institute,122128000,34515000
British Library,147629000,116542000
British Museum,134834000,67767000
Historic England,125400000,111227000
Horniman Museum,9751000,7686000
Imperial War Museum,65666000,33204000
Museum of the Home,3841426,2908000
National Gallery,82000000,30714000
National Museums Liverpool,39284000,26277000
National Portrait Gallery,34213000,18623000
Natural History Museum,116973000,65888000
Royal Armouries,13092000,8684000
Royal Museums Greenwich,30092950,19955000
Science Museum Group,128350000,80293000
Sir John Soane's Museum,3943668,1538000
Tate Gallery,146244000,54158000
Victoria and Albert Museum ,121495000,67452000
Wallace Collection,8783000,4492000
