Name of organisation,2022/2023
British Museum,134834000
Museum of the Home,3841426
Horniman Museum,9751000
Imperial War Museum,65666000
National Gallery,82000000
National Museums Liverpool,39284000
Science Museum Group,128350000
National Portrait Gallery,34213000
Natural History Museum,116973000
Royal Armouries,13092000
Royal Museums Greenwich,30092950
Sir John Soane's Museum,3943668
Tate Gallery,146244000
Victoria and Albert Museum ,121495000
Wallace Collection,8783000
Historic England ,125400000
British Library,147629000
Arts Council England,795711000
Arts Council England National Portfolio Organisations ,2090684000
British Film Institute,122128000
