Organisation,Corporate sponsorships,Earned income,Individual donations,Public funding,Trusts and foundations
Northern Stage,0.30435335218079823,33.919665829637694,0.6997722502567767,59.21665080777303,5.859557760151696
NEM,0.4975052756729659,12.515009840019239,2.314447468523794,80.72368175921252,3.949355656571473
Centre For Life,0.0,98.68906695691877,0.8418642299435692,0.0,0.46906881313766213
Seven Stories,2.7647847231709526,6.186215648440689,0.9501950696933416,72.28130300937109,17.817501549323918
