Date,Blakelaw,City,Cruddas Park,Denton Burn,Dinnington,East End,Fawdon,Fenham,Gosforth,High Heaton,Jesmond,Kenton,Mobile,Moorside,Newbiggin Hall,Newburn,Outer West,Walker,West End,Total
2008-04,1768,16326,2175,5672,425,26758,1005,12831,24540,0,12165,3679,827,1166,3003,2838,16873,3159,4979,140189
2008-05,1820,19763,2799,3488,377,25515,1127,4338,22024,0,11865,3683,810,1785,1872,1395,14800,4134,5789,127384
2008-06,1820,16439,2799,3488,377,25515,1127,4338,21491,0,11374,3683,813,1785,1872,1395,14800,4134,5789,123039
2008-07,1820,16118,2799,3488,377,23496,1127,4338,22084,0,12712,3683,813,1785,1872,1395,16171,4134,5789,124001
2008-08,1777,21817,2201,6695,524,29279,1465,3887,24263,0,12538,3016,813,958,2938,2258,16313,3302,5105,139149
2008-09,1777,17531,2201,6695,524,28880,1465,3887,23564,4472,13183,3016,813,958,2938,2258,15864,3302,5105,138433
2008-10,1777,17106,2201,6695,524,26005,1465,3887,24827,6996,13183,3016,813,958,2938,2258,16970,3302,5105,140026
2008-11,2695,14476,2726,6790,407,23669,1465,6192,19838,6996,10647,3891,815,949,2041,1517,15413,4481,25211,150219
2008-12,2695,14622,2726,4701,407,23669,2506,6192,17525,6996,8574,3891,815,949,2041,1517,13280,3772,20321,137199
2009-01,2695,12621,2726,3980,407,23669,1806,6192,23480,6996,11430,3891,815,949,1420,1517,15484,3772,23957,147807
2009-02,2067,12683,2533,5980,429,26838,2219,5352,20787,4889,9863,2886,774,1625,1767,2145,13785,4081,23671,144374
2009-03,2067,14914,3010,6627,429,26328,1852,5352,21917,5558,11340,2886,774,1625,1352,2145,15440,3668,24605,151889
2009-04,2067,4685,2775,6154,429,19596,1990,5352,20620,4625,10224,2886,774,1625,1865,2145,15127,3045,22864,128848
2009-05,1837,15482,2615,5606,524,26960,2318,4845,20440,2656,11452,4567,702,1226,1870,2301,13867,2735,23513,145516
2009-06,1837,93851,2705,5606,524,17894,2006,4845,21056,2656,7631,4567,702,1226,2070,2301,16223,4159,25186,217045
2009-07,1837,114963,2869,5606,524,26262,2700,4845,20941,2656,8155,4567,702,1226,2281,2301,16647,3738,26435,249255
