Date,Blakelaw,City,Cruddas Park,Denton Burn,Dinnington,East End,Fawdon,Fenham,Gosforth,High Heaton,Jesmond,Kenton,Mobile,Moorside,Newbiggin Hall,Newburn,Outer West,Walker,West End,Total
2009-08,2496,107539,2836,7042,576,22831,2617,4216,19776,4719,7832,4489,750,802,2251,2435,17351,3576,24338,238472
2009-09,2496,102683,2658,7042,576,22831,2142,4216,18309,4726,8670,4489,750,802,2421,2435,16291,3956,25584,233077
2009-10,2496,109229,2561,7042,576,22831,2595,4216,16367,4848,8828,4489,750,802,2473,2435,17345,3803,27157,240843
2009-11,1755,96066,2452,7510,485,19726,2622,3441,20386,5020,7939,5785,628,884,2529,1985,16747,3696,25539,225195
2009-12,1755,80784,2119,7510,485,14125,2271,3441,15421,3358,5216,5785,628,884,1817,1985,12345,3322,21195,184446
2010-01,1755,87343,2257,7510,485,17529,2113,3441,18420,4221,7607,5785,628,884,1961,1985,14450,2709,24324,205407
2010-02,1534,99292,2367,5568,420,18748,2643,5638,19147,4433,7360,5265,758,776,3003,1512,16622,2716,26947,224749
2010-03,1534,105213,2756,5568,420,18748,2550,5638,20652,4513,8480,5265,758,776,3155,1512,20150,3470,29489,240647
2010-04,1534,90227,2749,5568,420,18748,2140,5638,18927,3816,8022,5265,758,776,2749,1512,16172,3375,24002,212398
2010-05,1437,91773,2410,4988,529,19543,1910,4914,22905,3727,7662,5421,745,1114,2508,958,15875,3778,22643,214840
2010-06,1437,94781,3022,4988,529,17202,2468,4914,21256,2726,7222,5421,745,1114,2518,958,16485,3296,23047,214129
2010-07,1437,95719,2970,4988,529,21637,2907,6715,21141,3448,9663,5421,745,1114,2605,958,17588,3725,25889,229199
2010-08,1993,95688,2648,6756,646,21552,3625,6513,20550,3708,8109,5802,1092,971,3021,1811,19757,3769,25841,233852
2010-09,1993,95518,2615,6756,646,24465,2132,6463,19595,3917,8325,5802,1092,971,3129,1811,12943,3192,27191,228556
2010-10,1993,99759,2534,6756,646,16406,2449,6493,19005,4543,8106,5802,1092,971,3433,1811,17345,3391,26096,228631
2010-11,1547,93160,2700,5425,524,17924,2221,5655,18303,3610,7953,5113,1127,598,3653,1482,13000,3078,23424,210497
2010-12,1547,73549,1757,3808,524,12473,1815,0,12951,2506,4860,5113,1127,598,0,1482,13000,2154,19439,158703
2011-01,1547,88713,2359,5995,524,15822,2541,0,15268,3727,7178,5113,1127,598,3653,1482,11613,3546,22614,193420
2011-02,3740,91461,2306,6852,550,18300,2345,0,18084,3640,6798,4719,923,966,3595,1395,11605,3928,23215,204422
2011-03,2731,99222,2613,6558,550,19552,2610,3956,19605,4031,,4719,923,966,4014,1395,13631,2011,25499,214586
2011-04,2023,76823,2178,5594,550,12919,1947,4031,15711,3143,,4719,923,966,3667,1395,11111,3226,21764,172690
2011-05,1905,86254,2503,6032,1161,16494,2294,4576,18056,3691,,5772,1070,949,3456,1382,12447,3193,23938,195173
2011-06,1570,89102,2388,5310,1161,18475,2373,4719,16728,3314,4423,5772,1070,949,3470,1382,13847,3354,24066,203473
2011-07,2061,86072,2659,5226,1161,19383,2080,4839,17490,3341,6469,5772,1070,949,3846,1382,19019,3226,24157,210202
2011-08,2016,87450,2503,5785,516,17767,2202,5135,17471,3357,7142,,1239,1131,3657,1495,13724,3095,26138,201823
2011-09,2076,83099,2946,5451,516,17624,1331,5196,18809,3462,7562,,1239,1131,3042,1495,12171,2965,23879,193994
2011-10,1895,85773,2520,6475,516,16311,1288,4966,18426,3353,7687,,1239,1131,2784,1495,13458,3318,23383,196018
2011-11,1849,80571,2789,5387,381,18652,1411,5202,17856,3266,6911,4892,849,836,3628,1326,12400,3152,21910,193268
2011-12,1127,73543,2089,3980,381,13129,1258,3410,15392,2604,5130,4892,849,836,2114,1326,9581,2213,19712,163566
2012-01,1715,77825,2275,5030,381,18863,1247,4602,18290,3097,6466,4892,849,836,2133,1326,11252,3071,22443,186593
2012-02,1913,80796,2106,5119,533,19201,1541,4345,16973,3285,6280,4420,763,1010,2235,1577,11731,2931,21814,188573
2012-03,2444,79552,2691,5427,533,18910,1396,3607,18065,2914,7713,4420,763,1010,2458,1577,11504,2803,23092,190879
2012-04,1680,75863,2378,4529,533,16605,1326,3433,15468,2600,6629,4420,763,1010,3429,1577,10938,2600,19575,175356
2012-05,1410,77018,2390,4960,477,18301,1256,4942,17661,2758,10343,2882,,1304,2900,1257,10916,2782,23197,186754
2012-06,1591,74685,2086,4992,477,17991,1128,3780,15162,2579,5860,2882,,1304,2980,1257,12112,2275,21348,174489
2012-07,1925,81519,2466,4946,477,20699,1333,4593,16508,2463,5953,2882,,1304,1650,1257,12604,3127,25842,191548
2012-08,1879,80171,2365,5204,616,21095,1244,4403,15325,3989,6106,3128,,782,1449,1262,14165,3515,22495,189193
2012-09,1105,82258,2342,4996,616,17398,1278,3727,16030,3395,6111,3128,,782,1449,1262,11163,4316,20892,182248
2012-10,1669,86321,2438,5111,616,20095,1624,4055,18213,3628,6623,3128,,782,1449,1262,13393,4720,23360,198487
2012-11,1571,80381,2267,3969,1040,19047,1571,4155,18808,3475,6386,4247,,1170,966,1057,12803,5144,22637,190694
2012-12,795,67211,1722,2137,1040,13669,908,2684,13141,2509,4510,4247,,1170,966,1057,8966,3033,16841,146606
2013-01,1168,75012,2051,3623,1040,17283,1403,4289,15911,3320,6455,4247,,1170,966,1057,10951,3284,21228,174458
2013-02,1817,74007,2000,3597,416,17822,1223,3719,15044,3367,5986,4104,,1395,1348,919,11359,4409,20860,173392
2013-03,1534,73385,2032,4015,416,17620,1079,3666,16729,3082,6030,4104,,1395,1348,919,8481,4133,21680,171648
2013-04,1750,76821,2026,4149,416,16415,969,3914,15447,2828,5805,4104,,1395,1348,919,10542,4373,24828,178049
2013-05,1506,75699,2314,4011,290,13788,1341,3711,13468,2806,6013,2370,,949,1049,1179,10967,4354,10383,156198
2013-06,1550,71806,783,3415,290,14022,1114,3745,11818,2585,5514,2370,,949,1049,1179,10151,3623,19670,155633
2013-07,1789,76948,,827,,18033,997,4099,12542,1297,,2370,,,1049,1179,12497,,23665,157292
2013-08,1991,53157,,914,,18194,1356,4107,12439,1534,,4446,,,1157,2652,12734,1876,22263,138820
2013-09,2546,67863,,988,,16213,1131,3997,12668,1096,,4446,,,1157,2652,11934,1876,22506,151073
2013-10,2664,67863,,938,,20443,1045,,13769,1190,,4446,,,1157,2652,12560,1876,23727,154330
2013-11,2589,67863,,894,,16947,798,,16070,1168,,5768,,,1274,1729,11554,1868,23903,152425
2013-12,1563,67863,,622,,11206,581,,11012,908,,5768,,,1274,1729,8321,1868,19948,132663
2014-01,1906,63134,,805,,21872,742,,16228,1307,,5768,,,1274,1729,10158,1868,25950,152741
2014-02,1946,64506,,859,,15740,769,,13953,1219,,5703,,,1135,2119,7521,1907,23006,140383
2014-03,2481,60836,,913,,17517,919,4860,13953,1090,,5703,,,1135,2119,10274,1907,22949,146656
2014-04,1499,55649,,731,,15063,702,3720,13953,1077,,5703,,,1135,2119,10274,1907,23311,136843
2014-05,1796,55649,,696,,16631,638,3787,10998,1062,,4658,,,1027,1530,8073,2219,22689,131453
2014-06,1941,58981,439,984,,17854,678,4222,10998,801,,4658,,,1027,1530,8073,2219,23103,137508
2014-07,1864,64122,1140,768,,19719,603,2856,10998,908,,4658,,,1027,1530,8073,2219,27214,147699
2014-08,1505,67600,1188,669,,25957,520,3288,11860,1129,,5434,,,1131,1265,14746,2019,5061,143372
2014-09,1996,69071,1500,851,,22475,593,3035,11860,909,,5434,,,1131,1265,14746,2019,5061,141946
2014-10,2085,68438,1248,92,,22424,578,3156,11860,824,,5434,,,1131,1265,14746,2019,5061,140361
2014-11,2058,66186,1391,,,19176,620,2723,13065,845,,7059,,,1140,1244,9611,1651,5044,131813
2014-12,1383,58631,939,,,15143,393,1756,13065,845,,7059,,,1140,1244,9611,1651,5044,117904
2015-01,1620,67058,1030,,,19065,556,2403,13065,845,,7059,,,1140,1244,9611,1651,5044,131391
2015-02,1740,64434,1271,,,18088,666,2197,11501,1092,,4221,,,923,1148,5889,1348,5122,119640
2015-03,2123,68720,1135,,,18919,583,2395,11501,1092,,4221,,,923,,5889,1348,5122,123971
2015-04,1761,61643,890,116,,17739,,2117,11501,1092,,4221,,,,,5889,1348,5122,113439
2015-05,1833,64774,1052,741,,18229,,1478,12021,992,,3848,,,,,5685,1473,4970,117096
2015-06,2255,63620,1160,706,,17944,,2223,12021,992,,3848,,,,,5685,1473,4970,116897
2015-07,2094,67084,1363,728,,19040,,2093,12021,992,,3848,,,,,5685,1473,4970,121391
2015-08,1884,63523,1169,714,,20418,,2337,8173,919,,3493,,,,,5841,1127,4303,113901
2015-09,1998,62178,1401,780,,20301,,2325,8173,919,,3493,,,,350,5841,1127,4303,113189
2015-10,3122,63204,1294,834,,21811,,2417,8173,919,,3493,,,,896,5841,1127,4303,117434
2015-11,2833,62238,1209,752,,19707,,2007,12727,992,,3887,,,,862,8038,1265,18789,135306
2015-12,2380,50912,889,464,,14739,,1224,12727,992,,3887,,,,862,8038,1265,18789,117168
2016-01,2826,57627,1127,586,,17724,,1812,12727,992,,3887,,,,862,8038,1265,18789,128262
2016-02,2409,63405,1088,718,,19531,,1802,11141,971,,3185,,,,971,8545,1348,5200,120314
2016-03,2363,61221,990,596,,19749,,1696,11141,971,,3185,,,,971,8545,1348,5200,117976
2016-04,2051,67403,1122,421,,21154,,1674,11141,971,,3185,,,,971,8545,1348,5200,125186
2016-05,1476,60388,1066,423,,3866,,1118,3995,1192,,1049,,,,611,2210,468,3012,80874
2016-06,2047,59304,956,499,,,,1118,3995,1192,,1049,,,,611,2210,468,3012,76461
2016-07,2156,58149,993,533,,2221,,1476,3995,1192,,1049,,,,611,2210,468,3012,78065
2016-08,1859,60403,989,536,,3419,,1212,3246,1391,,1855,,,,611,1998,667,4676,82862
2016-09,1854,57427,1176,668,,3419,,1422,3246,1391,,1855,,,,611,1998,667,4676,80410
2016-10,1874,58557,946,711,,3419,,1353,3246,1391,,1855,,,,611,1998,480,4676,81117
2016-11,1843,57791,1016,634,,2422,,1276,2942,1478,,2080,,,,585,2951,455,3181,78654
2016-12,1543,49239,793,445,,2422,,908,2942,1478,,2080,,,,585,2951,312,3181,68879
2017-01,1674,55156,1206,567,,2422,,1188,2942,1478,,2080,,,,585,2951,433,3181,75863
2017-02,1256,54967,1075,612,,4017,,1096,3493,1248,,1668,,,,633,2834,463,4394,77756
2017-03,1548,58820,1014,659,,4017,,1297,3493,1248,,1668,,,,633,2834,463,4394,82088
2017-04,1687,52753,840,560,,4017,,1359,3493,1248,,1668,,,,654,2834,401,4394,75908
2017-05,1873,56776,985,481,,2479,,1375,3532,1179,,1343,,,,780,3090,459,3384,77736
2017-06,1734,55027,1031,575,,2479,,1092,3532,1179,,1343,,,,564,3090,491,3384,75521
2017-07,1658,56118,1051,696,,2479,,1042,3532,1179,,1343,,,,585,3090,627,3384,76784
2017-08,1254,59766,922,681,,2526,,2100,2899,1070,,1824,,,,901,3614,435,2648,80640
2017-09,1579,56741,963,677,,2526,,1414,2899,1070,,1824,,,,901,3614,479,2648,77335
2017-10,1679,58517,1037,731,,2526,,1158,2899,1070,,1824,,,,641,3614,502,2648,78846
2017-11,1786,59209,1018,665,,3038,,1780,5066,1512,,1257,,,,685,2301,554,3640,82511
2017-12,1387,45511,963,510,,3038,,1174,5066,1512,,1257,,,,460,2301,311,3640,67130
2018-01,1495,57049,903,676,,3038,,1618,5066,1512,,1257,,,,699,2301,532,3640,79786
2018-02,1346,53034,969,714,,2994,,1544,4416,1200,,2327,,,,783,3020,449,3722,76518
2018-03,1291,55801,886,614,,2994,,1271,4416,1200,,2327,,,,607,3020,603,3722,78752
2018-04,1296,54290,910,575,,2994,,1646,4416,1200,,2327,,,,663,3020,460,3722,77519
2018-05,1387,55278,968,516,,3163,,1335,3185,1027,,2689,,,,723,2509,461,3090,76331
2018-06,1391,53083,966,559,,3163,,1332,3185,1027,,2689,,,,607,2509,455,3090,74056
2018-07,1359,53551,939,623,,3163,,1051,3185,1027,,2689,,,,591,2509,529,3090,74306
2018-08,1271,54830,887,502,,3445,,1555,3623,884,,1239,,,,533,2214,465,3770,75218
2018-09,1597,52910,931,516,,3445,,757,3623,884,,1239,,,,590,2214,515,3770,72991
2018-10,1379,57850,1220,556,,3445,,319,3623,884,,1239,,,,723,2214,477,3770,77699
2018-11,1375,57757,1005,555,,3449,,382,3566,958,,1109,,,,601,2340,389,3129,76615
2018-12,1132,46198,705,490,,3449,,298,3566,958,,1109,,,,514,2340,229,3129,64117
2019-01,1684,56660,1047,556,,3449,,849,3566,958,,1109,,,,583,2340,541,3129,76471
2019-02,845,50793,965,524,,3259,,757,3679,1304,,1226,,,,501,3324,583,3376,71136
2019-03,796,56452,1001,649,,3259,,817,3679,1304,,1226,,,,577,3324,762,3376,77222
2019-04,785,49030,1110,592,,3259,,1542,3679,1304,,1226,,,,541,3324,446,3376,70214
2019-05,589,52035,1065,527,,2898,,1580,3442,1120,,1259,,,,477,2889,447,2030,70358
2019-06,629,43374,1265,472,,2898,,1410,3442,1120,,1259,,,,511,2889,405,2030,61704
2019-07,699,46245,1197,615,,2898,,1715,3442,1120,,1259,,,,479,2889,698,2030,65286
2019-08,129,48849,1256,634,,2898,,1823,4043,1381,,1342,,,,542,2688,555,2475,68615
2019-09,101,46061,1189,582,,2898,,1628,4043,1381,,1342,,,,422,2688,580,2475,65390
2019-10,107,51406,1119,702,,2898,,1737,4043,1381,,1342,,,,521,2688,634,2475,71053
2019-11,95,46800,1164,579,,1434,,1453,3538,937,,815,,,,457,2719,541,2113,62645
2019-12,72,37083,750,435,,1434,,1177,3538,937,,815,,,,369,2719,360,2113,51802
2020-01,64,47965,1102,629,,1434,,1476,3538,937,,815,,,,439,2719,613,2113,63844
2020-02,105,47452,1092,589,,2126,,1633,3887,1255,,932,,,,559,2540,543,2135,64848
2020-03,,,,,,2126,,,3887,1255,,932,,,,,2540,,2135,12875
2020-04,,,,,,,,,,,,,,,,,,,,
2020-05,,,,,,,,,,,,,,,,,,,,
2020-06,,,,,,,,,,,,,,,,,,,,
2020-07,,,,,,,,,,,,,,,,,,,,
2020-08,,,,,,,,,,,,,,,,,,,,
2020-09,,,,,,,,,,,,,,,,,,,,
2020-10,,,,,,,,,,,,,,,,,,,,
2020-11,,,,,,,,,,,,,,,,,,,,
2020-12,,,,,,,,,,,,,,,,,,,,
2021-01,,,,,,,,,,,,,,,,,,,,
2021-02,,,,,,,,,,,,,,,,,,,,
2021-03,,,,,,,,,,,,,,,,,,,,
2021-04,0,7663,53,84,,376,,104,567,233,,0,,,,75,0,0,0,9155
2021-05,0,9756,125,251,,601,,245,967,334,,157,,,,125,308,0,163,13032
2021-06,0,11764,163,262,,678,,316,1022,49,,246,,,,145,586,2,352,15585
2021-07,0,11278,297,296,,646,,473,1603,571,,483,,,,182,932,74,452,17287
2021-08,0,11264,276,437,,954,,702,1048,630,,378,,,,257,730,77,649,17402
2021-09,0,14828,348,443,,945,,747,1476,623,,433,,,,180,802,78,848,21751
2021-10,10,15859,483,396,,1080,,952,1751,581,,517,,,,264,883,56,1028,23860
2021-11,20,18434,621,370,,984,,757,1634,643,,512,,,,220,1216,39,822,26272
2021-12,19,16704,398,77,,670,,744,1192,528,,250,,,,150,891,72,617,22312
2022-01,25,16704,539,262,,1067,,985,1680,683,,396,,,,205,1410,55,772,24783
2022-02,42,18657,543,350,,1305,,1263,1755,730,,497,,,,273,1615,73,778,27881
2022-03,53,22780,690,555,,1562,,1482,2267,958,,630,,,,237,1558,72,920,33764
2022-04,55,20177,483,420,,1383,,1144,1995,869,,523,,,,231,1396,63,839,29578
2022-05,36,23869,701,367,,1347,,1291,2516,838,,769,,,,270,1592,109,935,34640
2022-06,48,21981,565,368,,1102,,1037,2046,893,,678,,,,183,1205,44,861,31011
2022-07,61,22232,613,418,,1471,,1336,3165,1070,,873,,,,366,1354,66,1277,34302
2022-08,53,25178,679,491,,1192,,2019,3361,1482,,991,,,,428,1701,130,1105,38810
2022-09,57,24490,853,485,,1545,,1593,2644,1097,,966,,,,299,1555,138,1428,37150
2022-10,41,27494,826,530,,1485,,1615,2704,1082,,798,,,,311,1309,203,1295,39693
2022-11,61,28200,917,333,,1171,,1531,2940,1074,,742,,,,278,1432,188,1249,40116
2022-12,42,25656,663,320,,1157,,1159,2010,871,,637,,,,191,447,126,872,34151
2023-01,55,26534,988,460,,1406,,1623,3146,1342,,877,,,,378,953,183,1347,39292
2023-02,55,21723,721,443,,1409,,1763,2969,1174,,939,,,,269,1433,108,1405,34411
2023-03,78,31209,1122,534,,1587,,1957,3374,1238,,1006,,,,248,1961,166,1463,45943
2023-04,61,26756,615,422,,1224,,1571,2948,1158,,833,,,,367,1503,145,1190,38793
2023-05,66,27197,953,382,,1126,,1810,3242,1153,,679,,,,325,574,114,1199,38820
2023-06,76,26241,898,555,,1374,,1764,2938,1352,,909,,,,387,0,112,1662,38268
2023-07,70,29058,886,720,,1673,,2172,3635,1370,,1154,,,,430,0,95,1878,43141
2023-08,93,33297,695,872,,2006,,4105,4638,1619,,1449,,,,481,342,257,2189,52043
2023-09,71,27725,860,1022,,2203,,4568,4972,1603,,1033,,,,524,813,190,2702,48286
2023-10,56,28651,1070,874,,2067,,4490,4931,1747,,1208,,,,414,1252,177,3056,49993
2023-11,75,30095,678,997,,2206,,4179,4686,1648,,1105,,,,302,1174,164,2613,49922
2023-12,30,26043,374,589,,1550,,3742,3535,1334,,898,,,,254,689,103,2102,41243
2024-01,70,29423,676,1073,,2029,,4262,5046,1638,,1066,,,,374,1395,210,2893,50155
2024-02,62,29171,712,933,,2181,,4702,4622,1906,,1196,,,,394,1206,235,2898,50218
2024-03,70,29426,552,960,,1847,,4253,5192,1950,,1280,,,,344,1275,273,2812,50234
2024-04,63,29581,496,762,,1794,,4351,4710,1944,,1250,,,,482,1187,172,2733,49525
2024-05,93,28787,485,1066,,1586,,4188,3620,1776,,869,,,,547,1273,206,2605,47101
2024-06,69,25336,684,841,,1677,,4288,3370,1930,,1164,,,,507,1087,166,2493,43612
2024-07,27,28865,655,918,,2590,,5416,4686,2143,,1405,,,,682,1642,185,1642,50856
2024-08,,26806,541,1024,,1822,,4086,4230,2411,,1436,,,,545,1436,214,2761,47312
