Organisation,Corporate sponsorships,Earned income,Individual donations,Public funding,Trusts and foundations
Northern Stage,0,33,0,59,5
Twam,0,12,2,80,3
Centre For Life,0,98,0,0,0
Seven Stories,2,6,0,72,17
