LAD24CD,number,funding,average_funding
E06000047,9,2203687,244854
E06000057,8,1290452,161306
E08000021,15,8929115,595274
E08000022,1,195335,195335
E08000023,3,454000,151333
E08000024,3,1073836,357945
E08000037,5,6940565,1388113
