funder,grant_programme,total_grants,funding
"Department for Digital, Culture, Media & Sport",2020/21 Young Audiences Content Fund (YACF),1,31500
"Department for Digital, Culture, Media & Sport",2021/22 UK Global Screen Fund (UKGSF),1,80000
"Department for Digital, Culture, Media & Sport",21/22 General,1,17000
"Department for Digital, Culture, Media & Sport",ACE Emergency Funding,2,105100
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Bridge Expansion,1,30933
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Investment Funds,2,315000
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - National Portfolio Organisations,14,6510420
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitBritain - GREAT Gateway Innovation Fund 2022/24,1,112044
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - COVID-19 Destination Management Resilience Scheme,1,29866
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Destination Management Organisations' Marketing Recovery Fund 2020-22,2,75000
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Destination Management Organisations' Recovery Marketing Fund (No. 2) 2021/23,2,100000
"Department for Digital, Culture, Media & Sport",ALB - British Tourist Authority t/a VisitEngland - Discover England Fund Year 5 2020/21,1,214400
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Heritage Protection Commissions-fy 20/21,3,13978
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 20/21,1,7575
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 21/22,1,10456
"Department for Digital, Culture, Media & Sport",ALB - National Heritage Memorial Fund - Culture Recovery Fund for Heritage 2020-21,5,381600
"Department for Digital, Culture, Media & Sport",ALB - National Heritage Memorial Fund - Heritage Capital Kickstart Fund 2020-21,1,114000
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Domestic Support Fund,2,12900
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Growth Programme 2020/23,1,25960
"Department for Digital, Culture, Media & Sport",ALB - VisitBritain - Business Events Growth Programme 2020/24,1,3994.83
"Department for Digital, Culture, Media & Sport",ALB - VisitEngland - pilot Destination Development Partnership (North-East) 2022-25,1,750000
"Department for Digital, Culture, Media & Sport",ALB-Historic England-Covid-19 Emergency Response Fund Resilience Grants,1,18245
"Department for Digital, Culture, Media & Sport",ALB-Historic England-Heritage Stimulus Fund Emergency Heritage at Risk Response Fund,2,19280
"Department for Digital, Culture, Media & Sport",ALB-Sport England-Core Market,2,340620
"Department for Digital, Culture, Media & Sport",ALB-Sport England-Facilities,4,883975
"Department for Digital, Culture, Media & Sport",Arts Council National Lottery Project Grants,4,466737
"Department for Digital, Culture, Media & Sport",Big Night In,8,79472.97
"Department for Digital, Culture, Media & Sport",Bridge Expansion,2,61866
"Department for Digital, Culture, Media & Sport",COVID19,1,1000
"Department for Digital, Culture, Media & Sport",Capital Investment Programme,2,949999
"Department for Digital, Culture, Media & Sport",Capital/Infrastructure,1,2000000
"Department for Digital, Culture, Media & Sport",Children and Young People,2,63466
"Department for Digital, Culture, Media & Sport",Community Match Challenge Fund,6,168186.8
"Department for Digital, Culture, Media & Sport",Coronavirus Community Support Fund,66,1662940
"Department for Digital, Culture, Media & Sport",Cultural Compacts,1,14800
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Arts Recovery (ACE),54,10776744
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Continuity Support,11,1072767
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Cultural Capital Kickstart Fund (ACE),1,85911
"Department for Digital, Culture, Media & Sport",Culture Recovery Fund: Emergency Resource Support,4,192872
"Department for Digital, Culture, Media & Sport",Dynamo Cyber Skills Pilot Cluster Project 2021,1,5000
"Department for Digital, Culture, Media & Sport",Future Radio Access Networks Competition (FRANC),2,967154.77
"Department for Digital, Culture, Media & Sport",Green Recovery Challenge Fund - Round 1,3,744969.97
"Department for Digital, Culture, Media & Sport",HMT Tampon Tax 19/20 Fund,2,46861.5
"Department for Digital, Culture, Media & Sport",HMT Tampon Tax 20/21 Fund,1,141130
"Department for Digital, Culture, Media & Sport",Heritage Capital Kickstart Fund,2,5867909
"Department for Digital, Culture, Media & Sport",Investment Funds,3,230000
"Department for Digital, Culture, Media & Sport",Life Chances Fund,4,24964154
"Department for Digital, Culture, Media & Sport",National Portfolio Organisations,14,6556252
"Department for Digital, Culture, Media & Sport",PFI Grants to Local Authorities Paid via DLUHC,2,6416296
"Department for Digital, Culture, Media & Sport",Transition Fund,1,62622
"Department for Digital, Culture, Media & Sport",Youth Accelerator Fund 1920,6,39424.5
"Department for Digital, Culture, Media & Sport",Youth Covid Support Fund 2021,3,89575.75
Department for Education,ALB-Office for Students-Additional capital funding,2,520000
Department for Education,ALB-Office for Students-PG conversion,1,115950
Department for Education,Additional Student Hardship Funding,3,308558
Department for Education,Apprenticeships Participation 16 - 18,32,5902411.51
Department for Education,Apprenticeships Participation 18+,54,39917020.98
Department for Education,Competitive Capital 2021,2,4000000
Department for Education,Competitive Capital 2022-25,2,1334696
Department for Education,Condition Improvement Fund Academies,22,6303064
Department for Education,DCMS Foundation Data Skills,1,57458
Department for Education,DHSC Mental Health Funding,1,48331
Department for Education,Early Careers Framework Mentor Backfill Trial,3,4650
Department for Education,Early Years Professional Development Programme (Phase 2): Building on Success,1,22100
Department for Education,Early Years Programme,2,578556.6
Department for Education,Environmental Improvement Grant,1,80000
Department for Education,Exceptional Capital Projects,2,101310
Department for Education,Exceptional Costs Associated with Coronavirus (COVID-19),23,1010155
Department for Education,FE Additional Capital Allocation,1,1284448
Department for Education,FE Capital Transformation,1,11372.65
Department for Education,FE Initial Teacher Education Financial Incentives,1,250468.1
Department for Education,Free Schools Capital,5,5646751.5600000005
Department for Education,Free Schools Project Development Grants,2,232500
Department for Education,Full Fibre Broadband,1,16004.3
Department for Education,GRENFELL CAPITAL,1,2164.45
Department for Education,Initial Teacher Training (ITT) Bursaries and School Direct Salaried And Postgraduate Teaching Assistants (PGTA),4,3393262.5
Department for Education,Modular HE Pilot,1,90463
Department for Education,Multi-Agency Safeguarding: Implementing the Reforms,1,40000
Department for Education,Music And Dance Scheme,1,232396.4
Department for Education,Opportunity North East,3,203319.5
Department for Education,PG conversion,2,434003
Department for Education,Priority School Building Programme,1,38370.45
Department for Education,Priority School Building Programme - Private Finance Local Authority & Voluntary Aided School Revenue Grant,5,69860195.28
Department for Education,Priority Schools Building Programme 2,1,88565.19
Department for Education,SCHOOL REBUILDING PROGRAMME,1,50237.5
Department for Education,Senior mental health lead training grants,19,45600
Department for Education,"Strengthening Families, Protecting Children (SFPC) grant",1,775000
Department for Education,Sub-National Supply,1,42123.71
Department for Education,Subject Knowledge Enhancements,1,12710
Department for Education,Summer Schools,11,298778.68
Department for Education,T - Level Capital,1,4597902.47
Department for Education,Teaching School Core Grant,18,394225
Department for Education,Uni Connect,1,2041130
Department for Education,Wellbeing for education recovery,1,29437
"Department for Environment, Food and Rural Affairs",ALB - Rural Payments Agency - School Milk subsidy - NSA P1,2,2223.86
"Department for Environment, Food and Rural Affairs",ALB - Rural Payments Agency - State Aid Funded (RD Measure 10),3,12570.74
"Department for Environment, Food and Rural Affairs",Air Quality Grant 2021-22 Revenue Grant to LA,1,2500000
"Department for Environment, Food and Rural Affairs",Air Quality Grant FY 2022-2023,1,300000
"Department for Environment, Food and Rural Affairs",Biodiversity Net Gain Planning Requirement ring fenced,2,53614
"Department for Environment, Food and Rural Affairs",Catchment Partnership Grant (CPG) - Water Environment Improvement Fund 2020-2022,9,96590.3
"Department for Environment, Food and Rural Affairs",Catchment Partnership Grant (CPG) - Water Environment Improvement Fund 2022-2025,3,54130.31
"Department for Environment, Food and Rural Affairs",Countryside Stewardship,2,51609.399999999994
"Department for Environment, Food and Rural Affairs",Covid-19 Food Charity Grant Scheme,1,31130
"Department for Environment, Food and Rural Affairs",Fisheries and Seafood Scheme (FaSS) 1,1,54627.14
"Department for Environment, Food and Rural Affairs",LA & IDB Capital Grants 2020/21,3,425000
"Department for Environment, Food and Rural Affairs",LA & IDB Flood Coastal Erosion Risk Management (FCERM) - Capital Grants 6 Year Programme (2021-27),6,205223
"Department for Environment, Food and Rural Affairs",Local Authorities Treescape Fund,3,288145.61
"Department for Environment, Food and Rural Affairs",M04 - Investments in physical assets Exchq funded NSA P2,2,8878.1
"Department for Environment, Food and Rural Affairs",M10 - Agri-environment- Climate Exchq,4,3494.65
"Department for Environment, Food and Rural Affairs",M10 - Agri-environment- Climate Exchq funded NSA P2,2,16128.310000000001
"Department for Environment, Food and Rural Affairs","NCF: Nature for Climate Peatland Discovery Grant Scheme Round 1, 2",2,374164.69
"Department for Environment, Food and Rural Affairs",Natural Environment Investment Readiness Fund (NEIRF) 2021-2026,2,28890
"Department for Environment, Food and Rural Affairs",Peatland restoration Projects - CATCHMENT PARTNERSHIP GRANTS (PEATLAND RESTORATION) FOR 2020-2022,4,222118.0
"Department for Environment, Food and Rural Affairs",RPA Countryside Stewardship,5,134730.22
"Department for Environment, Food and Rural Affairs",RPA DOMESTIC SCHOOL MILK SCHEME,2,722.25
"Department for Environment, Food and Rural Affairs",Seafood Response Fund and Seafood Disruption Support Scheme,1,5995.8
"Department for Environment, Food and Rural Affairs",Surface Water Maps Part 2 2022-2024,1,15000
"Department for Environment, Food and Rural Affairs",Taxi and Private Hire Vehicle Data Upload Grants April 2022,1,597.02
"Department for Environment, Food and Rural Affairs",Taxi and Private Hire Vehicle Data Upload Grants January 2023,1,597.02
"Department for Environment, Food and Rural Affairs",Tree Production Innovation Fund,1,72297.8
"Department for Environment, Food and Rural Affairs",UK Seafood Fund: Grant for Modernising the fleet through exploring replacement engines in the Small Scale Coastal Fleet,1,13436.63
"Department for Environment, Food and Rural Affairs",Water Environment Improvement Fund - Catchment Partnership Action Fund (CPAF) 2020-2022,1,15000
"Department for Levelling Up, Housing and Communities",ACCELERATED CONSTRUCTION,1,1779896.57
"Department for Levelling Up, Housing and Communities",AFFORDABLE HOUSING GRANT,1,3739444
"Department for Levelling Up, Housing and Communities",Accelerated Construction,1,239701.91
"Department for Levelling Up, Housing and Communities",Affordable Housing Grant,11,7152030
"Department for Levelling Up, Housing and Communities",BROWNFIELD HOUSING FUND,2,5404617
"Department for Levelling Up, Housing and Communities",BUSINESS IMPROVEMENT DISTRICTS,1,95157
"Department for Levelling Up, Housing and Communities",Building Safety Fund,1,86638
"Department for Levelling Up, Housing and Communities",COMMUNITY BASED ENGLISH LANGUAGE,1,175674
"Department for Levelling Up, Housing and Communities",COMMUNITY CHAMPIONS,1,311319
"Department for Levelling Up, Housing and Communities",COMMUNITY HOUSING FUND,1,12000
"Department for Levelling Up, Housing and Communities",COVID-19 COMPLIANCE AND ENFORCEMENT GRANT,1,195309
"Department for Levelling Up, Housing and Communities",COVID-19 SHIELDING SUPPORT,2,334660
"Department for Levelling Up, Housing and Communities",Changing Places,1,60000
"Department for Levelling Up, Housing and Communities",Cold Weather Payments,1,51370
"Department for Levelling Up, Housing and Communities",Community Based English Language,1,197223
"Department for Levelling Up, Housing and Communities",Community Champions,1,185000
"Department for Levelling Up, Housing and Communities",Covid-19 Shielding Support,1,543109
"Department for Levelling Up, Housing and Communities",Cyber Security Resilience,1,100000
"Department for Levelling Up, Housing and Communities",DISABLED FACILITIES GRANTS (N),1,2722478
"Department for Levelling Up, Housing and Communities",DOMESTIC ABUSE,2,1428593
"Department for Levelling Up, Housing and Communities",Digital Planning Reform,3,846000
"Department for Levelling Up, Housing and Communities",Domestic Abuse,1,737705
"Department for Levelling Up, Housing and Communities",Expansion of Waking Watch Relief Fund,3,507774
"Department for Levelling Up, Housing and Communities",FAITH RACE HATE - GRANT SCHEME,1,72017.4
"Department for Levelling Up, Housing and Communities",Faith New Deal,1,58400
"Department for Levelling Up, Housing and Communities",Faith Race Hate - Grant Scheme,1,27073.31
"Department for Levelling Up, Housing and Communities",HOMELESSNESS REDUCTION NEW BURDENS,1,141981
"Department for Levelling Up, Housing and Communities",HOUSING INFASTRUCUTRE,1,7641371
"Department for Levelling Up, Housing and Communities",HRS COVID-19 RESPONSE,1,15750
"Department for Levelling Up, Housing and Communities",Help to Buy,1,11607
"Department for Levelling Up, Housing and Communities",Holocaust Awareness Raising,1,30000
"Department for Levelling Up, Housing and Communities",Homes for Ukraine,2,2728950
"Department for Levelling Up, Housing and Communities",Hong Kong British National Overseas (HKBNOs) Welcome Programme,4,128450
"Department for Levelling Up, Housing and Communities",Housing Infrastructure Fund,1,199215.46
"Department for Levelling Up, Housing and Communities",LA - NEW HOMES BONUS,1,6592394
"Department for Levelling Up, Housing and Communities",LA HOMELESSNESS (D),1,77580
"Department for Levelling Up, Housing and Communities",LETTING AGENT FEE TRANSPARENCY & REDRESS,1,793
"Department for Levelling Up, Housing and Communities",LOCAL DIGITAL INNOVATION FUND,2,167500
"Department for Levelling Up, Housing and Communities",LOCAL RESILIENCE FORUMS (LRFS),1,200000
"Department for Levelling Up, Housing and Communities",Levelling Up Fund,4,4618243
"Department for Levelling Up, Housing and Communities",Local Authority Housing Fund (LAHF),1,593602
"Department for Levelling Up, Housing and Communities",Local Digital Collaboration Fund,2,422920
"Department for Levelling Up, Housing and Communities",Local Resilience Forums,2,401992
"Department for Levelling Up, Housing and Communities",MANDATING DATA TRANSPARENCY,1,13071
"Department for Levelling Up, Housing and Communities",MAYORAL CAPACITY FUND,1,1000000
"Department for Levelling Up, Housing and Communities",MOVE ON FUND,2,437981
"Department for Levelling Up, Housing and Communities",Mandating Data Transparency,2,26142
"Department for Levelling Up, Housing and Communities","Markets, Places & People",1,143443
"Department for Levelling Up, Housing and Communities",Mayoral Capacity Fund,1,1000000
"Department for Levelling Up, Housing and Communities",Move on Fund,13,126920
"Department for Levelling Up, Housing and Communities",NEW BURDEN PAYMENT - FIT & PROPER TEST,1,568
"Department for Levelling Up, Housing and Communities",NEXT STEPS ACCOMMODATION PROGRAMME,1,150000
"Department for Levelling Up, Housing and Communities",NORTH OF TYNE DEVO DEAL,1,20000000
"Department for Levelling Up, Housing and Communities",New Homes Bonus,2,6374383
"Department for Levelling Up, Housing and Communities",North of Tyne Devo Deal,2,40000000
"Department for Levelling Up, Housing and Communities",PFI AND JOINT SERVICE CENTRE,1,1133342
"Department for Levelling Up, Housing and Communities",PFI and Joint Service Centre,2,2266684
"Department for Levelling Up, Housing and Communities",PLANNING DELIVERY FUND,1,50000
"Department for Levelling Up, Housing and Communities",Partnerships for People and Place,2,100000
"Department for Levelling Up, Housing and Communities",Pavement Licensing New Burdens,1,10248
"Department for Levelling Up, Housing and Communities",Planning Delivery Fund,1,20382
"Department for Levelling Up, Housing and Communities",ROGUE LANDLORD NEW BURDENS,1,440
"Department for Levelling Up, Housing and Communities",ROUGH SLEEPING INITIATIVE,1,490194
"Department for Levelling Up, Housing and Communities",ROUGH SLEEPING SOCIAL IMPACT BOND (PBR),1,341940
"Department for Levelling Up, Housing and Communities",RTB RENT,1,144822
"Department for Levelling Up, Housing and Communities",Rough Sleeping Accommodation Programme,1,80500
"Department for Levelling Up, Housing and Communities",Rough Sleeping Initiative,2,1290148
"Department for Levelling Up, Housing and Communities",Rough Sleeping Social Impact Bond (PBR),1,89300
"Department for Levelling Up, Housing and Communities","SALES, FEES AND CHARGES",2,7488150
"Department for Levelling Up, Housing and Communities","Sales, Fees and Charges",1,4979951
"Department for Levelling Up, Housing and Communities",TF SERVICE TRANSFORMATION PHASE2,1,400000
"Department for Levelling Up, Housing and Communities",TROUBLED FAMILIES ATTACHMENT FEE PHASE 2,1,301400
"Department for Levelling Up, Housing and Communities",TROUBLED FAMILIES RESULTS PHASE 2,1,281600
"Department for Levelling Up, Housing and Communities",The Protect Programme,1,16050
"Department for Levelling Up, Housing and Communities",UK Community Renewal Fund,2,2450751
"Department for Levelling Up, Housing and Communities",Ukraine Welcome Point Funding,1,20000
Department for Transport,Airport and Ground Operations Support Scheme (AGOSS) 20/21,1,2639183
Department for Transport,Covid 19 Bus Service Support Grant commercial,10,0
Department for Transport,EVHS / Home Chargers 21/22,4,2950
Department for Transport,HMT Economic Data Innovation Fund,1,136957.03
Department for Transport,JAQU NO2 Plan - Early Measures Fund,1,10000000
Department for Transport,Light Rails Support Package,11,37046429
Department for Transport,Light Rails Support Package 21/22,12,16659600
Department for Transport,Low Emission Bus Scheme,1,390000
Department for Transport,MCA grant 21-25,1,178571.43
Department for Transport,Major Road Network / Large Local Majors (MRN/LLM),1,1105300
Department for Transport,Mobility Centres 21/22,3,290757
Department for Transport,Nexus Grants - Capital 20/21,1,18517358
Department for Transport,Nexus Grants - Capital 21/22,1,24897033
Department for Transport,Nexus Grants - Resource 20/21,1,26590000.28
Department for Transport,Nexus Grants - Resource 21/22,1,29248333.33
Department for Transport,Nexus New Fleet Grants 20/21,1,8505000
Department for Transport,Pothole and Challenge Fund 21/22,5,1820000
Department for Transport,Safer Roads Fund,1,3650000
Department for Transport,Transforming Cities Fund 21/22,3,77278258
Department for Transport,Workplace Charging Scheme 21/22,2,4550
Department for Work and Pensions,COVID LOCAL SUPPORT GRANT (CLSG),1,1350079.55
Department for Work and Pensions,HOUSEHOLD SUPPORT FUND GRANT (HSFG),1,1049996
Department for Work and Pensions,Household Support Fund Grant (HSFG),1,5796807.69
Department for Work and Pensions,Kickstart Scheme,121,4424200.64
Department for Work and Pensions,Kickstart Scheme (2020-2021),2,87108.01000000001
Department for Work and Pensions,REDUCING PARENTAL CONFLICT (RPC),1,11000
Department for Work and Pensions,REDUCING PARENTAL CONFLICT - LOCAL GRANT (RPC LG),1,70495
Department for Work and Pensions,VERIFICATION OF EARNINGS AND PENSION ALERTS (VEPS),1,14687.69
Department of Health and Social Care,ALB - NHS BSA - Education Support Grants 20-21,1,17852000
Department of Health and Social Care,Autism Specific Health Checks,2,513552
Department of Health and Social Care,COVID Dental Schools,1,133280
Department of Health and Social Care,Children and Young People?s Hospice Grant 2021-22,1,284553.3
Department of Health and Social Care,Disabled Facilities Grants,1,2722478
Department of Health and Social Care,Hospice Grant 2022/23,1,371297
Department of Health and Social Care,Mass Spectometry,1,268942
Department of Health and Social Care,Newcastle Univeristy - wastewater epidemiology,1,194721
Department of Health and Social Care,Rough Sleeping Drug and Alcohol Treatment Grant Scheme 2022-2025,1,239471
Department of Health and Social Care,TTSP_Test and Trace Support Payments_21/22_Q3_OctNovDec21_extension,1,607737
Esmée Fairbairn Foundation,Main Grant,26,2046582.0
Esmée Fairbairn Foundation,TASK by Trustee,4,32500.0
HM Revenue & Customs,SME Brexit Support Fund,10,16629
Home Office,Afghan Citizen Resettlement Scheme & Relocation and Assistance Policy,2,816748.43
Home Office,Afghan Locally Engaged Staff Ex-Gratia Scheme 2021-22,2,295778
Home Office,Domestic Abuse Perpetrator Intervention Fund,1,199875
Home Office,Drug Testing on Arrest,1,4857.5
Home Office,EU Settlement Grant Scheme Funding,5,741627.38
Home Office,EU Settlement Grant Scheme Funding 21/22,3,548258.34
Home Office,Family Assessment Payment Grant,1,600
Home Office,Leaving Care (LC) - ENGLAND,2,940950.01
Home Office,Leaving Care (LC) - ENGLAND 2020-21,1,610148.58
Home Office,Local Authority Community Co-ordinator,1,53976
Home Office,Resettlement Programme - Healthcare,2,227672.75
Home Office,Resettlement Programme - Healthcare 2020-21,1,125638.7
Home Office,Resettlement Programme - Post Arrival Support,2,785577.87
Home Office,Safety of Women at Night Fund,1,105417.4
Home Office,Serious Violence Fund - Violence Reduction Units,1,2891384
Home Office,The Safer Streets Fund,2,1634071
Home Office,Unaccompanied Asylum Seeking Children (UASC) - ENGLAND,2,1183522
Home Office,Unaccompanied Asylum Seeking Children (UASC) - ENGLAND 2020-21,1,355680
Hyde Charitable Trust,Energy grant 22/23,1,53287.2
Indigo Trust,,2,60000
J J Charitable Trust,,1,5000
John Ellerman Foundation,Arts,2,180000
