funder,grant_programme,total_grants,funding
A B Charitable Trust,Access to Justice,1,22000
A B Charitable Trust,"Human Rights, particularly access to justice",2,40000
A B Charitable Trust,Migrants and Refugees,6,110000
A B Charitable Trust,The Criminal Legal system and penal reform,1,20000
Access to Justice Foundation,2024 SSJSF,1,4000
Access to Justice Foundation,Community Justice Fund,2,102261
Access to Justice Foundation,Community Justice Fund Wave Three,2,24196
Access to Justice Foundation,Help Accessing Legal Support  (HALS),1,133455
Access to Justice Foundation,Improving Outcomes Through Legal Support (IOTLS) grant,1,41331.62
Access to Justice Foundation,Legal Support for Litigants in Person Grant,1,545824
Access to Justice Foundation,Round One of Improving Lives Through Advice ,2,998584
Alan & Babette Sainsbury Charitable Fund,,1,30000
Allen Lane Foundation,Asylum seekers and refugees,1,6500
Allen Lane Foundation,Migrant communities,1,2000
Allen Lane Foundation,Offenders or ex-offenders,1,5000
Allen Lane Foundation,People with mental health issues,1,8640
Architectural Heritage Fund,England [TPTH],1,79600
Architectural Heritage Fund,UK [TPTH2 Historic],1,36539
BBC Children in Need,2020 Booster Grants,12,36758
BBC Children in Need,Core Grants,1,50000
BBC Children in Need,Cost of Living Uplift,10,5000
BBC Children in Need,Covid-19 Next Steps Grants,2,43879
BBC Children in Need,Main Grants 2020,1,101995
BBC Children in Need,Main Grants Autumn21,2,73331
BBC Children in Need,Money Heroes,1,1000
BBC Children in Need,Partnership Programme,1,2500
BBC Children in Need,Small Grants,2,59262
Barrow Cadbury Trust,Criminal Justice,1,21660
Barrow Cadbury Trust,TNLCF CV-19 Support Fund,3,65650
CAF,CAF Coronavirus Emergency Fund,9,51727
CAF,CAF Resilience Fund Phase 1,11,356303
CAF,CAF Resilience Fund Phase 2,2,551592
CAF,Keystone Fund,2,44040
CHK Foundation,,2,89000
Cabinet Office,"Funding to Local Authorities in England, Scotland and Wales covering the additional cost of Individual Electoral Registration (IER) in FY 20/21 - initial funding round.",1,26759
Cabinet Office,"Funding to Local Authorities in England, Scotland and Wales covering the additional cost of Individual Electoral Registration (IER) in FY 21/22",1,10222
Cabinet Office,One Public Estate - Opportunities Development Fund,1,142000
Co-operative Group,Co-op Local Community Fund,50,127525.79999999999
Community Foundation serving Tyne & Wear and Northumberland,,1556,10619513.809999999
Coop Foundation,Belong (historic),4,133369
Corra Foundation,Promise Partnership,1,50000
Crisis UK,Home For All,1,60000
Crisis UK,In This Together,3,14535.970000000001
Crowdfunder,National Emergencies Trust Local Action Fund,2,8310
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - AHRC grant awards in 20-21,13,3329053.87
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - BBSRC grant awards in 20-21,11,3143924.01
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - EPSRC grant awards in 20-21,23,20748503.560000002
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - ESRC grant awards in 20-21,20,3033811.59
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - Innovate UK grant awards in 20-21,45,8556635.190000001
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - MRC grant awards in 20-21,15,13987027.75
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - NERC grant awards in 20-21,17,4278766.5200000005
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - STFC grant awards in 20-21,5,892784.39
"Department for Business, Energy and Industrial Strategy",Energy Bills Support Scheme: Alternative Funding (GB),1,1157440
"Department for Business, Energy and Industrial Strategy",Energy Bills Support Scheme: Alternative Funding (GB) - New Burdens (EBSSAFGB_NB),1,21170
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee Alternative Fuel Payment (EPG AFP),1,52000
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee Alternative Fuel Payment Alternative Fund (EPG AFP AF)??,1,52000
"Department for Business, Energy and Industrial Strategy",Energy Price Guarantee: Alternative Fuel Payment - Alternative Funding - New Burdens (EPG AFP AF_NB),1,4500
"Department for Business, Energy and Industrial Strategy",Green Homes Fund - Local Authority Delivery Phase 1,2,2992969
"Department for Business, Energy and Industrial Strategy",Green Homes Grant - Local Authority Delivery (LAD) Phase 3,1,968552
"Department for Business, Energy and Industrial Strategy",Heat Networks Efficiency Scheme Demonstrator,1,20156.85
"Department for Business, Energy and Industrial Strategy",Home Upgrade Grant (HUG 1),1,277432
"Department for Business, Energy and Industrial Strategy",Omicron Hospitality and Leisure Grant,1,3414123
"Department for Business, Energy and Industrial Strategy",Public Sector Decarbonisation Scheme (Phase 3),1,420639
"Department for Business, Energy and Industrial Strategy",Public Sector Low Carbon Skills Fund - Phase 1,5,147236.2
"Department for Business, Energy and Industrial Strategy",Restart Grant,1,19224603
"Department for Business, Energy and Industrial Strategy",Small Business Grants Fund (SBGF) - Discretionary Fund,1,3257250
"Department for Business, Energy and Industrial Strategy",Small and Retail Hospitality Business Support Grants Fund Cohort 1,1,63782000
"Department for Business, Energy and Industrial Strategy",Small business retail and leisure local restrictions Grant 20-21 Cohort 2,1,46905723.34
"Department for Business, Energy and Industrial Strategy",Social Housing Decarbonisation Main Fund,2,3661629.1399999997
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 21/22,14,1251434.4
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 22/23,34,3429684.51
"Department for Business, Energy and Industrial Strategy",UKRI - BBSRC - Scheme 21/22,11,950188.66
"Department for Business, Energy and Industrial Strategy",UKRI - BBSRC - Scheme 22/23,56,3737127.38
"Department for Business, Energy and Industrial Strategy",UKRI - COVID - Scheme 22/23,6,227903.5
"Department for Business, Energy and Industrial Strategy",UKRI - EPSRC - Scheme 21/22,23,4327256.75
"Department for Business, Energy and Industrial Strategy",UKRI - EPSRC - Scheme 22/23,76,17818181.24
"Department for Business, Energy and Industrial Strategy",UKRI - ESRC - Scheme 21/22,7,469362.34
"Department for Business, Energy and Industrial Strategy",UKRI - ESRC - Scheme 22/23,23,1195713.58
"Department for Business, Energy and Industrial Strategy",UKRI - FIC - Scheme 22/23,11,226263.16
"Department for Business, Energy and Industrial Strategy",UKRI - FLF - Scheme 22/23,10,2125654.04
"Department for Business, Energy and Industrial Strategy",UKRI - GCRF - Scheme 22/23,6,3492952.0300000003
"Department for Business, Energy and Industrial Strategy",UKRI - HEG - Scheme 22/23,3,97125.14
"Department for Business, Energy and Industrial Strategy",UKRI - ISCF - Scheme 22/23,11,18314669.55
"Department for Business, Energy and Industrial Strategy",UKRI - Innovate - Scheme 21/22,32,2771501.0700000003
"Department for Business, Energy and Industrial Strategy",UKRI - Innovate UK - Scheme 22/23,45,1978462.8800000001
"Department for Business, Energy and Industrial Strategy",UKRI - MRC - Scheme 21/22,9,1089688.26
"Department for Business, Energy and Industrial Strategy",UKRI - MRC - Scheme 22/23,43,7635305.22
"Department for Business, Energy and Industrial Strategy",UKRI - NC3Rs - Scheme 22/23,6,187771.83000000002
"Department for Business, Energy and Industrial Strategy",UKRI - NERC - Scheme 21/22,16,701762.98
"Department for Business, Energy and Industrial Strategy",UKRI - NERC - Scheme 22/23,45,6277425.71
"Department for Business, Energy and Industrial Strategy",UKRI - Newton Fund - Scheme 22/23,1,-19789.83
"Department for Business, Energy and Industrial Strategy",UKRI - SPF - Scheme 22/23,8,1506640.85
"Department for Business, Energy and Industrial Strategy",UKRI - STFC - Scheme 21/22,7,365252.41000000003
"Department for Business, Energy and Industrial Strategy",UKRI - STFC - Scheme 22/23,19,1136821.02
"Department for Business, Energy and Industrial Strategy",UKRI - UKRI - Scheme 21/22,2,449280.12
"Department for Business, Energy and Industrial Strategy",UKRI - UKRI - Scheme 22/23,1,4407.92
"Department for Digital, Culture, Media & Sport",20/21 General,1,17000
"Department for Digital, Culture, Media & Sport",2020/21 Culture Recovery Fund for Independent Cinemas England (CRFICE),2,23677
