organisation,LAD24CD,LAD24NM,IPSO,NPO,Project Grant,latitude,longitude
Laura Turner,E08000021,Newcastle upon Tyne,,,True,,
Lauren Stafford,E08000021,Newcastle upon Tyne,,,True,,
Lee Renforth,E08000021,Newcastle upon Tyne,,,True,,
Let's Circus,E08000021,Newcastle upon Tyne,,,True,,
Lewis Jobson,E08000021,Newcastle upon Tyne,,,True,,
Liberdade community development trust,E08000021,Newcastle upon Tyne,,,True,,
Lindsay Duncanson,E08000021,Newcastle upon Tyne,,,True,,
Little Inventors Worldwide Ltd,E08000021,Newcastle upon Tyne,,,True,,
Lizzy Mansfield,E08000021,Newcastle upon Tyne,,,True,,
Luca Rutherford,E08000021,Newcastle upon Tyne,,,True,,
Manpreet Kambo,E08000021,Newcastle upon Tyne,,,True,,
Martha Wheatley,E08000021,Newcastle upon Tyne,,,True,,
Mathieu Geffré,E08000021,Newcastle upon Tyne,,,True,,
Matthew Pickering,E08000021,Newcastle upon Tyne,,,True,,
Matthew Tuckey,E08000021,Newcastle upon Tyne,,,True,,
Megan Brown,E08000021,Newcastle upon Tyne,,,True,,
Melanie Rashbrooke,E08000021,Newcastle upon Tyne,,,True,,
Melody Sproates,E08000021,Newcastle upon Tyne,,,True,,
Merle Harbron,E08000021,Newcastle upon Tyne,,,True,,
Mi Viejo Fruta Ltd,E08000021,Newcastle upon Tyne,,,True,,
Michael John Heatley,E08000021,Newcastle upon Tyne,,,True,,
Michael MacDonald,E08000021,Newcastle upon Tyne,,,True,,
Mick Smith,E08000021,Newcastle upon Tyne,,,True,,
Monica Hardcastle,E08000021,Newcastle upon Tyne,,,True,,
Monkfish Productions CIC,E08000021,Newcastle upon Tyne,,,True,,
Monkfish Productions CIO,E08000021,Newcastle upon Tyne,,,True,,
Moving Art Management,E08000021,Newcastle upon Tyne,,,True,,
Moving Parts Arts,E08000021,Newcastle upon Tyne,,,True,,
Moving Parts Arts CIO,E08000021,Newcastle upon Tyne,,,True,,
NOVAK,E08000021,Newcastle upon Tyne,,,True,,
Neighbourhood Watch Stilts international,E08000021,Newcastle upon Tyne,,,True,,
New Writing North,E08000021,Newcastle upon Tyne,,True,True,54.976762,-1.6074983
Newcastle Asian Arts and Music,E08000021,Newcastle upon Tyne,,,True,,
Newcastle Centre for the Literary Arts,E08000021,Newcastle upon Tyne,,,True,,
Newcastle City Council Culture,E08000021,Newcastle upon Tyne,,,True,,
Newcastle Libraries,E08000021,Newcastle upon Tyne,,,True,,
Nexus,E08000021,Newcastle upon Tyne,,,True,,
Nick Kennedy,E08000021,Newcastle upon Tyne,,,True,,
Nina Scott,E08000021,Newcastle upon Tyne,,,True,,
North East Theatre Trust Ltd,E08000021,Newcastle upon Tyne,,True,,54.969526,-1.6040542
Northern Print,E08000021,Newcastle upon Tyne,,True,True,54.974976,-1.5944396
Northern Stage (Theatrical Productions) Ltd,E08000021,Newcastle upon Tyne,,True,,54.979354,-1.6141446
Northumbria Architecture Society,E08000021,Newcastle upon Tyne,,,True,,
Northumbria University,E08000021,Newcastle upon Tyne,,,True,,
Oliver Doe,E08000021,Newcastle upon Tyne,,,True,,
Olivia Hunt,E08000021,Newcastle upon Tyne,,,True,,
Open Clasp Theatre Company,E08000021,Newcastle upon Tyne,,True,True,54.968407,-1.6400382
Patrick Ngabonziza,E08000021,Newcastle upon Tyne,,,True,,
Paul Miller,E08000021,Newcastle upon Tyne,,,True,,
Paul Turner,E08000021,Newcastle upon Tyne,,,True,,
Payal Ramchandani,E08000021,Newcastle upon Tyne,,,True,,
Pelican Theatre,E08000021,Newcastle upon Tyne,,,True,,
Playing Up Theatre Company,E08000021,Newcastle upon Tyne,,,True,,
Polestar Studios,E08000021,Newcastle upon Tyne,,,True,,
Rebecca Glendenning-Laycock,E08000021,Newcastle upon Tyne,,,True,,
Rene McBrearty,E08000021,Newcastle upon Tyne,,,True,,
Rhianne Bowes,E08000021,Newcastle upon Tyne,,,True,,
Richard Bliss,E08000021,Newcastle upon Tyne,,,True,,
Richard Boggie,E08000021,Newcastle upon Tyne,,,True,,
