Date,Blakelaw,City,Cruddas Park,Denton Burn,Dinnington,East End,Fawdon,Fenham,Gosforth,High Heaton,Jesmond,Kenton,Mobile,Moorside,Newbiggin Hall,Newburn,Outer West,Walker,West End,Total
2009-10,1094,54330,1111,4670,1179,9936,1363,7637,17386,5163,5756,3962,2507,925,2042,2343,11098,2133,4529,139164
2009-11,1017,44899,1144,5240,1064,8732,1111,6249,15811,4301,4517,3667,1974,950,1786,2051,9948,1954,3463,119878
2009-12,425,41417,1119,3371,944,6505,1009,4052,12195,3508,4521,3100,1939,1028,1264,2070,7970,1718,2753,100908
2010-01,745,47498,1252,4782,1155,8934,1168,5753,14429,4530,5345,3089,2398,1072,1761,2255,9333,2197,3344,121040
2010-02,912,44914,1191,3980,1080,9117,1030,5921,15671,4476,4520,4136,2141,868,1709,2222,9841,1940,3581,119250
2010-03,894,51337,1200,5861,1158,9366,1331,5627,17029,4459,4660,3773,2421,952,1621,2460,10744,2523,3669,131085
2010-04,873,46706,1218,4617,872,9551,926,5514,15758,4198,4532,3448,2168,907,1550,2121,10058,2303,3404,120724
2010-05,943,41889,841,3522,1161,8577,1081,5131,14877,4121,4643,3421,2073,1049,1502,2183,9030,2245,3138,111427
2010-06,882,42342,1120,4288,1186,8923,1209,5804,15281,4034,4617,3822,1887,1028,1834,1953,9601,2168,3212,115191
2010-07,1103,48554,1145,4544,1309,9312,1163,6730,16613,5387,5007,4052,2759,1635,2316,2695,11633,2885,4044,132886
2010-08,972,47413,1239,4215,900,9786,819,6726,16981,4813,4662,4038,2731,1512,2210,2472,10800,3297,4531,130117
2010-09,799,45046,997,4826,1429,8423,1120,6320,15755,4510,4746,3728,3124,1157,1855,2458,9085,2547,3923,121848
2010-10,759,47212,929,4822,1503,7310,1134,5834,15253,4579,5073,3612,4131,1174,1754,2261,10361,2813,3507,124021
2010-11,671,37609,1232,3385,1239,8008,1297,5460,12976,3514,4335,3274,3064,1382,1456,2014,8809,2863,3008,105596
2010-12,512,37543,682,3384,791,6484,847,375,10740,2938,3148,2755,1365,1001,169,1472,7643,1330,1749,84928
2011-01,831,39156,1101,4955,1424,8988,1079,0,13674,4109,4265,3336,2578,1046,1405,2092,9718,2425,3267,105449
2011-02,1058,39265,939,6143,1344,7876,996,18,13197,4323,3772,3673,1897,942,1800,2073,9813,2015,3496,104640
2011-03,868,40955,1240,4805,1299,9464,1224,3563,13704,4351,1857,3933,2603,1332,1983,2136,10417,2378,3324,111436
2011-04,778,33268,931,3573,1150,6891,862,3445,11938,3469,0,3259,2444,864,1493,1841,8250,1903,3153,89512
2011-05,729,37602,999,3825,1037,9004,1014,4282,13046,4065,9,3354,2055,835,1595,2007,9934,2141,2971,100504
2011-06,637,38218,1141,3319,1269,8233,1159,3895,12901,3626,2364,3224,2486,883,1971,1876,9048,2284,2841,101375
2011-07,689,38357,1033,3235,1262,8240,1018,4405,14014,4325,4450,3102,2265,1142,1760,2132,9715,3178,3288,107610
2011-08,927,39910,1404,3492,1108,8447,952,5167,14955,4507,4316,3744,2094,1235,1850,2253,10136,2279,3910,112686
2011-09,1127,35562,1217,3208,1168,7808,717,4475,13354,3885,4378,2880,2087,1059,1694,2214,9053,1850,3247,100983
2011-10,774,39191,1104,3393,1015,7585,665,4350,14131,3896,4259,2908,2543,894,1602,2025,8850,2726,3001,104912
2011-11,662,32278,1151,3248,1165,6674,590,3938,11812,3627,3999,2630,2568,859,1935,2182,8044,1783,2705,91850
2011-12,296,28948,958,2315,905,5317,499,3069,10609,2597,3146,2306,1924,585,1254,1390,6900,1489,2435,76942
2012-01,580,34302,1081,3076,1079,7438,655,4243,12588,3930,4242,2563,2338,798,1715,1939,8046,1852,2846,95311
2012-02,483,33526,878,2874,992,6981,632,3948,12128,3354,3756,2783,2006,589,1840,1788,7710,1729,2869,90866
2012-03,653,34689,1149,2962,1131,7312,676,4373,12978,3171,4437,2912,1943,800,1968,2018,8080,1558,2940,95750
2012-04,480,32151,954,2469,788,6688,780,3934,12070,3185,3993,2612,827,763,1387,1759,7819,1783,2573,87015
2012-05,511,32481,930,2631,1110,7133,672,3946,11520,2928,3946,2842,,911,1364,1745,7655,1403,2746,86474
2012-06,432,30228,990,2616,1474,6622,521,4055,10970,3042,3869,2327,,902,1558,1576,7165,1577,2534,82458
2012-07,630,32577,1064,3098,1165,7425,554,4501,12727,3728,4333,2538,,1364,1485,1872,8577,2093,3679,93410
2012-08,614,32563,948,3046,1033,7579,552,4227,12902,4651,4222,2592,,1382,1101,1780,8389,2568,3376,93525
2012-09,436,29938,762,2617,1045,6548,481,3773,11240,3519,3763,2214,,1233,939,1519,7207,1871,2308,81413
2012-10,479,32242,748,2657,1098,6997,549,4054,12116,3357,3624,2576,,1018,856,1609,7920,1427,2586,85913
2012-11,512,28813,939,2565,1019,6364,425,3870,10213,3391,3793,2162,,821,781,1590,7368,1501,2329,78456
2012-12,371,23820,539,1562,648,4954,351,2798,7881,2182,2424,1532,,670,509,1023,5249,877,2307,59697
2013-01,558,30245,761,2296,816,6081,572,3347,9093,2885,3657,2146,,868,732,1695,6654,1525,2407,76338
2013-02,604,26657,751,2257,944,5385,413,3276,9067,2887,3282,1996,,771,786,1471,6525,1180,2536,70788
2013-03,535,27659,655,2390,952,5789,426,3300,9388,2694,3186,2139,,686,854,1188,7075,1043,2294,72253
2013-04,554,29635,684,2026,682,5564,334,2287,9273,2799,2957,2289,,700,624,1528,6944,1125,2549,72554
2013-05,438,31768,693,2205,698,6393,461,3682,10704,3018,3308,2423,,874,654,1532,7618,1025,3246,80740
2013-06,520,28154,391,1685,674,6069,377,3877,9753,4245,3168,2229,,654,763,1564,6880,933,2409,74345
2013-07,638,33636,10,967,23,7161,634,3867,12130,1434,435,2480,,46,897,1536,8209,741,3150,77994
2013-08,684,32621,27,939,17,7079,475,3542,12883,1647,201,2653,,12,798,1664,8365,834,3599,78040
2013-09,513,27649,,1015,,6108,487,2813,10116,1456,,1978,,,666,1544,7001,840,3017,65203
2013-10,653,30096,5,963,,6736,398,1134,10042,1449,,2538,,,645,1587,7429,915,3295,67885
2013-11,433,26288,0,889,,6094,326,16,9495,1284,1,2170,,,616,1366,6646,742,3471,59837
2013-12,328,21563,0,770,,4448,201,46,7460,830,,2074,,,504,875,5418,375,2720,47612
2014-01,443,27279,,1001,,5762,342,0,9522,1318,,1969,,,717,1240,7054,809,3292,60748
2014-02,474,24654,,872,,5362,255,22,9194,1126,,2177,,,644,1303,6448,612,3005,56148
2014-03,425,26158,,890,,5513,229,2613,10220,931,,2403,,,576,1312,6237,589,2876,60972
2014-04,319,24088,0,716,,5061,247,2777,8603,1115,,2006,,,593,1137,6141,595,2969,56367
2014-05,444,24451,0,698,,4844,155,2546,9029,1142,,1808,,,615,1339,6579,697,2807,57154
2014-06,403,20426,311,879,,4602,222,2502,8277,880,,1965,,,556,1043,5737,672,2548,51023
2014-07,286,22796,676,797,,4895,214,2676,8750,1084,,1955,,,591,1299,6623,940,2659,56241
2014-08,400,23461,803,731,,5699,245,2708,10009,1321,,2161,,,452,1184,6775,790,2697,59436
2014-09,389,21478,574,957,,5167,273,2395,8853,968,,1768,,,550,1188,5916,513,2486,53475
2014-10,387,22948,577,100,,5122,242,2391,9173,1335,,2016,,,431,1026,6125,552,2341,54766
2014-11,330,19398,503,,,4213,243,2041,8185,1089,,1676,,,465,945,5159,448,2179,46874
2014-12,215,18172,308,,,3495,131,1729,6787,733,,1497,,,327,726,4263,379,1580,40342
2015-01,303,21581,503,,,4575,193,2212,8439,1064,,1795,,,508,1114,5247,273,2045,49852
2015-02,197,19400,544,,,4161,164,2074,8001,1130,,1475,,,579,1413,5289,424,2004,46855
2015-03,314,20425,526,7,,4369,119,2260,8871,1344,,1853,,,522,35,5472,493,1899,48509
2015-04,200,20125,456,93,,3796,,1968,7680,1081,,1777,,,,,5328,390,1698,44592
2015-05,238,15559,272,431,,2963,,1639,6239,944,,1342,,,,,3887,368,1360,35242
2015-06,451,19809,546,713,,3566,,1861,8282,1265,,1972,,,,,5047,398,1404,45314
2015-07,377,20976,475,750,,4106,,2608,9504,1421,,1849,,,,,6122,823,1713,50724
2015-08,244,19365,507,857,,4264,,2480,9434,1405,,1737,,,,1,5984,596,1910,48784
2015-09,245,19449,587,691,,4526,,2237,9084,1106,,1691,,,,511,5554,375,1783,47839
2015-10,247,19246,410,755,,4283,,2124,8453,1217,,1854,,,,1433,5424,437,1953,47836
2015-11,233,17124,465,628,,3730,,1967,7792,1390,,1537,,,,1122,5040,368,1383,42779
2015-12,147,15250,278,521,,3088,,1477,5860,887,,1107,,,6,749,4091,175,1062,34698
2016-01,208,18596,511,619,,4103,,2065,7580,1163,,1614,,,18,1051,5110,353,1131,44122
2016-02,61,17885,295,796,,3750,,1986,7682,1119,,1500,,,28,1279,5014,364,1342,43101
2016-03,245,17467,358,479,,3989,,1967,7282,1201,,1682,,,63,962,5356,352,1376,42779
2016-04,253,17682,437,566,,3807,,2152,7771,1330,,1684,,,32,1082,5354,356,1376,43882
2016-05,245,16301,355,644,,727,,1338,5430,1441,,1219,,,30,992,3838,377,952,33889
2016-06,196,17180,354,814,,1,,1500,4835,1423,,1158,,,57,816,3768,385,957,33444
2016-07,357,17852,523,634,,874,,1611,5808,1423,,1366,,,70,1009,4101,458,1080,37166
2016-08,323,18975,513,878,,1990,,1886,6271,1404,,1250,,,54,1107,3927,338,1067,39983
2016-09,301,16708,563,753,,2301,,1666,5400,1594,,1431,,,38,885,4128,258,880,36906
2016-10,292,17315,447,837,,2483,,1564,5897,1605,,1029,,,30,914,3566,356,1002,37337
2016-11,380,14784,479,722,,1881,,1387,5677,1445,,1543,,,39,783,3727,307,641,33795
2016-12,139,12436,239,630,,1633,,1280,4205,880,,1717,,,22,594,3069,190,619,27653
2017-01,319,16242,506,711,,1952,,1301,5381,1278,,1023,,,41,822,3390,411,925,34302
2017-02,235,14867,357,621,,2044,,1441,5134,1282,,1340,,,24,826,3619,289,914,32993
2017-03,281,15702,429,641,,2203,,1612,5637,1408,,1353,,,24,888,4115,441,951,35685
2017-04,325,14303,373,570,,1977,,1386,4964,1473,,944,,,,851,3387,332,876,31761
2017-05,356,13866,343,506,,1765,,1341,5299,1501,,1008,,,11,861,3013,252,862,30984
2017-06,185,13818,370,744,,2209,,1412,4850,1345,,931,,,23,841,3294,302,1036,31360
2017-07,271,15314,416,898,,2427,,1567,5195,1588,,922,,,13,768,3477,275,1268,34399
2017-08,351,16443,367,736,,2070,,2229,6266,1589,,1213,,,7,856,4289,315,1133,37864
2017-09,215,14680,374,805,,2105,,1694,5405,1430,,1007,,,15,741,3732,315,830,33348
2017-10,231,15348,317,692,,2155,,1313,5127,1598,,850,,,15,770,3226,308,1026,32976
2017-11,195,13363,330,761,,1851,,1580,4823,1191,,933,,,9,631,3638,191,837,30333
2017-12,107,10883,294,720,,1618,,1112,3528,810,,813,,,10,504,2820,139,879,24237
2018-01,188,14622,294,618,,1804,,1361,4972,1306,,970,,,15,864,3529,215,847,31605
2018-02,151,13561,216,585,,1663,,1363,4412,1128,,978,,,24,950,2963,193,941,29128
2018-03,193,16654,308,576,,2248,,1467,5426,1247,,1115,,,8,655,3405,261,902,34465
2018-04,186,16017,318,671,,1913,,1532,4931,1271,,959,,,1,833,3033,251,886,32802
2018-05,202,15777,491,654,,1634,,1502,5553,1539,,1074,,,11,688,3181,263,726,33295
2018-06,155,15340,334,751,,1756,,1581,4879,1275,,1016,,,15,835,3142,236,813,32128
2018-07,156,16205,309,887,,1938,,1495,5190,1556,,1078,,,14,760,3146,330,1030,34094
2018-08,206,16815,536,900,,1955,,1712,6055,1749,,1133,,,20,760,3761,351,1136,37089
2018-09,123,14795,406,652,,2055,,764,4979,1419,,1013,,,7,712,3581,260,874,31640
2018-10,256,15678,717,722,,2013,,176,5233,1411,,885,,,23,804,3143,253,1062,32376
2018-11,185,13616,553,843,,2154,,218,5049,1414,,1028,,,3,741,3441,227,1069,30541
2018-12,136,12868,385,670,,1664,,196,4195,1190,,786,,,2,520,2358,198,1002,26170
2019-01,152,15544,529,925,,2209,,293,5070,1767,,1043,,,3,768,3342,354,880,32879
2019-02,151,13670,666,706,,1855,,342,4716,1641,,955,,,,853,3120,276,793,29744
2019-03,96,14159,724,683,,1713,,338,5087,1327,,804,,,,779,2883,388,787,29768
2019-04,93,12875,913,538,,1494,,1011,4226,1326,,902,,,,724,2620,232,666,27620
2019-05,81,12592,591,605,,1414,,1268,4979,1387,,759,,,,717,3178,153,582,28306
2019-06,97,12119,413,576,,93,,1305,4422,1219,,859,,,,748,2640,250,650,25391
2019-07,90,13834,491,664,,50,,1643,5119,1834,,1011,,,,773,3030,357,808,29704
2019-08,93,15428,438,785,,48,,1982,5708,1995,,1133,,,,984,3760,358,812,33524
2019-09,92,12954,353,759,,62,,1340,4423,1432,,864,,,,745,2712,402,656,26794
2019-10,31,14096,470,870,,429,,1311,5020,1878,,897,,,,815,3248,403,552,30020
2019-11,93,12501,559,637,,935,,1310,4788,1463,,763,,,,772,3338,389,597,28145
2019-12,56,11230,304,490,,836,,940,3709,1040,,620,,,,551,2175,242,488,22681
2020-01,81,13407,639,817,,1636,,1444,4574,1522,,977,,,,692,3061,412,742,30004
2020-02,148,12957,381,773,,1108,,1431,4800,1324,,750,,,,721,3032,379,599,28403
2020-03,115,9130,253,390,,848,,962,3260,942,,487,,,,519,1933,259,376,19474
2020-04,0,291,1,4,,20,,10,67,31,,14,,,,1,31,0,0,470
2020-05,0,128,0,0,,2,,5,6,11,,14,,,,0,0,0,0,166
2020-06,0,34,0,0,,0,,0,0,0,,6,,,,0,0,0,0,40
2020-07,0,953,0,2,,1,,10,32,71,,8,,,,7,6,0,5,1095
2020-08,6,1904,8,13,,4,,31,171,16,,54,,,,15,127,21,17,2387
2020-09,0,1566,33,215,,498,,272,321,382,,404,,,,268,6,5,6,3976
2020-10,0,2840,42,543,,19,,584,2114,896,,690,,,,328,72,2,26,8156
2020-11,0,1685,7,120,,0,,151,720,194,,241,,,,129,11,0,5,3263
2020-12,0,849,0,7,,40,,50,436,15,,72,,,,0,74,0,27,1570
2021-01,0,793,0,3,,9,,29,74,26,,44,,,,17,15,0,2,1012
2021-02,0,152,0,1,,0,,11,14,3,,3,,,,10,8,0,1,203
2021-03,0,158,0,13,,0,,8,22,2,,28,,,,0,8,0,0,239
2021-04,3,3532,55,212,,365,,364,1707,565,,451,,,,190,741,10,155,8350
2021-05,4,3792,118,306,,1137,,490,2137,705,,512,,,,324,923,2,147,10597
2021-06,0,4864,160,477,,464,,856,2752,1091,,742,,,,411,996,16,270,13099
2021-07,3,5855,185,574,,618,,966,3814,1214,,804,,,,281,1345,94,390,16143
2021-08,0,7226,266,804,,965,,1244,3097,1458,,639,,,,549,1439,124,624,18435
2021-09,0,6250,208,687,,868,,989,3376,1280,,731,,,,404,1562,104,379,16838
2021-10,17,7463,203,659,,1034,,1114,4021,1355,,795,,,,558,1322,103,523,19167
2021-11,14,8291,340,533,,1082,,967,3530,1625,,595,,,,624,1388,58,576,19623
2021-12,32,8207,278,314,,792,,1056,3286,1347,,399,,,,361,1348,65,460,17945
2022-01,25,8592,447,511,,1104,,1157,4543,1493,,727,,,,532,1664,125,627,21547
2022-02,19,8441,335,469,,953,,1367,4268,1532,,687,,,,629,1725,87,626,21138
2022-03,17,9813,385,484,,1151,,1264,4655,1827,,822,,,,602,1889,91,581,23581
2022-04,32,9936,381,458,,1090,,1503,4801,1727,,742,,,,659,1894,104,543,23870
2022-05,29,9544,330,611,,1016,,1396,4674,1628,,865,,,,670,1737,84,498,23082
2022-06,19,9023,299,667,,989,,1145,4340,1597,,656,,,,556,1526,92,452,21361
2022-07,62,10200,323,635,,1248,,1765,5676,2092,,935,,,,716,1789,130,677,26248
2022-08,98,11832,328,715,,1071,,2593,6234,2406,,1309,,,,892,2501,140,661,30780
2022-09,54,10123,531,655,,982,,1377,4987,1855,,835,,,,636,1855,155,645,24690
2022-10,62,10421,381,718,,1162,,1679,5488,1645,,805,,,,688,1754,170,714,25687
2022-11,23,9018,409,546,,923,,1415,5320,1742,,715,,,,661,1618,132,533,23055
2022-12,62,8848,280,381,,725,,959,3620,1282,,677,,,,471,884,43,424,18656
2023-01,46,10406,533,614,,993,,1496,4940,1874,,831,,,,690,1492,158,587,24660
2023-02,86,9897,222,518,,958,,1632,4567,1420,,795,,,,692,1406,70,642,22905
2023-03,29,10450,444,723,,869,,1651,4620,1836,,804,,,,696,1726,107,678,24633
2023-04,51,10352,297,632,,928,,1895,4864,1802,,777,,,,693,1412,322,553,24578
2023-05,46,10115,355,542,,648,,1594,4489,1731,,711,,,,702,805,150,523,22411
2023-06,18,9563,293,840,,750,,1469,4393,1686,,711,,,,691,71,145,516,21146
2023-07,44,11520,172,1004,,921,,2279,5999,2077,,938,,,,787,161,123,731,26756
2023-08,61,11840,258,943,,822,,2900,6422,2469,,1066,,,,1068,580,183,893,29505
2023-09,59,9200,282,751,,1014,,2002,5117,1725,,785,,,,852,998,118,692,23595
2023-10,70,9698,459,719,,838,,1891,4762,1753,,920,,,,696,1221,173,654,23854
2023-11,56,8894,432,636,,862,,1756,4645,1651,,861,,,,584,1310,125,620,22432
2023-12,36,8636,177,486,,729,,1507,3814,1431,,588,,,,441,871,51,451,19218
2024-01,73,9800,374,604,,845,,1993,5398,1784,,925,,,,903,1325,91,598,24713
2024-02,57,9246,399,697,,852,,1960,4937,1785,,824,,,,562,1329,118,570,23336
2024-03,103,9808,295,775,,708,,1787,5096,1889,,843,,,,648,1347,221,626,24146
2024-04,39,9300,213,621,,732,,2094,4983,1686,,901,,,,702,1223,99,632,23225
2024-05,59,9081,365,510,,655,,1965,4772,1710,,779,,,,823,1343,104,356,22522
2024-06,65,8286,289,597,,627,,1806,4999,1657,,663,,,,894,1307,100,507,21797
2024-07,33,9677,303,685,,697,,2012,5318,1858,,1076,,,,859,1649,106,592,24865
2024-08,11,9299,197,619,,750,,2054,5863,1903,,1168,,,,840,1622,125,554,25005
