Date,Blakelaw,City,Cruddas Park,Denton Burn,Dinnington,East End,Fawdon,Fenham,Gosforth,High Heaton,Jesmond,Kenton,Mobile,Moorside,Newbiggin Hall,Newburn,Outer West,Walker,West End,Total
2008-04,1048,4490,1477,4292,952,14443,998,11273,21548,70,7429,4523,2250,1364,2094,2639,11375,2602,2274,97141
2008-05,1017,4424,1457,4276,1005,13141,1300,8564,20575,57,7213,3995,2176,1717,2122,2568,10871,2736,2054,91268
2008-06,1042,4606,1377,3925,1038,13661,1425,8535,20987,99,6826,4095,2333,1246,1976,2323,10743,3066,2109,91412
2008-07,911,5709,1697,4544,933,13989,1199,9464,21823,78,7774,4440,2324,1664,2477,2567,11805,3526,2512,99436
2008-08,919,4555,1749,5068,1118,15210,1325,9414,23465,0,7784,4906,2559,1670,2310,2899,12534,3211,2758,103454
2008-09,1037,4028,1522,4366,948,13767,1745,9527,21263,3420,7160,4317,2031,1504,2257,2686,12128,2763,2417,98886
2008-10,1280,3716,1563,4553,1146,13182,1269,9344,21313,6330,6982,4548,2255,1605,2391,2851,12302,2948,2115,101693
2008-11,1020,3167,1498,3729,991,11794,797,8222,19264,5620,6766,3998,2206,1318,1995,2459,10535,2449,3601,91429
2008-12,644,2989,909,2865,616,10131,1122,8130,15364,3823,5682,3151,1917,1048,1569,1946,9039,1956,3745,76646
2009-01,895,5583,1566,4018,1010,12040,1190,8844,19692,5706,6692,3997,2657,1298,2070,2725,10376,2930,4641,97930
2009-02,829,2910,1352,3687,933,11371,1133,7436,17932,5791,6554,3782,2064,1441,2007,2888,9877,2811,5252,90050
2009-03,984,3594,1267,4121,917,12341,1248,7559,18988,5483,6640,4053,2500,1097,2266,2794,11082,3053,5180,95167
2009-04,768,1819,1517,4516,873,11795,1307,7366,18323,5361,6819,3966,2121,1132,1955,2181,11390,2314,5123,90646
2009-05,793,1786,1023,4166,1073,11494,1146,7555,18318,5100,6075,3738,2114,1522,1931,2395,10737,2161,4476,87603
2009-06,1107,43772,1281,4169,1104,10268,1183,6792,17402,4803,5274,3429,2449,1165,1889,2242,10475,2416,5143,126363
2009-07,1011,56618,1164,6117,1170,10268,1196,6135,18827,5595,6167,4204,2297,1583,2078,2526,10840,2666,6328,146790
2009-08,967,56341,1085,5256,974,9411,1111,5789,18353,5201,5188,4044,2441,1278,2155,2474,11012,2240,5256,140576
2009-09,801,52201,1227,4463,991,9356,1213,6003,17519,5107,4850,4116,1945,1066,2094,2089,10811,2611,4509,132972
