Date,Adult Event - Planetarium,Adult Event - Speakeasy,Home Educator Day,Ice Rink,Preschool Day,Santa Experience,Schools - KS4 and Post 16 Workshop,Schools - Outreach,Schools - Science Centre Only (KS1 - KS3),Schools - Science Centre and Workshop (KS1 - KS3),Schools - Workshop Only (KS1 - KS3),Science Centre General Admission
2023-09-23,250.0,,123.0,,526.0,,41,0.0,71,439,24,2772
2023-10-23,330.0,85.0,,,269.0,,48,,139,1461,93,8622
2023-11-23,59.0,,,5690.0,434.0,301.0,84,,232,1929,96,7331
2023-12-23,190.0,,,19093.0,,1830.0,172,0.0,1352,743,7,7943
2024-01-01,,,,4104.0,,,0,0.0,0,0,0,3071
2024-02-23,199.0,,141.0,,551.0,,34,,349,999,180,13720
2024-03-23,326.0,61.0,,,289.0,,237,0.0,447,2210,0,8452
2024-04-23,321.0,,114.0,,648.0,,78,,73,955,137,14129
2024-05-23,187.0,59.0,,,346.0,,70,0.0,219,1463,14,8920
2024-06-23,198.0,,,,553.0,,0,0.0,569,2411,108,4162
2024-07-23,124.0,70.0,,,426.0,,72,0.0,761,1526,60,7967
2024-08-23,255.0,,,,,,0,0.0,0,0,24,13133
2024-09-23,,53.0,,,520.0,,0,,18,127,0,2319
