source,amount,percentage
Earned income,50343.83,6.186215648440689
Individual donations,7732.75,0.9501950696933416
Corporate sponsorships,22500,2.7647847231709526
Trusts and foundations,145000,17.817501549323918
Public funding,588230,72.28130300937109
