Date,Community programmes,Formal learning,Informal learning,Total footfall
2024-01-24,453,4867,428,47160
2024-02-24,291,4286,593,73555
2024-03-24,471,3964,990,60195
2024-04-01,759,6856,4988,76558
2024-05-23,1545,7041,1826,51665
2024-06-23,1224,15782,4693,52389
2024-07-23,679,3240,2385,72648
2024-08-23,891,69,13789,117599
2024-09-23,1055,8406,3183,50661
2024-10-23,869,8137,2117,61229
2024-11-23,807,19824,1240,65594
2024-12-23,367,4119,842,49378
