LAD24CD,2018,2019,2020,2021,2022,2023,2024
E06000047,201645.0,424516.0,220343.0,332253.0,368069.0,1796943.0,287214.0
E06000057,338158.0,454786.0,231086.0,796335.0,345659.0,410108.0,298905.0
E08000021,1272355.0,1622018.0,756210.0,1414576.0,1606332.0,1300743.0,1548961.0
E08000022,151683.0,184684.0,185083.0,237392.0,256475.0,510736.0,149343.0
E08000023,38493.0,180820.0,163550.0,74919.0,121054.0,566664.0,311237.0
E08000024,162795.0,211840.0,271062.0,334106.0,429811.0,1303766.0,114931.0
E08000037,320086.0,375644.0,133750.0,472430.0,288671.0,285547.0,239269.0
