pcds,oslaua,lat,long,oa21,lsoa21,msoa21
NE1 1AD,E08000021,54.967460,-1.615383,E00189964,E01033545,E02007099
NE1 1AE,E08000021,54.970543,-1.610883,E00175551,E01033543,E02007099
NE1 1BB,E08000021,54.972908,-1.607661,E00175551,E01033543,E02007099
NE1 1DE,E08000021,54.970927,-1.609927,E00175551,E01033543,E02007099
NE1 1DF,E08000021,54.970490,-1.611040,E00175551,E01033543,E02007099
NE1 1DG,E08000021,54.971018,-1.609647,E00175551,E01033543,E02007099
NE1 1EE,E08000021,54.971016,-1.612535,E00175558,E01033543,E02007099
NE1 1EH,E08000021,54.970837,-1.612755,E00175558,E01033543,E02007099
NE1 1EN,E08000021,54.971502,-1.612905,E00175551,E01033543,E02007099
NE1 1EW,E08000021,54.971810,-1.612827,E00175551,E01033543,E02007099
NE1 1EZ,E08000021,54.971492,-1.612436,E00175551,E01033543,E02007099
NE1 1JE,E08000021,54.969796,-1.613187,E00189964,E01033545,E02007099
NE1 1JF,E08000021,54.969968,-1.613654,E00189983,E01033545,E02007099
NE1 1JW,E08000021,54.970045,-1.612294,E00189964,E01033545,E02007099
NE1 1LE,E08000021,54.969789,-1.610315,E00175551,E01033543,E02007099
NE1 1LF,E08000021,54.969796,-1.610328,E00175551,E01033543,E02007099
NE1 1NA,E08000021,54.968113,-1.611612,E00175551,E01033543,E02007099
NE1 1PE,E08000021,54.969729,-1.611144,E00175551,E01033543,E02007099
NE1 1PF,E08000021,54.970482,-1.610793,E00175551,E01033543,E02007099
NE1 1PG,E08000021,54.970488,-1.609809,E00175551,E01033543,E02007099
NE1 1PJ,E08000021,54.970373,-1.610247,E00175551,E01033543,E02007099
NE1 1PP,E08000021,54.969789,-1.610315,E00175551,E01033543,E02007099
NE1 1PQ,E08000021,54.970183,-1.609999,E00175551,E01033543,E02007099
NE1 1PR,E08000021,54.969646,-1.611079,E00175551,E01033543,E02007099
NE1 1RE,E08000021,54.969874,-1.612155,E00189964,E01033545,E02007099
NE1 1RF,E08000021,54.969344,-1.611788,E00189964,E01033545,E02007099
NE1 1RH,E08000021,54.969705,-1.612144,E00189964,E01033545,E02007099
NE1 1RJ,E08000021,54.969652,-1.612301,E00189964,E01033545,E02007099
NE1 1RN,E08000021,54.968147,-1.611144,E00175551,E01033543,E02007099
NE1 1RQ,E08000021,54.968810,-1.610341,E00175551,E01033543,E02007099
NE1 1SA,E08000021,54.969490,-1.613034,E00189964,E01033545,E02007099
NE1 1SE,E08000021,54.969197,-1.613461,E00189964,E01033545,E02007099
NE1 1SG,E08000021,54.970002,-1.617999,E00175553,E01033543,E02007099
NE1 1SQ,E08000021,54.970209,-1.618806,E00175553,E01033543,E02007099
NE1 1SW,E08000021,54.970435,-1.618401,E00175553,E01033543,E02007099
NE1 1TH,E08000021,54.970543,-1.616288,E00175553,E01033543,E02007099
NE1 1TT,E08000021,54.969836,-1.614624,E00189983,E01033545,E02007099
NE1 1UD,E08000021,54.970539,-1.614557,E00189983,E01033545,E02007099
NE1 1UE,E08000021,54.970699,-1.613978,E00175558,E01033543,E02007099
NE1 1UF,E08000021,54.970817,-1.614351,E00189983,E01033545,E02007099
NE1 1UG,E08000021,54.970968,-1.613772,E00175558,E01033543,E02007099
