Question,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Dont know
Online: A day ticket offers good value for money,37.1,40.7,11,6.6,2.7,1.9
Online: I found the staff helpful,55.8,32.6,6.3,1.5,1.5,2.2
Online: I would recommend Life Science Centre to a friend or family,61.4,28.6,4.9,2,2.4,0.7
Online: I found out something new during my visit,54.1,35.2,6.4,1.4,1.7,1.2
Online: I felt valued as a visitor,42.1,34.5,17.1,2.5,2.7,1
Online: I had a positive memorable experience,57.1,31.7,6.3,1.9,2.9,0.2
