Organisation,Name of organisation,Number of employees,Postcode,Type of organisation
Northern Stage,Northern Stage,"33 Contracted, 61 Casual",NE17RH,Theatre
Twam,Tyne & Wear Archives & Museums,276,NE1 4JA,Museum service
Centre For Life,International Centre for Life,"95 FTE (57 FT, 43 PT)",NE1 4EP,Science Centre
Seven Stories,Seven Stories The National Centre for Children's Books,53 (25 FTE),NE1 2PQ,Museum
