source,amount,percentage
Earned income,1182310,12.515009840019239
Individual donations,218649,2.314447468523794
Corporate sponsorships,47000,0.4975052756729659
Trusts and foundations,373101,3.949355656571473
Public funding,7626076,80.72368175921252
