Year,E06000047,E06000057,E08000021,E08000022,E08000023,E08000024,E08000037
2018,13443,24154,29590,11668,12831,18088,17783
2019,18457,21656,20275,15390,30137,21184,15026
2020,14690,15406,14268,15424,27258,27106,26750
2021,19544,29494,19378,19783,18730,25700,21474
2022,28313,28805,39179,23316,20176,33062,32075
2023,138226,24124,34230,42561,56666,260753,28555
2024,20515,33212,73760,24890,31124,38310,23927
