Year,E06000047,E06000057,E08000021,E08000022,E08000023,E08000024,E08000037
2018,15,14,43,13,3,9,18
2019,23,21,80,12,6,10,25
2020,15,15,53,12,6,10,5
2021,17,27,73,12,4,13,22
2022,13,12,41,11,6,13,9
2023,13,17,38,12,10,5,10
2024,14,9,21,6,10,3,10
