Recipient,LAD24CD,Grants
4M Puppets,E08000021,1
Adam Shield,E08000021,1
Adinda van 't Klooster,E08000021,2
Ali Pritchard,E08000021,1
Alicia Meehan,E08000021,2
Alison Carr,E08000021,2
Allan Hughes,E08000021,1
Alphabetti Theatre,E08000021,6
Alys North,E08000021,1
Amber Film & Photography Collective,E08000021,1
Andras Nagy-Sandor,E08000021,1
Andrew Maughan,E08000021,1
Andrew Wilson,E08000021,1
Anton Hecht,E08000021,1
BRASH Theatre Company Ltd,E08000021,1
Ballet Lorent Limited,E08000021,1
Beacon Films CIC,E08000021,2
Benjamin Storey,E08000021,2
Beth Veitch,E08000021,2
Bethan Kitchen,E08000021,3
Bev Robinson,E08000021,1
Blank Studios LLP,E08000021,1
Brave Exhibitions CIC,E08000021,1
CIRCA Projects,E08000021,1
Caitlin Evans,E08000021,2
Cameron John Sharp,E08000021,5
Cap-a-Pie,E08000021,3
Carole Wears,E08000021,2
Chalk,E08000021,1
Charlie Bramley,E08000021,7
Chloe Stott,E08000021,1
Cobalt Studios Ltd,E08000021,1
Company of Others,E08000021,4
Conrad Williams Bird,E08000021,1
Creative Spaces North East C.I.C.,E08000021,3
Curious Arts Ltd,E08000021,2
Curious Monkey Ltd,E08000021,5
D6 Culture Ltd,E08000021,7
DAVE GRAY,E08000021,1
Danielle Stone,E08000021,1
David Reynolds,E08000021,1
Debbi Purtill,E08000021,1
Department of Classics Newcastle University,E08000021,1
Dora Frankel,E08000021,4
Eleanor Wright,E08000021,1
Eliot Smith Company,E08000021,8
Elizabeth Jane Klotz,E08000021,4
Emma Roxburgh,E08000021,1
Equal Arts,E08000021,1
Erin Connor,E08000021,1
Faye MacCalman,E08000021,1
Fertile Ground Dance Ltd,E08000021,5
Frank & Bird Ltd,E08000021,1
Friends of Jesmond Library,E08000021,1
Gavin Coward,E08000021,1
Gillie Kleiman,E08000021,2
Glow Create CIC,E08000021,1
Grace Denton,E08000021,1
Grace Dickson,E08000021,1
Greshauna Hannabiell Sanders,E08000021,1
Greyscale Theatre Company,E08000021,2
Guild of Lillians,E08000021,1
HELEN SHADDOCK,E08000021,1
Hal Branson,E08000021,1
Hand Of Ltd,E08000021,1
Hannah Guy,E08000021,1
Hannah Murphy,E08000021,4
Harambee Pasadia CIC,E08000021,1
Harriet Ghost,E08000021,1
